Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Dagestan, all devices
December 2017;265 297;0,56;
January 2018;274 929;0,60;
February 2018;288 992;0,59;
March 2018;252 344;0,58;
April 2018;312 122;0,72;
May 2018;162 927;0,40;
June 2018;140 025;0,34;
July 2018;150 574;0,37;
August 2018;291 068;0,65;
September 2018;396 535;0,78;
October 2018;306 871;0,63;
November 2018;401 624;0,78;
December 2018;320 771;0,59;
January 2019;320 092;0,63;
February 2019;342 414;0,65;
March 2019;316 444;0,64;
April 2019;351 478;0,74;
May 2019;178 619;0,43;
June 2019;154 150;0,36;
July 2019;160 419;0,39;
August 2019;304 970;0,66;
September 2019;394 732;0,79;
October 2019;334 288;0,64;
November 2019;467 310;0,81;
December 2019;372 307;0,60;
January 2020;376 985;0,65;
February 2020;378 662;0,62;
March 2020;513 208;0,61;
April 2020;461 124;0,62;
May 2020;306 244;0,53;
June 2020;249 725;0,49;
July 2020;238 330;0,47;
August 2020;387 073;0,69;
September 2020;512 444;0,77;
October 2020;440 190;0,63;
November 2020;538 951;0,82;
December 2020;393 043;0,61;
January 2021;422 545;0,71;
February 2021;452 361;0,72;
March 2021;455 551;0,74;
April 2021;424 943;0,70;
May 2021;295 138;0,50;
June 2021;219 609;0,39;
July 2021;244 677;0,42;
August 2021;469 685;0,73;
September 2021;592 281;0,83;
October 2021;487 162;0,68;
November 2021;669 687;0,87;
December 2021;480 679;0,61;
January 2022;531 775;0,71;
February 2022;567 085;0,68;
March 2022;542 720;0,72;
April 2022;553 503;0,75;
May 2022;312 559;0,46;
June 2022;256 293;0,38;
July 2022;285 773;0,41;
August 2022;483 991;0,65;
September 2022;607 912;0,75;
October 2022;511 263;0,63;
November 2022;630 977;0,75;
December 2022;449 319;0,55;
January 2023;443 973;0,58;
February 2023;496 876;0,63;
March 2023;421 830;0,56;
April 2023;544 989;0,73;
May 2023;267 415;0,40;
June 2023;236 141;0,34;
July 2023;259 603;0,38;
August 2023;432 839;0,60;
September 2023;555 815;0,72;
October 2023;473 337;0,61;
November 2023;626 038;0,77;
December 2023;445 406;0,54;
January 2024;451 317;0,60;
February 2024;449 868;0,59;
March 2024;370 402;0,56;
April 2024;496 928;0,71;
May 2024;255 832;0,41;
June 2024;228 924;0,36;
July 2024;247 885;0,36;
August 2024;389 295;0,58;
September 2024;510 757;0,69;
October 2024;474 036;0,56;
November 2024;622 029;0,76;
