Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kurgan Oblast, all devices
December 2017;237 247;0,81;
January 2018;233 066;0,85;
February 2018;247 041;0,81;
March 2018;231 655;0,81;
April 2018;242 296;0,86;
May 2018;178 840;0,70;
June 2018;158 783;0,64;
July 2018;169 917;0,66;
August 2018;218 554;0,77;
September 2018;282 775;0,86;
October 2018;253 539;0,84;
November 2018;240 743;0,77;
December 2018;265 634;0,83;
January 2019;257 453;0,83;
February 2019;260 692;0,82;
March 2019;250 538;0,83;
April 2019;238 432;0,85;
May 2019;181 864;0,70;
June 2019;163 662;0,64;
July 2019;167 655;0,65;
August 2019;210 294;0,78;
September 2019;268 635;0,87;
October 2019;260 385;0,82;
November 2019;276 671;0,83;
December 2019;298 134;0,86;
January 2020;284 843;0,84;
February 2020;296 052;0,80;
March 2020;384 560;0,82;
April 2020;349 302;0,87;
May 2020;242 238;0,73;
June 2020;194 262;0,64;
July 2020;196 142;0,64;
August 2020;264 544;0,79;
September 2020;302 675;0,77;
October 2020;418 996;0,83;
November 2020;373 994;0,86;
December 2020;341 534;0,87;
January 2021;330 371;0,90;
February 2021;342 026;0,91;
March 2021;348 248;0,90;
April 2021;334 522;0,88;
May 2021;286 906;0,77;
June 2021;223 396;0,64;
July 2021;255 217;0,62;
August 2021;324 048;0,79;
September 2021;353 192;0,81;
October 2021;413 297;0,83;
November 2021;392 696;0,83;
December 2021;399 905;0,86;
January 2022;407 252;0,83;
February 2022;411 155;0,83;
March 2022;373 975;0,82;
April 2022;381 187;0,85;
May 2022;282 513;0,68;
June 2022;235 823;0,59;
July 2022;240 042;0,61;
August 2022;297 117;0,69;
September 2022;344 856;0,74;
October 2022;357 100;0,74;
November 2022;353 066;0,71;
December 2022;334 096;0,68;
January 2023;316 321;0,70;
February 2023;350 918;0,72;
March 2023;317 302;0,70;
April 2023;327 573;0,76;
May 2023;238 730;0,59;
June 2023;203 613;0,52;
July 2023;210 196;0,53;
August 2023;274 196;0,66;
September 2023;337 448;0,73;
October 2023;327 536;0,71;
November 2023;339 010;0,69;
December 2023;323 152;0,68;
January 2024;314 184;0,70;
February 2024;302 161;0,67;
March 2024;293 327;0,66;
April 2024;298 499;0,72;
May 2024;206 783;0,58;
June 2024;189 643;0,54;
July 2024;179 182;0,51;
August 2024;241 471;0,66;
September 2024;311 916;0,74;
October 2024;312 093;0,72;
November 2024;338 391;0,75;
