Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Penza Oblast, all devices
December 2017;406 141;0,78;
January 2018;377 251;0,74;
February 2018;398 465;0,73;
March 2018;353 464;0,72;
April 2018;363 136;0,77;
May 2018;279 830;0,64;
June 2018;271 912;0,61;
July 2018;267 573;0,60;
August 2018;364 801;0,71;
September 2018;450 376;0,77;
October 2018;397 831;0,75;
November 2018;413 118;0,77;
December 2018;427 129;0,77;
January 2019;409 047;0,78;
February 2019;428 349;0,76;
March 2019;392 105;0,77;
April 2019;376 187;0,78;
May 2019;302 673;0,68;
June 2019;289 734;0,64;
July 2019;283 656;0,62;
August 2019;360 681;0,75;
September 2019;455 858;0,81;
October 2019;439 154;0,76;
November 2019;497 290;0,81;
December 2019;537 814;0,83;
January 2020;496 083;0,80;
February 2020;487 914;0,74;
March 2020;645 517;0,76;
April 2020;613 426;0,80;
May 2020;472 664;0,75;
June 2020;389 318;0,69;
July 2020;356 403;0,63;
August 2020;466 583;0,73;
September 2020;581 027;0,78;
October 2020;556 279;0,72;
November 2020;610 728;0,81;
December 2020;598 392;0,83;
January 2021;593 267;0,86;
February 2021;634 729;0,85;
March 2021;620 868;0,84;
April 2021;597 491;0,83;
May 2021;502 595;0,73;
June 2021;404 192;0,64;
July 2021;410 867;0,63;
August 2021;542 411;0,74;
September 2021;641 515;0,80;
October 2021;674 975;0,80;
November 2021;709 773;0,83;
December 2021;703 081;0,82;
January 2022;635 613;0,77;
February 2022;730 697;0,79;
March 2022;654 217;0,77;
April 2022;665 848;0,78;
May 2022;496 500;0,66;
June 2022;457 079;0,61;
July 2022;452 468;0,62;
August 2022;544 985;0,65;
September 2022;627 098;0,70;
October 2022;625 796;0,69;
November 2022;598 752;0,66;
December 2022;616 040;0,68;
January 2023;558 379;0,67;
February 2023;608 454;0,67;
March 2023;528 844;0,65;
April 2023;584 557;0,71;
May 2023;427 664;0,56;
June 2023;395 811;0,52;
July 2023;399 824;0,54;
August 2023;512 539;0,64;
September 2023;619 814;0,69;
October 2023;590 049;0,67;
November 2023;592 749;0,66;
December 2023;581 760;0,64;
January 2024;556 783;0,67;
February 2024;542 283;0,63;
March 2024;544 367;0,66;
April 2024;567 040;0,68;
May 2024;414 230;0,57;
June 2024;393 528;0,55;
July 2024;366 567;0,52;
August 2024;470 224;0,65;
September 2024;574 815;0,69;
October 2024;572 387;0,68;
November 2024;618 889;0,72;
