Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Saint-Petersburg and Leningrad Oblast, except Saint Petersburg, all devices
December 2017;440 655;0,81;
January 2018;421 149;0,78;
February 2018;453 607;0,75;
March 2018;413 361;0,75;
April 2018;400 230;0,75;
May 2018;367 198;0,66;
June 2018;358 453;0,64;
July 2018;385 512;0,65;
August 2018;445 939;0,72;
September 2018;542 457;0,77;
October 2018;499 573;0,76;
November 2018;477 575;0,73;
December 2018;558 776;0,78;
January 2019;537 316;0,78;
February 2019;566 623;0,74;
March 2019;532 905;0,76;
April 2019;546 005;0,75;
May 2019;485 205;0,70;
June 2019;472 130;0,65;
July 2019;461 208;0,65;
August 2019;523 138;0,74;
September 2019;617 785;0,79;
October 2019;607 013;0,77;
November 2019;636 413;0,78;
December 2019;736 590;0,84;
January 2020;660 605;0,82;
February 2020;700 136;0,77;
March 2020;896 712;0,75;
April 2020;848 984;0,74;
May 2020;727 468;0,73;
June 2020;649 676;0,69;
July 2020;570 714;0,65;
August 2020;623 803;0,73;
September 2020;714 387;0,74;
October 2020;735 326;0,72;
November 2020;702 229;0,73;
December 2020;781 103;0,81;
January 2021;729 622;0,82;
February 2021;761 078;0,78;
March 2021;872 079;0,81;
April 2021;987 994;0,75;
May 2021;869 337;0,69;
June 2021;645 274;0,61;
July 2021;654 646;0,60;
August 2021;883 278;0,70;
September 2021;1 019 677;0,74;
October 2021;1 090 201;0,76;
November 2021;1 049 012;0,74;
December 2021;1 135 503;0,76;
January 2022;1 050 044;0,71;
February 2022;1 167 748;0,74;
March 2022;1 109 617;0,74;
April 2022;1 099 288;0,72;
May 2022;920 750;0,63;
June 2022;896 934;0,58;
July 2022;869 569;0,57;
August 2022;944 222;0,61;
September 2022;1 017 038;0,63;
October 2022;1 021 763;0,64;
November 2022;945 301;0,61;
December 2022;999 780;0,63;
January 2023;902 389;0,62;
February 2023;995 653;0,63;
March 2023;906 390;0,61;
April 2023;950 946;0,63;
May 2023;785 641;0,54;
June 2023;753 957;0,49;
July 2023;759 058;0,50;
August 2023;848 197;0,58;
September 2023;957 218;0,62;
October 2023;911 349;0,61;
November 2023;918 866;0,61;
December 2023;942 611;0,60;
January 2024;885 819;0,61;
February 2024;873 965;0,58;
March 2024;882 219;0,61;
April 2024;890 527;0,62;
May 2024;746 896;0,54;
June 2024;739 803;0,51;
July 2024;691 203;0,48;
August 2024;817 677;0,59;
September 2024;923 987;0,62;
October 2024;936 936;0,61;
November 2024;1 010 755;0,63;
