Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Lipetsk Oblast, all devices
December 2017;398 458;0,77;
January 2018;381 395;0,74;
February 2018;410 643;0,73;
March 2018;369 411;0,76;
April 2018;387 392;0,82;
May 2018;289 453;0,64;
June 2018;279 435;0,60;
July 2018;279 309;0,62;
August 2018;372 454;0,72;
September 2018;460 602;0,77;
October 2018;392 582;0,74;
November 2018;384 637;0,72;
December 2018;422 249;0,75;
January 2019;415 929;0,78;
February 2019;426 111;0,75;
March 2019;390 852;0,76;
April 2019;396 547;0,81;
May 2019;307 676;0,68;
June 2019;294 282;0,62;
July 2019;284 112;0,61;
August 2019;357 557;0,74;
September 2019;441 786;0,80;
October 2019;421 933;0,75;
November 2019;449 725;0,77;
December 2019;486 799;0,80;
January 2020;455 253;0,77;
February 2020;472 847;0,72;
March 2020;589 729;0,74;
April 2020;585 029;0,79;
May 2020;426 587;0,72;
June 2020;357 493;0,65;
July 2020;330 959;0,61;
August 2020;415 444;0,70;
September 2020;479 369;0,71;
October 2020;506 827;0,70;
November 2020;524 712;0,76;
December 2020;535 713;0,79;
January 2021;549 224;0,83;
February 2021;596 851;0,82;
March 2021;588 479;0,82;
April 2021;576 851;0,81;
May 2021;477 351;0,70;
June 2021;400 586;0,62;
July 2021;418 299;0,63;
August 2021;522 879;0,73;
September 2021;589 916;0,76;
October 2021;602 811;0,75;
November 2021;632 409;0,77;
December 2021;639 139;0,78;
January 2022;611 632;0,74;
February 2022;674 527;0,75;
March 2022;609 359;0,74;
April 2022;619 028;0,76;
May 2022;472 095;0,65;
June 2022;426 679;0,58;
July 2022;432 548;0,58;
August 2022;504 696;0,62;
September 2022;575 732;0,66;
October 2022;574 047;0,66;
November 2022;575 135;0,64;
December 2022;577 119;0,66;
January 2023;522 610;0,65;
February 2023;582 030;0,66;
March 2023;509 592;0,63;
April 2023;543 858;0,69;
May 2023;405 066;0,55;
June 2023;369 359;0,50;
July 2023;380 097;0,53;
August 2023;466 343;0,62;
September 2023;568 633;0,67;
October 2023;544 196;0,65;
November 2023;549 686;0,65;
December 2023;533 478;0,62;
January 2024;518 355;0,65;
February 2024;495 315;0,60;
March 2024;491 078;0,64;
April 2024;491 001;0,67;
May 2024;370 445;0,56;
June 2024;352 232;0,53;
July 2024;330 004;0,49;
August 2024;429 727;0,63;
September 2024;520 494;0,67;
October 2024;533 504;0,67;
November 2024;576 887;0,70;
