Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Tula Oblast, all devices
December 2017;522 549;0,78;
January 2018;502 571;0,76;
February 2018;535 413;0,74;
March 2018;495 707;0,76;
April 2018;500 287;0,79;
May 2018;395 697;0,67;
June 2018;368 886;0,61;
July 2018;370 217;0,63;
August 2018;514 681;0,75;
September 2018;649 300;0,81;
October 2018;573 000;0,78;
November 2018;560 466;0,77;
December 2018;604 560;0,80;
January 2019;591 413;0,81;
February 2019;605 463;0,79;
March 2019;569 813;0,80;
April 2019;559 989;0,84;
May 2019;426 394;0,70;
June 2019;385 285;0,62;
July 2019;383 347;0,62;
August 2019;500 244;0,76;
September 2019;616 332;0,81;
October 2019;605 063;0,80;
November 2019;631 791;0,81;
December 2019;659 570;0,83;
January 2020;617 331;0,79;
February 2020;644 210;0,76;
March 2020;794 323;0,76;
April 2020;708 887;0,75;
May 2020;583 507;0,74;
June 2020;489 579;0,68;
July 2020;465 849;0,65;
August 2020;593 563;0,75;
September 2020;670 189;0,74;
October 2020;664 156;0,70;
November 2020;660 911;0,73;
December 2020;694 711;0,78;
January 2021;696 543;0,80;
February 2021;752 815;0,78;
March 2021;769 375;0,78;
April 2021;753 236;0,77;
May 2021;664 221;0,71;
June 2021;568 809;0,64;
July 2021;570 355;0,62;
August 2021;694 714;0,71;
September 2021;756 206;0,72;
October 2021;800 722;0,73;
November 2021;804 002;0,74;
December 2021;832 975;0,75;
January 2022;742 709;0,70;
February 2022;872 251;0,73;
March 2022;826 177;0,72;
April 2022;786 727;0,71;
May 2022;638 516;0,64;
June 2022;584 251;0,58;
July 2022;585 814;0,58;
August 2022;669 287;0,61;
September 2022;735 798;0,63;
October 2022;748 888;0,63;
November 2022;713 777;0,61;
December 2022;713 908;0,61;
January 2023;652 845;0,61;
February 2023;722 370;0,62;
March 2023;655 505;0,61;
April 2023;683 510;0,64;
May 2023;548 909;0,56;
June 2023;504 054;0,50;
July 2023;529 146;0,54;
August 2023;632 170;0,63;
September 2023;722 418;0,64;
October 2023;693 232;0,63;
November 2023;678 111;0,62;
December 2023;689 327;0,61;
January 2024;648 430;0,61;
February 2024;633 065;0,58;
March 2024;625 172;0,61;
April 2024;619 844;0,62;
May 2024;502 805;0,56;
June 2024;469 897;0,52;
July 2024;451 038;0,49;
August 2024;563 029;0,60;
September 2024;674 914;0,64;
October 2024;679 192;0,63;
November 2024;721 375;0,65;
