Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Krasnoyarsk Krai, all devices
December 2017;949 992;0,75;
January 2018;955 250;0,79;
February 2018;990 046;0,77;
March 2018;902 484;0,76;
April 2018;960 801;0,77;
May 2018;655 657;0,64;
June 2018;617 352;0,59;
July 2018;655 460;0,61;
August 2018;897 659;0,72;
September 2018;1 149 149;0,80;
October 2018;1 013 764;0,76;
November 2018;937 127;0,70;
December 2018;989 829;0,75;
January 2019;978 888;0,74;
February 2019;997 611;0,75;
March 2019;1 029 898;0,78;
April 2019;964 270;0,78;
May 2019;707 545;0,66;
June 2019;641 388;0,61;
July 2019;646 479;0,59;
August 2019;881 509;0,73;
September 2019;1 114 469;0,80;
October 2019;1 067 826;0,76;
November 2019;1 146 348;0,78;
December 2019;1 187 643;0,79;
January 2020;1 154 869;0,80;
February 2020;1 202 438;0,76;
March 2020;1 515 960;0,79;
April 2020;1 432 401;0,80;
May 2020;1 011 627;0,69;
June 2020;799 464;0,60;
July 2020;813 142;0,62;
August 2020;1 126 534;0,73;
September 2020;1 439 334;0,76;
October 2020;1 518 698;0,73;
November 2020;1 525 726;0,79;
December 2020;1 371 445;0,80;
January 2021;1 414 982;0,88;
February 2021;1 462 059;0,82;
March 2021;1 485 133;0,84;
April 2021;1 375 136;0,80;
May 2021;1 085 144;0,68;
June 2021;864 532;0,58;
July 2021;910 188;0,60;
August 2021;1 245 328;0,74;
September 2021;1 501 027;0,79;
October 2021;1 511 705;0,78;
November 2021;1 656 715;0,82;
December 2021;1 569 379;0,78;
January 2022;1 538 045;0,78;
February 2022;1 659 950;0,77;
March 2022;1 576 805;0,77;
April 2022;1 446 625;0,76;
May 2022;1 088 640;0,63;
June 2022;917 798;0,56;
July 2022;999 413;0,56;
August 2022;1 219 805;0,65;
September 2022;1 455 141;0,71;
October 2022;1 489 059;0,70;
November 2022;1 476 845;0,69;
December 2022;1 335 118;0,64;
January 2023;1 296 457;0,67;
February 2023;1 467 174;0,68;
March 2023;1 429 830;0,66;
April 2023;1 448 697;0,71;
May 2023;987 513;0,57;
June 2023;828 487;0,50;
July 2023;891 005;0,52;
August 2023;1 190 795;0,63;
September 2023;1 479 323;0,70;
October 2023;1 411 588;0,68;
November 2023;1 437 892;0,67;
December 2023;1 351 391;0,66;
January 2024;1 304 625;0,67;
February 2024;1 341 946;0,65;
March 2024;1 383 754;0,70;
April 2024;1 278 291;0,69;
May 2024;865 563;0,57;
June 2024;774 183;0,52;
July 2024;764 011;0,51;
August 2024;1 069 542;0,65;
September 2024;1 354 072;0,71;
October 2024;1 361 161;0,70;
November 2024;1 477 121;0,73;
