Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Sakhalin District, all devices
December 2017;96 872;0,74;
January 2018;99 450;0,77;
February 2018;102 344;0,73;
March 2018;98 009;0,75;
April 2018;100 375;0,75;
May 2018;78 351;0,64;
June 2018;68 168;0,56;
July 2018;67 815;0,57;
August 2018;87 866;0,66;
September 2018;113 505;0,73;
October 2018;104 524;0,72;
November 2018;99 359;0,70;
December 2018;104 014;0,70;
January 2019;105 612;0,74;
February 2019;110 080;0,72;
March 2019;111 287;0,77;
April 2019;100 477;0,77;
May 2019;83 362;0,69;
June 2019;68 912;0,58;
July 2019;67 166;0,57;
August 2019;90 156;0,70;
September 2019;117 480;0,76;
October 2019;112 708;0,72;
November 2019;122 004;0,73;
December 2019;132 098;0,76;
January 2020;128 905;0,76;
February 2020;133 132;0,70;
March 2020;171 337;0,73;
April 2020;164 891;0,77;
May 2020;122 169;0,68;
June 2020;96 534;0,60;
July 2020;94 545;0,58;
August 2020;124 052;0,72;
September 2020;146 762;0,73;
October 2020;158 666;0,75;
November 2020;155 956;0,78;
December 2020;156 558;0,78;
January 2021;157 324;0,83;
February 2021;165 856;0,82;
March 2021;181 421;0,85;
April 2021;174 922;0,82;
May 2021;140 754;0,73;
June 2021;111 796;0,62;
July 2021;123 449;0,61;
August 2021;157 614;0,74;
September 2021;178 272;0,78;
October 2021;185 777;0,80;
November 2021;192 976;0,80;
December 2021;192 751;0,78;
January 2022;187 105;0,78;
February 2022;210 870;0,79;
March 2022;208 325;0,81;
April 2022;191 744;0,77;
May 2022;153 211;0,68;
June 2022;126 873;0,59;
July 2022;138 751;0,62;
August 2022;164 220;0,68;
September 2022;193 121;0,73;
October 2022;217 947;0,76;
November 2022;199 241;0,73;
December 2022;181 703;0,68;
January 2023;172 050;0,69;
February 2023;195 494;0,72;
March 2023;183 584;0,70;
April 2023;183 321;0,73;
May 2023;136 855;0,62;
June 2023;117 372;0,54;
July 2023;121 651;0,55;
August 2023;153 147;0,67;
September 2023;184 096;0,73;
October 2023;180 021;0,71;
November 2023;178 964;0,70;
December 2023;170 674;0,65;
January 2024;172 876;0,71;
February 2024;171 231;0,69;
March 2024;177 134;0,74;
April 2024;169 675;0,72;
May 2024;125 615;0,62;
June 2024;114 314;0,56;
July 2024;112 168;0,55;
August 2024;146 627;0,70;
September 2024;184 010;0,76;
October 2024;185 568;0,75;
November 2024;195 794;0,76;
