Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Moscow, all devices
December 2017;8 881 759;0,70;
January 2018;8 550 678;0,65;
February 2018;9 383 803;0,66;
March 2018;8 249 904;0,64;
April 2018;8 260 365;0,65;
May 2018;6 822 510;0,58;
June 2018;6 819 777;0,57;
July 2018;6 874 907;0,57;
August 2018;8 586 098;0,62;
September 2018;10 245 611;0,64;
October 2018;9 556 175;0,64;
November 2018;9 519 855;0,64;
December 2018;10 664 959;0,71;
January 2019;9 343 957;0,67;
February 2019;9 392 089;0,65;
March 2019;8 891 498;0,65;
April 2019;8 809 606;0,68;
May 2019;7 403 664;0,62;
June 2019;7 167 695;0,57;
July 2019;6 685 479;0,56;
August 2019;8 413 302;0,63;
September 2019;9 717 300;0,65;
October 2019;9 128 254;0,63;
November 2019;9 682 412;0,65;
December 2019;10 382 595;0,69;
January 2020;9 627 589;0,64;
February 2020;9 970 893;0,63;
March 2020;10 953 040;0,64;
April 2020;10 032 955;0,63;
May 2020;9 198 881;0,65;
June 2020;8 133 299;0,59;
July 2020;7 472 166;0,55;
August 2020;9 154 940;0,59;
September 2020;10 144 199;0,58;
October 2020;10 801 876;0,58;
November 2020;11 005 145;0,62;
December 2020;10 669 232;0,66;
January 2021;10 222 989;0,64;
February 2021;11 059 933;0,63;
March 2021;10 602 420;0,62;
April 2021;10 279 937;0,67;
May 2021;8 733 171;0,58;
June 2021;8 875 656;0,54;
July 2021;9 314 782;0,54;
August 2021;9 662 872;0,56;
September 2021;9 928 292;0,58;
October 2021;9 598 005;0,58;
November 2021;10 194 407;0,60;
December 2021;10 408 688;0,60;
January 2022;10 390 676;0,59;
February 2022;11 038 089;0,61;
March 2022;9 932 809;0,59;
April 2022;10 057 002;0,56;
May 2022;8 282 832;0,54;
June 2022;6 969 857;0,48;
July 2022;7 395 310;0,47;
August 2022;8 512 061;0,49;
September 2022;8 347 422;0,50;
October 2022;8 224 832;0,48;
November 2022;7 891 626;0,48;
December 2022;7 464 109;0,48;
January 2023;6 742 469;0,46;
February 2023;7 788 711;0,48;
March 2023;6 750 749;0,46;
April 2023;6 825 225;0,48;
May 2023;5 598 474;0,43;
June 2023;4 828 937;0,39;
July 2023;4 890 094;0,40;
August 2023;6 097 871;0,44;
September 2023;7 108 293;0,45;
October 2023;6 925 492;0,46;
November 2023;6 953 827;0,45;
December 2023;7 112 960;0,44;
January 2024;6 417 076;0,45;
February 2024;6 686 304;0,44;
March 2024;6 739 618;0,48;
April 2024;6 666 835;0,48;
May 2024;5 079 874;0,43;
June 2024;4 646 259;0,41;
July 2024;4 519 284;0,39;
August 2024;5 756 351;0,46;
September 2024;6 818 813;0,48;
October 2024;7 337 682;0,48;
November 2024;7 889 098;0,51;
