Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Tyva Republic, all devices
December 2017;38 707;0,75;
January 2018;36 978;0,76;
February 2018;44 451;0,81;
March 2018;41 085;0,86;
April 2018;43 233;0,92;
May 2018;28 673;0,70;
June 2018;20 478;0,50;
July 2018;22 042;0,54;
August 2018;38 356;0,81;
September 2018;54 673;0,97;
October 2018;51 985;0,93;
November 2018;50 291;0,88;
December 2018;45 692;0,81;
January 2019;48 315;0,86;
February 2019;54 150;0,91;
March 2019;53 710;0,92;
April 2019;52 763;0,96;
May 2019;36 857;0,77;
June 2019;25 401;0,54;
July 2019;28 378;0,61;
August 2019;44 249;0,83;
September 2019;62 584;1,00;
October 2019;71 278;1,08;
November 2019;74 233;1,00;
December 2019;63 104;0,85;
January 2020;56 330;0,81;
February 2020;65 026;0,82;
March 2020;86 031;0,79;
April 2020;95 531;0,96;
May 2020;68 393;0,81;
June 2020;40 223;0,57;
July 2020;40 382;0,60;
August 2020;62 932;0,79;
September 2020;86 125;0,90;
October 2020;95 856;0,89;
November 2020;107 695;1,01;
December 2020;82 249;0,86;
January 2021;84 085;0,98;
February 2021;94 821;1,01;
March 2021;102 191;1,04;
April 2021;96 327;1,02;
May 2021;70 861;0,83;
June 2021;47 009;0,58;
July 2021;47 597;0,59;
August 2021;82 094;0,88;
September 2021;108 416;1,02;
October 2021;116 701;1,00;
November 2021;142 594;1,16;
December 2021;94 439;0,80;
January 2022;119 716;0,96;
February 2022;137 646;1,08;
March 2022;121 289;1,03;
April 2022;117 223;1,05;
May 2022;73 690;0,78;
June 2022;53 450;0,59;
July 2022;56 028;0,63;
August 2022;94 688;0,87;
September 2022;130 231;1,06;
October 2022;127 851;0,98;
November 2022;140 600;1,01;
December 2022;106 116;0,81;
January 2023;94 751;0,82;
February 2023;127 899;0,97;
March 2023;119 369;0,92;
April 2023;131 488;1,06;
May 2023;72 663;0,72;
June 2023;53 334;0,56;
July 2023;57 793;0,60;
August 2023;95 585;0,84;
September 2023;134 967;1,04;
October 2023;126 723;0,96;
November 2023;151 904;1,05;
December 2023;111 606;0,82;
January 2024;108 371;0,87;
February 2024;118 808;0,94;
March 2024;119 759;0,97;
April 2024;121 525;1,07;
May 2024;68 936;0,76;
June 2024;56 972;0,64;
July 2024;55 088;0,63;
August 2024;90 987;0,86;
September 2024;130 719;1,06;
October 2024;131 858;0,99;
November 2024;154 347;1,08;
