Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Arkhangel'skaya Oblast', all devices
December 2017;346 205;0,82;
January 2018;328 274;0,80;
February 2018;351 802;0,79;
March 2018;344 529;0,82;
April 2018;331 451;0,82;
May 2018;244 810;0,67;
June 2018;210 192;0,62;
July 2018;229 105;0,64;
August 2018;317 762;0,74;
September 2018;414 250;0,84;
October 2018;351 533;0,79;
November 2018;352 968;0,79;
December 2018;366 201;0,79;
January 2019;346 821;0,80;
February 2019;362 137;0,78;
March 2019;376 475;0,83;
April 2019;346 239;0,83;
May 2019;253 582;0,69;
June 2019;224 488;0,63;
July 2019;225 408;0,64;
August 2019;299 475;0,75;
September 2019;386 724;0,83;
October 2019;356 061;0,78;
November 2019;392 080;0,82;
December 2019;402 251;0,82;
January 2020;382 128;0,81;
February 2020;410 983;0,79;
March 2020;579 045;0,81;
April 2020;492 042;0,80;
May 2020;335 515;0,73;
June 2020;260 873;0,62;
July 2020;249 789;0,62;
August 2020;351 053;0,73;
September 2020;442 245;0,79;
October 2020;453 816;0,78;
November 2020;473 399;0,83;
December 2020;441 950;0,79;
January 2021;445 728;0,84;
February 2021;467 482;0,84;
March 2021;539 966;0,89;
April 2021;514 824;0,83;
May 2021;394 753;0,73;
June 2021;282 420;0,63;
July 2021;288 088;0,61;
August 2021;455 292;0,76;
September 2021;557 882;0,83;
October 2021;547 274;0,80;
November 2021;607 067;0,84;
December 2021;569 485;0,81;
January 2022;550 771;0,79;
February 2022;591 171;0,80;
March 2022;604 468;0,83;
April 2022;530 210;0,75;
May 2022;392 110;0,65;
June 2022;327 080;0,58;
July 2022;333 317;0,59;
August 2022;451 483;0,67;
September 2022;534 183;0,73;
October 2022;531 297;0,72;
November 2022;558 396;0,75;
December 2022;515 439;0,70;
January 2023;486 024;0,72;
February 2023;528 191;0,71;
March 2023;525 679;0,74;
April 2023;491 763;0,73;
May 2023;356 147;0,61;
June 2023;304 133;0,54;
July 2023;305 481;0,56;
August 2023;420 659;0,67;
September 2023;531 714;0,76;
October 2023;515 270;0,73;
November 2023;534 391;0,75;
December 2023;513 729;0,72;
January 2024;491 606;0,73;
February 2024;487 047;0,70;
March 2024;505 005;0,74;
April 2024;493 833;0,77;
May 2024;340 572;0,64;
June 2024;295 197;0,58;
July 2024;285 310;0,56;
August 2024;407 802;0,71;
September 2024;513 205;0,78;
October 2024;527 586;0,77;
November 2024;577 841;0,81;
