Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Tver Oblast, all devices
December 2017;390 183;0,74;
January 2018;367 809;0,71;
February 2018;402 930;0,70;
March 2018;358 932;0,71;
April 2018;357 045;0,73;
May 2018;287 759;0,61;
June 2018;271 872;0,56;
July 2018;306 064;0,63;
August 2018;366 261;0,68;
September 2018;438 978;0,71;
October 2018;393 900;0,70;
November 2018;376 580;0,68;
December 2018;424 983;0,73;
January 2019;405 217;0,74;
February 2019;412 967;0,70;
March 2019;389 647;0,72;
April 2019;372 551;0,72;
May 2019;311 208;0,65;
June 2019;297 851;0,60;
July 2019;290 411;0,59;
August 2019;357 722;0,70;
September 2019;426 888;0,73;
October 2019;425 269;0,72;
November 2019;437 873;0,71;
December 2019;494 166;0,78;
January 2020;454 858;0,75;
February 2020;466 090;0,71;
March 2020;635 630;0,73;
April 2020;605 062;0,77;
May 2020;431 426;0,70;
June 2020;374 776;0,62;
July 2020;350 877;0,60;
August 2020;432 527;0,70;
September 2020;500 455;0,71;
October 2020;533 084;0,71;
November 2020;524 256;0,72;
December 2020;552 829;0,77;
January 2021;559 041;0,80;
February 2021;602 951;0,79;
March 2021;625 146;0,80;
April 2021;613 227;0,78;
May 2021;517 776;0,69;
June 2021;439 785;0,62;
July 2021;461 022;0,62;
August 2021;566 556;0,71;
September 2021;642 269;0,75;
October 2021;654 584;0,75;
November 2021;663 500;0,75;
December 2021;705 753;0,78;
January 2022;654 356;0,74;
February 2022;727 843;0,75;
March 2022;698 717;0,75;
April 2022;667 062;0,74;
May 2022;516 742;0,63;
June 2022;474 704;0,57;
July 2022;478 273;0,57;
August 2022;558 732;0,63;
September 2022;621 283;0,65;
October 2022;625 559;0,66;
November 2022;599 985;0,63;
December 2022;615 282;0,64;
January 2023;561 220;0,64;
February 2023;614 445;0,64;
March 2023;558 063;0,63;
April 2023;595 369;0,68;
May 2023;455 954;0,56;
June 2023;413 163;0,49;
July 2023;421 909;0,51;
August 2023;504 754;0,61;
September 2023;597 421;0,65;
October 2023;572 536;0,63;
November 2023;571 929;0,63;
December 2023;589 243;0,63;
January 2024;554 816;0,64;
February 2024;543 945;0,61;
March 2024;548 850;0,65;
April 2024;543 372;0,67;
May 2024;419 306;0,57;
June 2024;399 241;0,52;
July 2024;377 983;0,50;
August 2024;468 563;0,60;
September 2024;560 380;0,65;
October 2024;567 409;0,65;
November 2024;600 586;0,67;
