Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Samara Oblast, all devices
December 2017;1 193 370;0,77;
January 2018;1 234 620;0,73;
February 2018;1 488 275;0,74;
March 2018;1 372 270;0,73;
April 2018;1 359 340;0,75;
May 2018;1 062 567;0,63;
June 2018;1 083 309;0,61;
July 2018;1 095 925;0,62;
August 2018;1 452 211;0,72;
September 2018;1 791 200;0,77;
October 2018;1 621 929;0,75;
November 2018;1 605 496;0,74;
December 2018;1 720 963;0,78;
January 2019;1 628 115;0,76;
February 2019;1 674 002;0,75;
March 2019;1 592 014;0,75;
April 2019;1 565 498;0,77;
May 2019;1 229 367;0,67;
June 2019;1 152 503;0,62;
July 2019;1 149 423;0,60;
August 2019;1 460 638;0,72;
September 2019;1 635 706;0,76;
October 2019;1 549 625;0,73;
November 2019;1 572 984;0,74;
December 2019;1 672 595;0,79;
January 2020;1 516 978;0,74;
February 2020;1 617 981;0,70;
March 2020;2 163 470;0,75;
April 2020;1 933 143;0,78;
May 2020;1 310 544;0,70;
June 2020;1 015 792;0,63;
July 2020;995 746;0,60;
August 2020;1 244 370;0,68;
September 2020;1 411 022;0,69;
October 2020;1 590 194;0,71;
November 2020;1 617 151;0,72;
December 2020;1 551 790;0,77;
January 2021;1 487 166;0,78;
February 2021;1 600 326;0,75;
March 2021;1 611 792;0,77;
April 2021;1 477 981;0,75;
May 2021;1 324 189;0,67;
June 2021;1 139 004;0,59;
July 2021;1 140 123;0,58;
August 2021;1 415 121;0,67;
September 2021;1 595 036;0,68;
October 2021;1 674 917;0,70;
November 2021;1 657 488;0,70;
December 2021;1 666 413;0,72;
January 2022;1 603 904;0,69;
February 2022;1 802 200;0,70;
March 2022;1 617 346;0,69;
April 2022;1 611 759;0,69;
May 2022;1 279 661;0,61;
June 2022;1 126 697;0,55;
July 2022;1 139 452;0,55;
August 2022;1 350 492;0,59;
September 2022;1 505 107;0,61;
October 2022;1 552 492;0,62;
November 2022;1 513 647;0,60;
December 2022;1 471 692;0,59;
January 2023;1 352 363;0,59;
February 2023;1 470 988;0,59;
March 2023;1 355 236;0,59;
April 2023;1 426 260;0,63;
May 2023;1 078 304;0,52;
June 2023;973 333;0,48;
July 2023;993 199;0,49;
August 2023;1 229 981;0,57;
September 2023;1 491 613;0,62;
October 2023;1 457 347;0,61;
November 2023;1 441 830;0,60;
December 2023;1 433 185;0,60;
January 2024;1 368 898;0,60;
February 2024;1 337 610;0,57;
March 2024;1 312 936;0,61;
April 2024;1 318 496;0,62;
May 2024;992 614;0,53;
June 2024;931 317;0,50;
July 2024;876 395;0,47;
August 2024;1 128 562;0,58;
September 2024;1 410 044;0,63;
October 2024;1 481 713;0,63;
November 2024;1 545 097;0,64;
