Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Saratov Oblast, all devices
December 2017;748 304;0,74;
January 2018;692 786;0,69;
February 2018;750 476;0,70;
March 2018;669 777;0,70;
April 2018;712 341;0,76;
May 2018;560 091;0,62;
June 2018;527 606;0,58;
July 2018;535 233;0,60;
August 2018;719 323;0,69;
September 2018;860 615;0,73;
October 2018;789 691;0,72;
November 2018;785 950;0,71;
December 2018;822 792;0,72;
January 2019;792 129;0,71;
February 2019;855 014;0,73;
March 2019;792 472;0,75;
April 2019;770 598;0,77;
May 2019;601 330;0,66;
June 2019;563 617;0,61;
July 2019;561 020;0,60;
August 2019;728 017;0,71;
September 2019;871 915;0,74;
October 2019;847 089;0,72;
November 2019;867 559;0,74;
December 2019;920 132;0,76;
January 2020;883 939;0,73;
February 2020;926 039;0,72;
March 2020;1 185 605;0,75;
April 2020;1 167 949;0,82;
May 2020;819 746;0,71;
June 2020;666 030;0,64;
July 2020;653 850;0,61;
August 2020;859 617;0,71;
September 2020;982 156;0,71;
October 2020;1 098 639;0,70;
November 2020;1 139 815;0,76;
December 2020;1 161 456;0,78;
January 2021;1 163 999;0,81;
February 2021;1 243 165;0,79;
March 2021;1 214 881;0,81;
April 2021;1 101 300;0,80;
May 2021;925 888;0,67;
June 2021;783 483;0,60;
July 2021;791 276;0,59;
August 2021;997 445;0,68;
September 2021;1 139 566;0,71;
October 2021;1 212 202;0,75;
November 2021;1 219 075;0,75;
December 2021;1 219 669;0,76;
January 2022;1 139 137;0,72;
February 2022;1 300 122;0,74;
March 2022;1 210 889;0,75;
April 2022;1 192 628;0,75;
May 2022;891 355;0,63;
June 2022;784 463;0,56;
July 2022;784 745;0,57;
August 2022;956 480;0,61;
September 2022;1 098 241;0,65;
October 2022;1 141 236;0,67;
November 2022;1 053 325;0,62;
December 2022;1 083 847;0,63;
January 2023;979 407;0,63;
February 2023;1 083 751;0,64;
March 2023;965 879;0,63;
April 2023;1 045 353;0,68;
May 2023;754 347;0,54;
June 2023;671 387;0,49;
July 2023;681 974;0,51;
August 2023;887 876;0,61;
September 2023;1 044 219;0,64;
October 2023;1 042 741;0,64;
November 2023;1 048 618;0,64;
December 2023;1 002 032;0,61;
January 2024;951 690;0,62;
February 2024;939 359;0,60;
March 2024;948 445;0,66;
April 2024;941 688;0,67;
May 2024;685 423;0,55;
June 2024;632 039;0,51;
July 2024;601 687;0,48;
August 2024;829 499;0,62;
September 2024;994 830;0,65;
October 2024;1 023 704;0,65;
November 2024;1 108 015;0,68;
