Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Komi Republic, all devices
December 2017;294 456;0,79;
January 2018;290 639;0,77;
February 2018;308 942;0,75;
March 2018;297 802;0,78;
April 2018;308 711;0,82;
May 2018;221 255;0,68;
June 2018;183 130;0,61;
July 2018;191 862;0,61;
August 2018;276 702;0,73;
September 2018;369 693;0,83;
October 2018;316 864;0,79;
November 2018;314 734;0,79;
December 2018;323 616;0,78;
January 2019;312 786;0,79;
February 2019;325 309;0,79;
March 2019;331 674;0,83;
April 2019;316 329;0,84;
May 2019;230 328;0,71;
June 2019;193 454;0,63;
July 2019;193 504;0,64;
August 2019;264 705;0,78;
September 2019;336 120;0,84;
October 2019;321 191;0,80;
November 2019;344 191;0,84;
December 2019;341 193;0,82;
January 2020;332 606;0,82;
February 2020;364 153;0,79;
March 2020;438 304;0,76;
April 2020;426 700;0,80;
May 2020;299 826;0,75;
June 2020;224 431;0,65;
July 2020;214 797;0,63;
August 2020;294 157;0,75;
September 2020;374 755;0,81;
October 2020;379 058;0,79;
November 2020;389 592;0,83;
December 2020;373 891;0,81;
January 2021;384 995;0,85;
February 2021;396 781;0,85;
March 2021;449 261;0,91;
April 2021;431 752;0,87;
May 2021;326 826;0,75;
June 2021;240 122;0,64;
July 2021;238 705;0,62;
August 2021;375 063;0,79;
September 2021;457 853;0,85;
October 2021;468 161;0,86;
November 2021;482 065;0,86;
December 2021;456 098;0,82;
January 2022;441 137;0,80;
February 2022;484 229;0,82;
March 2022;467 585;0,82;
April 2022;437 126;0,80;
May 2022;326 239;0,70;
June 2022;267 020;0,62;
July 2022;269 906;0,62;
August 2022;353 819;0,70;
September 2022;430 871;0,76;
October 2022;430 688;0,75;
November 2022;421 582;0,73;
December 2022;411 977;0,72;
January 2023;394 656;0,74;
February 2023;441 256;0,76;
March 2023;419 930;0,75;
April 2023;413 014;0,78;
May 2023;298 465;0,65;
June 2023;247 731;0,58;
July 2023;250 261;0,60;
August 2023;337 542;0,72;
September 2023;435 222;0,81;
October 2023;403 457;0,76;
November 2023;419 899;0,78;
December 2023;411 982;0,75;
January 2024;401 844;0,78;
February 2024;400 504;0,76;
March 2024;414 353;0,81;
April 2024;391 196;0,79;
May 2024;270 874;0,68;
June 2024;234 195;0,62;
July 2024;222 078;0,60;
August 2024;313 118;0,74;
September 2024;396 825;0,81;
October 2024;404 597;0,79;
November 2024;433 086;0,82;
