Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;446;0,0026;
январь 2018;387;0,0022;
февраль 2018;343;0,0019;
март 2018;401;0,0023;
апрель 2018;305;0,0018;
май 2018;273;0,0019;
июнь 2018;234;0,0016;
июль 2018;234;0,0016;
август 2018;293;0,0017;
сентябрь 2018;430;0,0021;
октябрь 2018;423;0,0020;
ноябрь 2018;329;0,0016;
декабрь 2018;494;0,0023;
январь 2019;385;0,0018;
февраль 2019;363;0,0016;
март 2019;371;0,0017;
апрель 2019;304;0,0015;
май 2019;256;0,0015;
июнь 2019;292;0,0018;
июль 2019;298;0,0018;
август 2019;320;0,0017;
сентябрь 2019;437;0,0019;
октябрь 2019;463;0,0020;
ноябрь 2019;346;0,0013;
декабрь 2019;482;0,0018;
январь 2020;587;0,0022;
февраль 2020;455;0,0016;
март 2020;805;0,0021;
апрель 2020;975;0,0027;
май 2020;591;0,0023;
июнь 2020;327;0,0014;
июль 2020;317;0,0014;
август 2020;452;0,0016;
сентябрь 2020;662;0,0018;
октябрь 2020;814;0,0021;
ноябрь 2020;890;0,0025;
декабрь 2020;764;0,0023;
январь 2021;1 119;0,0036;
февраль 2021;840;0,0026;
март 2021;723;0,0022;
апрель 2021;757;0,0022;
май 2021;519;0,0018;
июнь 2021;367;0,0014;
июль 2021;312;0,0012;
август 2021;507;0,0016;
сентябрь 2021;1 436;0,0037;
октябрь 2021;914;0,0025;
ноябрь 2021;816;0,0020;
декабрь 2021;668;0,0017;
январь 2022;936;0,0023;
февраль 2022;810;0,0020;
март 2022;761;0,0020;
апрель 2022;663;0,0017;
май 2022;528;0,0017;
июнь 2022;502;0,0016;
июль 2022;562;0,0017;
август 2022;491;0,0014;
сентябрь 2022;721;0,0018;
октябрь 2022;794;0,0018;
ноябрь 2022;767;0,0017;
декабрь 2022;740;0,0016;
январь 2023;590;0,0014;
февраль 2023;781;0,0018;
март 2023;604;0,0014;
апрель 2023;666;0,0015;
май 2023;449;0,0012;
июнь 2023;422;0,0012;
июль 2023;402;0,0011;
август 2023;610;0,0016;
сентябрь 2023;867;0,0020;
октябрь 2023;631;0,0014;
ноябрь 2023;828;0,0017;
декабрь 2023;720;0,0016;
январь 2024;670;0,0016;
февраль 2024;743;0,0017;
март 2024;610;0,0015;
апрель 2024;545;0,0014;
май 2024;458;0,0013;
июнь 2024;397;0,0012;
июль 2024;404;0,0012;
август 2024;513;0,0014;
сентябрь 2024;828;0,0019;
октябрь 2024;846;0,0019;
ноябрь 2024;986;0,0021;
декабрь 2024;746;0,0017;
