Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;2 872;0,0032;
январь 2018;2 614;0,0030;
февраль 2018;2 487;0,0026;
март 2018;2 339;0,0028;
апрель 2018;2 004;0,0023;
май 2018;1 683;0,0021;
июнь 2018;2 026;0,0024;
июль 2018;2 213;0,0027;
август 2018;2 135;0,0023;
сентябрь 2018;2 299;0,0023;
октябрь 2018;2 138;0,0022;
ноябрь 2018;1 861;0,0018;
декабрь 2018;2 481;0,0023;
январь 2019;2 287;0,0023;
февраль 2019;2 350;0,0022;
март 2019;2 010;0,0020;
апрель 2019;1 862;0,0020;
май 2019;1 999;0,0023;
июнь 2019;2 061;0,0023;
июль 2019;1 944;0,0022;
август 2019;2 001;0,0021;
сентябрь 2019;2 272;0,0022;
октябрь 2019;2 047;0,0019;
ноябрь 2019;1 997;0,0018;
декабрь 2019;2 816;0,0024;
январь 2020;2 746;0,0025;
февраль 2020;2 303;0,0019;
март 2020;3 771;0,0024;
апрель 2020;3 816;0,0026;
май 2020;3 474;0,0030;
июнь 2020;2 617;0,0024;
июль 2020;2 035;0,0019;
август 2020;2 206;0,0019;
сентябрь 2020;2 649;0,0020;
октябрь 2020;3 048;0,0022;
ноябрь 2020;3 257;0,0023;
декабрь 2020;3 415;0,0026;
январь 2021;3 252;0,0027;
февраль 2021;3 304;0,0025;
март 2021;2 827;0,0021;
апрель 2021;2 515;0,0020;
май 2021;2 762;0,0022;
июнь 2021;2 090;0,0017;
июль 2021;2 096;0,0017;
август 2021;2 575;0,0020;
сентябрь 2021;2 461;0,0018;
октябрь 2021;3 011;0,0021;
ноябрь 2021;2 880;0,0020;
декабрь 2021;2 901;0,0019;
январь 2022;2 690;0,0019;
февраль 2022;3 215;0,0020;
март 2022;2 576;0,0018;
апрель 2022;2 467;0,0016;
май 2022;2 370;0,0017;
июнь 2022;2 323;0,0017;
июль 2022;2 372;0,0017;
август 2022;2 089;0,0014;
сентябрь 2022;2 230;0,0014;
октябрь 2022;2 653;0,0016;
ноябрь 2022;2 410;0,0015;
декабрь 2022;2 616;0,0016;
январь 2023;2 193;0,0015;
февраль 2023;2 603;0,0016;
март 2023;2 077;0,0013;
апрель 2023;2 282;0,0015;
май 2023;1 976;0,0014;
июнь 2023;1 828;0,0013;
июль 2023;1 858;0,0014;
август 2023;2 087;0,0015;
сентябрь 2023;2 199;0,0014;
октябрь 2023;2 185;0,0014;
ноябрь 2023;2 235;0,0014;
декабрь 2023;2 383;0,0015;
январь 2024;2 031;0,0014;
февраль 2024;1 963;0,0013;
март 2024;2 034;0,0015;
апрель 2024;1 868;0,0013;
май 2024;1 484;0,0012;
июнь 2024;1 494;0,0012;
июль 2024;1 475;0,0012;
август 2024;1 742;0,0013;
сентябрь 2024;2 166;0,0015;
октябрь 2024;2 202;0,0015;
ноябрь 2024;2 259;0,0014;
декабрь 2024;2 402;0,0015;
