Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;8 469;0,0032;
январь 2018;7 476;0,0027;
февраль 2018;6 840;0,0023;
март 2018;6 517;0,0024;
апрель 2018;6 022;0,0023;
май 2018;5 037;0,0021;
июнь 2018;5 314;0,0023;
июль 2018;5 295;0,0022;
август 2018;6 059;0,0023;
сентябрь 2018;8 395;0,0025;
октябрь 2018;7 539;0,0024;
ноябрь 2018;5 978;0,0019;
декабрь 2018;8 379;0,0025;
январь 2019;7 602;0,0024;
февраль 2019;7 647;0,0023;
март 2019;7 302;0,0023;
апрель 2019;6 351;0,0021;
май 2019;6 423;0,0023;
июнь 2019;6 505;0,0024;
июль 2019;6 030;0,0022;
август 2019;6 596;0,0022;
сентябрь 2019;8 363;0,0026;
октябрь 2019;7 482;0,0023;
ноябрь 2019;6 709;0,0020;
декабрь 2019;8 369;0,0025;
январь 2020;8 838;0,0027;
февраль 2020;8 751;0,0025;
март 2020;11 997;0,0028;
апрель 2020;10 297;0,0028;
май 2020;8 461;0,0027;
июнь 2020;6 750;0,0023;
июль 2020;6 529;0,0022;
август 2020;8 596;0,0023;
сентябрь 2020;9 801;0,0024;
октябрь 2020;13 459;0,0030;
ноябрь 2020;12 085;0,0028;
декабрь 2020;12 655;0,0033;
январь 2021;13 420;0,0038;
февраль 2021;13 675;0,0037;
март 2021;13 352;0,0038;
апрель 2021;8 349;0,0026;
май 2021;7 496;0,0024;
июнь 2021;6 323;0,0019;
июль 2021;6 257;0,0019;
август 2021;7 596;0,0022;
сентябрь 2021;8 137;0,0022;
октябрь 2021;10 070;0,0026;
ноябрь 2021;8 211;0,0022;
декабрь 2021;8 294;0,0023;
январь 2022;8 687;0,0024;
февраль 2022;9 043;0,0023;
март 2022;8 578;0,0023;
апрель 2022;7 310;0,0020;
май 2022;7 501;0,0022;
июнь 2022;7 061;0,0022;
июль 2022;7 570;0,0023;
август 2022;7 037;0,0019;
сентябрь 2022;7 188;0,0018;
октябрь 2022;8 002;0,0020;
ноябрь 2022;7 090;0,0017;
декабрь 2022;6 997;0,0018;
январь 2023;6 352;0,0018;
февраль 2023;7 293;0,0019;
март 2023;6 070;0,0016;
апрель 2023;6 470;0,0018;
май 2023;5 672;0,0017;
июнь 2023;5 143;0,0016;
июль 2023;4 986;0,0016;
август 2023;5 599;0,0016;
сентябрь 2023;6 975;0,0018;
октябрь 2023;6 840;0,0018;
ноябрь 2023;6 046;0,0015;
декабрь 2023;6 775;0,0018;
январь 2024;6 104;0,0017;
февраль 2024;6 177;0,0016;
март 2024;6 221;0,0017;
апрель 2024;5 602;0,0016;
май 2024;5 208;0,0017;
июнь 2024;5 120;0,0017;
июль 2024;4 956;0,0017;
август 2024;5 572;0,0017;
сентябрь 2024;7 891;0,0021;
октябрь 2024;7 677;0,0020;
ноябрь 2024;7 600;0,0019;
декабрь 2024;7 452;0,0020;
