Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;1 301;0,0027;
январь 2018;1 216;0,0026;
февраль 2018;1 358;0,0027;
март 2018;1 141;0,0024;
апрель 2018;861;0,0019;
май 2018;816;0,0020;
июнь 2018;834;0,0020;
июль 2018;1 071;0,0026;
август 2018;1 132;0,0024;
сентябрь 2018;1 527;0,0028;
октябрь 2018;1 408;0,0028;
ноябрь 2018;877;0,0017;
декабрь 2018;1 185;0,0023;
январь 2019;1 178;0,0024;
февраль 2019;1 214;0,0023;
март 2019;1 111;0,0023;
апрель 2019;1 111;0,0025;
май 2019;934;0,0023;
июнь 2019;1 046;0,0026;
июль 2019;857;0,0021;
август 2019;993;0,0022;
сентябрь 2019;1 214;0,0023;
октябрь 2019;1 051;0,0020;
ноябрь 2019;1 121;0,0020;
декабрь 2019;1 345;0,0023;
январь 2020;1 312;0,0023;
февраль 2020;1 346;0,0022;
март 2020;2 291;0,0030;
апрель 2020;1 733;0,0028;
май 2020;1 844;0,0032;
июнь 2020;1 313;0,0026;
июль 2020;1 530;0,0030;
август 2020;1 404;0,0023;
сентябрь 2020;1 465;0,0021;
октябрь 2020;2 152;0,0030;
ноябрь 2020;1 946;0,0027;
декабрь 2020;2 196;0,0032;
январь 2021;2 244;0,0035;
февраль 2021;2 451;0,0035;
март 2021;1 986;0,0029;
апрель 2021;1 503;0,0023;
май 2021;1 663;0,0027;
июнь 2021;1 134;0,0020;
июль 2021;1 158;0,0019;
август 2021;1 419;0,0021;
сентябрь 2021;1 338;0,0018;
октябрь 2021;1 909;0,0025;
ноябрь 2021;1 597;0,0020;
декабрь 2021;1 861;0,0024;
январь 2022;1 943;0,0024;
февраль 2022;1 715;0,0020;
март 2022;1 837;0,0024;
апрель 2022;1 735;0,0022;
май 2022;1 648;0,0024;
июнь 2022;1 603;0,0024;
июль 2022;1 507;0,0023;
август 2022;1 396;0,0018;
сентябрь 2022;1 317;0,0016;
октябрь 2022;1 394;0,0017;
ноябрь 2022;1 273;0,0015;
декабрь 2022;1 519;0,0018;
январь 2023;1 374;0,0018;
февраль 2023;1 741;0,0021;
март 2023;1 690;0,0023;
апрель 2023;1 535;0,0020;
май 2023;1 204;0,0018;
июнь 2023;1 307;0,0020;
июль 2023;1 304;0,0020;
август 2023;1 545;0,0022;
сентябрь 2023;1 482;0,0018;
октябрь 2023;1 731;0,0022;
ноябрь 2023;1 240;0,0015;
декабрь 2023;1 473;0,0018;
январь 2024;1 467;0,0020;
февраль 2024;1 449;0,0018;
март 2024;1 314;0,0019;
апрель 2024;1 542;0,0022;
май 2024;1 053;0,0017;
июнь 2024;1 094;0,0018;
июль 2024;997;0,0016;
август 2024;1 184;0,0018;
сентябрь 2024;1 517;0,0020;
октябрь 2024;1 648;0,0021;
ноябрь 2024;1 868;0,0023;
декабрь 2024;1 629;0,0020;
