Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;4 913;0,0031;
январь 2018;4 633;0,0030;
февраль 2018;4 344;0,0026;
март 2018;3 653;0,0024;
апрель 2018;3 641;0,0024;
май 2018;3 227;0,0024;
июнь 2018;3 103;0,0024;
июль 2018;3 228;0,0023;
август 2018;8 666;0,0056;
сентябрь 2018;5 113;0,0028;
октябрь 2018;4 586;0,0028;
ноябрь 2018;4 894;0,0030;
декабрь 2018;4 452;0,0027;
январь 2019;4 691;0,0028;
февраль 2019;4 025;0,0024;
март 2019;3 997;0,0025;
апрель 2019;3 425;0,0023;
май 2019;3 476;0,0025;
июнь 2019;2 985;0,0023;
июль 2019;2 971;0,0021;
август 2019;3 890;0,0025;
сентябрь 2019;4 610;0,0026;
октябрь 2019;4 345;0,0024;
ноябрь 2019;4 018;0,0021;
декабрь 2019;5 002;0,0026;
январь 2020;5 191;0,0028;
февраль 2020;5 068;0,0026;
март 2020;8 298;0,0034;
апрель 2020;6 121;0,0030;
май 2020;5 189;0,0029;
июнь 2020;3 839;0,0024;
июль 2020;3 488;0,0021;
август 2020;4 779;0,0026;
сентябрь 2020;5 599;0,0027;
октябрь 2020;6 216;0,0028;
ноябрь 2020;6 067;0,0027;
декабрь 2020;7 995;0,0035;
январь 2021;8 627;0,0038;
февраль 2021;7 815;0,0031;
март 2021;7 233;0,0031;
апрель 2021;4 829;0,0024;
май 2021;4 986;0,0025;
июнь 2021;3 390;0,0018;
июль 2021;3 451;0,0018;
август 2021;4 886;0,0023;
сентябрь 2021;5 312;0,0023;
октябрь 2021;6 488;0,0026;
ноябрь 2021;5 672;0,0023;
декабрь 2021;6 309;0,0026;
январь 2022;5 884;0,0024;
февраль 2022;6 652;0,0025;
март 2022;5 592;0,0023;
апрель 2022;4 584;0,0019;
май 2022;4 453;0,0021;
июнь 2022;3 618;0,0018;
июль 2022;3 728;0,0018;
август 2022;4 458;0,0019;
сентябрь 2022;4 662;0,0019;
октябрь 2022;4 954;0,0019;
ноябрь 2022;4 587;0,0017;
декабрь 2022;4 703;0,0018;
январь 2023;4 452;0,0019;
февраль 2023;4 862;0,0019;
март 2023;4 058;0,0017;
апрель 2023;3 517;0,0015;
май 2023;3 315;0,0016;
июнь 2023;2 969;0,0014;
июль 2023;2 888;0,0014;
август 2023;3 663;0,0016;
сентябрь 2023;4 553;0,0018;
октябрь 2023;4 606;0,0019;
ноябрь 2023;4 027;0,0015;
декабрь 2023;4 328;0,0017;
январь 2024;4 015;0,0017;
февраль 2024;3 836;0,0016;
март 2024;3 656;0,0016;
апрель 2024;3 627;0,0016;
май 2024;2 643;0,0014;
июнь 2024;2 630;0,0014;
июль 2024;2 294;0,0012;
август 2024;3 353;0,0017;
сентябрь 2024;4 565;0,0019;
октябрь 2024;4 553;0,0019;
ноябрь 2024;4 115;0,0017;
декабрь 2024;4 962;0,0021;
