Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;868;0,0039;
январь 2018;798;0,0036;
февраль 2018;790;0,0033;
март 2018;760;0,0033;
апрель 2018;796;0,0035;
май 2018;623;0,0037;
июнь 2018;570;0,0037;
июль 2018;518;0,0032;
август 2018;539;0,0025;
сентябрь 2018;777;0,0029;
октябрь 2018;685;0,0027;
ноябрь 2018;538;0,0022;
декабрь 2018;920;0,0037;
январь 2019;787;0,0031;
февраль 2019;890;0,0034;
март 2019;1 103;0,0043;
апрель 2019;737;0,0031;
май 2019;686;0,0038;
июнь 2019;547;0,0034;
июль 2019;500;0,0029;
август 2019;655;0,0029;
сентябрь 2019;770;0,0028;
октябрь 2019;677;0,0025;
ноябрь 2019;689;0,0024;
декабрь 2019;937;0,0033;
январь 2020;898;0,0030;
февраль 2020;836;0,0026;
март 2020;1 017;0,0026;
апрель 2020;1 090;0,0029;
май 2020;633;0,0024;
июнь 2020;528;0,0023;
июль 2020;467;0,0021;
август 2020;654;0,0023;
сентябрь 2020;1 063;0,0031;
октябрь 2020;1 221;0,0032;
ноябрь 2020;955;0,0027;
декабрь 2020;1 245;0,0037;
январь 2021;1 086;0,0033;
февраль 2021;908;0,0027;
март 2021;957;0,0027;
апрель 2021;821;0,0024;
май 2021;697;0,0025;
июнь 2021;511;0,0021;
июль 2021;515;0,0021;
август 2021;728;0,0022;
сентябрь 2021;705;0,0018;
октябрь 2021;934;0,0024;
ноябрь 2021;833;0,0020;
декабрь 2021;878;0,0021;
январь 2022;860;0,0021;
февраль 2022;969;0,0022;
март 2022;866;0,0021;
апрель 2022;708;0,0018;
май 2022;608;0,0019;
июнь 2022;577;0,0020;
июль 2022;572;0,0020;
август 2022;661;0,0018;
сентябрь 2022;771;0,0018;
октябрь 2022;863;0,0019;
ноябрь 2022;697;0,0015;
декабрь 2022;679;0,0015;
январь 2023;629;0,0015;
февраль 2023;755;0,0017;
март 2023;658;0,0015;
апрель 2023;747;0,0019;
май 2023;460;0,0015;
июнь 2023;448;0,0016;
июль 2023;471;0,0017;
август 2023;503;0,0014;
сентябрь 2023;707;0,0017;
октябрь 2023;626;0,0015;
ноябрь 2023;622;0,0015;
декабрь 2023;711;0,0017;
январь 2024;729;0,0018;
февраль 2024;566;0,0014;
март 2024;693;0,0017;
апрель 2024;657;0,0018;
май 2024;536;0,0019;
июнь 2024;432;0,0017;
июль 2024;495;0,0019;
август 2024;614;0,0019;
сентябрь 2024;1 013;0,0026;
октябрь 2024;897;0,0022;
ноябрь 2024;868;0,0021;
декабрь 2024;892;0,0022;
