Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;599;0,0029;
январь 2018;543;0,0027;
февраль 2018;569;0,0026;
март 2018;480;0,0024;
апрель 2018;355;0,0018;
май 2018;334;0,0018;
июнь 2018;410;0,0024;
июль 2018;344;0,0020;
август 2018;429;0,0021;
сентябрь 2018;465;0,0019;
октябрь 2018;428;0,0019;
ноябрь 2018;492;0,0022;
декабрь 2018;492;0,0022;
январь 2019;460;0,0022;
февраль 2019;489;0,0021;
март 2019;398;0,0018;
апрель 2019;323;0,0016;
май 2019;300;0,0016;
июнь 2019;364;0,0020;
июль 2019;285;0,0016;
август 2019;335;0,0017;
сентябрь 2019;443;0,0019;
октябрь 2019;363;0,0015;
ноябрь 2019;457;0,0018;
декабрь 2019;566;0,0022;
январь 2020;669;0,0027;
февраль 2020;650;0,0024;
март 2020;861;0,0023;
апрель 2020;773;0,0025;
май 2020;890;0,0034;
июнь 2020;620;0,0027;
июль 2020;425;0,0018;
август 2020;644;0,0024;
сентябрь 2020;552;0,0018;
октябрь 2020;951;0,0027;
ноябрь 2020;1 043;0,0032;
декабрь 2020;821;0,0027;
январь 2021;861;0,0029;
февраль 2021;659;0,0021;
март 2021;849;0,0027;
апрель 2021;703;0,0023;
май 2021;587;0,0021;
июнь 2021;448;0,0017;
июль 2021;415;0,0015;
август 2021;593;0,0019;
сентябрь 2021;606;0,0018;
октябрь 2021;837;0,0024;
ноябрь 2021;677;0,0019;
декабрь 2021;1 009;0,0028;
январь 2022;888;0,0025;
февраль 2022;970;0,0025;
март 2022;739;0,0020;
апрель 2022;637;0,0018;
май 2022;667;0,0021;
июнь 2022;513;0,0017;
июль 2022;552;0,0018;
август 2022;490;0,0014;
сентябрь 2022;649;0,0017;
октябрь 2022;748;0,0019;
ноябрь 2022;772;0,0020;
декабрь 2022;885;0,0023;
январь 2023;550;0,0015;
февраль 2023;651;0,0016;
март 2023;473;0,0013;
апрель 2023;549;0,0015;
май 2023;404;0,0013;
июнь 2023;392;0,0012;
июль 2023;369;0,0012;
август 2023;493;0,0015;
сентябрь 2023;670;0,0018;
октябрь 2023;653;0,0017;
ноябрь 2023;551;0,0014;
декабрь 2023;586;0,0016;
январь 2024;533;0,0015;
февраль 2024;483;0,0013;
март 2024;473;0,0014;
апрель 2024;489;0,0014;
май 2024;410;0,0014;
июнь 2024;414;0,0015;
июль 2024;329;0,0012;
август 2024;531;0,0018;
сентябрь 2024;658;0,0019;
октябрь 2024;767;0,0021;
ноябрь 2024;771;0,0020;
декабрь 2024;778;0,0021;
