Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;980;0,00309;
январь 2018;809;0,00261;
февраль 2018;717;0,00219;
март 2018;666;0,00220;
апрель 2018;606;0,00202;
май 2018;513;0,00194;
июнь 2018;616;0,00228;
июль 2018;583;0,00215;
август 2018;565;0,00179;
сентябрь 2018;750;0,00203;
октябрь 2018;713;0,00204;
ноябрь 2018;615;0,00180;
декабрь 2018;788;0,00223;
январь 2019;735;0,00211;
февраль 2019;757;0,00208;
март 2019;686;0,00195;
апрель 2019;544;0,00166;
май 2019;552;0,00195;
июнь 2019;590;0,00209;
июль 2019;534;0,00187;
август 2019;694;0,00207;
сентябрь 2019;794;0,00196;
октябрь 2019;742;0,00181;
ноябрь 2019;686;0,00160;
декабрь 2019;791;0,00186;
январь 2020;1 087;0,00248;
февраль 2020;915;0,00191;
март 2020;1 345;0,00226;
апрель 2020;1 204;0,00229;
май 2020;1 000;0,00256;
июнь 2020;729;0,00200;
июль 2020;585;0,00159;
август 2020;740;0,00169;
сентябрь 2020;1 068;0,00196;
октябрь 2020;1 503;0,00243;
ноябрь 2020;1 384;0,00244;
декабрь 2020;1 335;0,00265;
январь 2021;1 504;0,00307;
февраль 2021;1 166;0,00240;
март 2021;1 270;0,00251;
апрель 2021;879;0,00182;
май 2021;854;0,00200;
июнь 2021;654;0,00164;
июль 2021;604;0,00151;
август 2021;660;0,00140;
сентябрь 2021;1 097;0,00209;
октябрь 2021;1 216;0,00205;
ноябрь 2021;975;0,00173;
декабрь 2021;1 192;0,00216;
январь 2022;1 065;0,00193;
февраль 2022;1 170;0,00200;
март 2022;1 108;0,00196;
апрель 2022;1 032;0,00193;
май 2022;857;0,00185;
июнь 2022;844;0,00190;
июль 2022;908;0,00203;
август 2022;631;0,00120;
сентябрь 2022;889;0,00152;
октябрь 2022;1 057;0,00169;
ноябрь 2022;857;0,00138;
декабрь 2022;889;0,00144;
январь 2023;847;0,00149;
февраль 2023;1 097;0,00177;
март 2023;1 040;0,00172;
апрель 2023;787;0,00139;
май 2023;734;0,00154;
июнь 2023;548;0,00121;
июль 2023;688;0,00150;
август 2023;627;0,00122;
сентябрь 2023;867;0,00149;
октябрь 2023;845;0,00146;
ноябрь 2023;845;0,00140;
декабрь 2023;926;0,00157;
январь 2024;865;0,00154;
февраль 2024;841;0,00153;
март 2024;856;0,00163;
апрель 2024;773;0,00160;
май 2024;521;0,00128;
июнь 2024;491;0,00125;
июль 2024;387;0,00098;
август 2024;563;0,00126;
сентябрь 2024;827;0,00156;
октябрь 2024;866;0,00156;
ноябрь 2024;802;0,00136;
декабрь 2024;968;0,00169;
