Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;5 191;0,0028;
январь 2018;4 761;0,0025;
февраль 2018;4 770;0,0023;
март 2018;3 710;0,0022;
апрель 2018;3 712;0,0021;
май 2018;3 354;0,0020;
июнь 2018;3 747;0,0021;
июль 2018;3 809;0,0022;
август 2018;4 102;0,0021;
сентябрь 2018;4 810;0,0021;
октябрь 2018;4 378;0,0021;
ноябрь 2018;4 044;0,0019;
декабрь 2018;5 742;0,0025;
январь 2019;5 219;0,0024;
февраль 2019;5 012;0,0022;
март 2019;3 882;0,0019;
апрель 2019;4 281;0,0021;
май 2019;4 298;0,0023;
июнь 2019;4 450;0,0023;
июль 2019;3 967;0,0020;
август 2019;3 978;0,0020;
сентябрь 2019;4 238;0,0020;
октябрь 2019;4 222;0,0020;
ноябрь 2019;4 087;0,0018;
декабрь 2019;5 445;0,0023;
январь 2020;5 277;0,0024;
февраль 2020;4 329;0,0019;
март 2020;7 165;0,0025;
апрель 2020;6 651;0,0024;
май 2020;5 872;0,0027;
июнь 2020;4 733;0,0023;
июль 2020;4 336;0,0020;
август 2020;4 628;0,0020;
сентябрь 2020;5 016;0,0020;
октябрь 2020;5 952;0,0023;
ноябрь 2020;5 502;0,0021;
декабрь 2020;6 976;0,0027;
январь 2021;6 775;0,0028;
февраль 2021;6 423;0,0024;
март 2021;6 092;0,0023;
апрель 2021;5 247;0,0020;
май 2021;5 522;0,0022;
июнь 2021;4 474;0,0018;
июль 2021;4 407;0,0018;
август 2021;5 754;0,0022;
сентябрь 2021;5 162;0,0019;
октябрь 2021;5 681;0,0020;
ноябрь 2021;5 358;0,0018;
декабрь 2021;6 071;0,0021;
январь 2022;5 995;0,0021;
февраль 2022;6 548;0,0021;
март 2022;5 687;0,0019;
апрель 2022;5 260;0,0018;
май 2022;5 042;0,0019;
июнь 2022;4 969;0,0018;
июль 2022;5 276;0,0019;
август 2022;4 950;0,0017;
сентябрь 2022;4 999;0,0016;
октябрь 2022;4 794;0,0015;
ноябрь 2022;4 569;0,0014;
декабрь 2022;4 674;0,0015;
январь 2023;4 895;0,0017;
февраль 2023;5 258;0,0016;
март 2023;4 524;0,0015;
апрель 2023;4 526;0,0015;
май 2023;3 578;0,0013;
июнь 2023;3 280;0,0012;
июль 2023;3 416;0,0012;
август 2023;3 746;0,0013;
сентябрь 2023;4 405;0,0014;
октябрь 2023;4 070;0,0013;
ноябрь 2023;4 208;0,0013;
декабрь 2023;4 716;0,0015;
январь 2024;4 249;0,0014;
февраль 2024;4 156;0,0014;
март 2024;3 718;0,0013;
апрель 2024;4 083;0,0014;
май 2024;3 384;0,0013;
июнь 2024;3 107;0,0012;
июль 2024;2 935;0,0011;
август 2024;3 827;0,0014;
сентябрь 2024;5 011;0,0017;
октябрь 2024;4 876;0,0016;
ноябрь 2024;5 175;0,0016;
декабрь 2024;5 085;0,0016;
