Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;1 816;0,0026;
январь 2018;1 638;0,0024;
февраль 2018;1 626;0,0022;
март 2018;1 408;0,0022;
апрель 2018;1 293;0,0020;
май 2018;1 234;0,0021;
июнь 2018;1 429;0,0023;
июль 2018;1 450;0,0024;
август 2018;1 560;0,0023;
сентябрь 2018;1 852;0,0023;
октябрь 2018;1 781;0,0025;
ноябрь 2018;1 588;0,0022;
декабрь 2018;1 747;0,0023;
январь 2019;1 616;0,0023;
февраль 2019;1 491;0,0020;
март 2019;1 357;0,0020;
апрель 2019;1 190;0,0018;
май 2019;1 274;0,0021;
июнь 2019;1 304;0,0021;
июль 2019;1 203;0,0020;
август 2019;1 472;0,0023;
сентябрь 2019;1 630;0,0022;
октябрь 2019;1 498;0,0020;
ноябрь 2019;1 552;0,0020;
декабрь 2019;1 917;0,0024;
январь 2020;1 673;0,0022;
февраль 2020;1 870;0,0023;
март 2020;2 661;0,0024;
апрель 2020;3 186;0,0030;
май 2020;2 046;0,0027;
июнь 2020;1 697;0,0024;
июль 2020;1 260;0,0018;
август 2020;1 584;0,0020;
сентябрь 2020;1 878;0,0021;
октябрь 2020;2 650;0,0028;
ноябрь 2020;2 665;0,0029;
декабрь 2020;2 615;0,0029;
январь 2021;2 620;0,0029;
февраль 2021;2 400;0,0024;
март 2021;3 304;0,0033;
апрель 2021;2 640;0,0027;
май 2021;2 202;0,0023;
июнь 2021;1 691;0,0019;
июль 2021;1 530;0,0017;
август 2021;1 866;0,0019;
сентябрь 2021;2 163;0,0020;
октябрь 2021;2 673;0,0024;
ноябрь 2021;2 747;0,0024;
декабрь 2021;2 464;0,0022;
январь 2022;2 202;0,0020;
февраль 2022;2 547;0,0021;
март 2022;2 241;0,0020;
апрель 2022;2 116;0,0018;
май 2022;1 941;0,0019;
июнь 2022;1 698;0,0017;
июль 2022;1 865;0,0019;
август 2022;2 010;0,0018;
сентябрь 2022;2 573;0,0021;
октябрь 2022;3 300;0,0025;
ноябрь 2022;3 224;0,0024;
декабрь 2022;2 479;0,0019;
январь 2023;2 405;0,0020;
февраль 2023;2 478;0,0019;
март 2023;2 664;0,0022;
апрель 2023;2 599;0,0022;
май 2023;1 873;0,0019;
июнь 2023;1 314;0,0013;
июль 2023;1 372;0,0014;
август 2023;1 844;0,0018;
сентябрь 2023;2 604;0,0022;
октябрь 2023;2 298;0,0020;
ноябрь 2023;2 350;0,0020;
декабрь 2023;2 186;0,0018;
январь 2024;1 955;0,0017;
февраль 2024;1 986;0,0018;
март 2024;2 520;0,0024;
апрель 2024;1 970;0,0019;
май 2024;1 298;0,0015;
июнь 2024;1 487;0,0017;
июль 2024;1 573;0,0018;
август 2024;1 982;0,0021;
сентябрь 2024;2 456;0,0023;
октябрь 2024;2 725;0,0024;
ноябрь 2024;2 900;0,0025;
декабрь 2024;2 075;0,0018;
