Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;544;0,0024;
январь 2018;460;0,0021;
февраль 2018;585;0,0023;
март 2018;435;0,0019;
апрель 2018;373;0,0017;
май 2018;404;0,0019;
июнь 2018;364;0,0017;
июль 2018;374;0,0017;
август 2018;379;0,0015;
сентябрь 2018;584;0,0021;
октябрь 2018;469;0,0019;
ноябрь 2018;369;0,0014;
декабрь 2018;490;0,0018;
январь 2019;497;0,0020;
февраль 2019;424;0,0016;
март 2019;371;0,0015;
апрель 2019;394;0,0016;
май 2019;382;0,0018;
июнь 2019;386;0,0017;
июль 2019;405;0,0019;
август 2019;414;0,0018;
сентябрь 2019;452;0,0017;
октябрь 2019;521;0,0020;
ноябрь 2019;428;0,0015;
декабрь 2019;624;0,0022;
январь 2020;612;0,0023;
февраль 2020;528;0,0017;
март 2020;992;0,0027;
апрель 2020;905;0,0027;
май 2020;683;0,0025;
июнь 2020;503;0,0019;
июль 2020;396;0,0015;
август 2020;622;0,0022;
сентябрь 2020;699;0,0022;
октябрь 2020;613;0,0018;
ноябрь 2020;581;0,0018;
декабрь 2020;864;0,0028;
январь 2021;932;0,0032;
февраль 2021;728;0,0023;
март 2021;768;0,0023;
апрель 2021;742;0,0020;
май 2021;751;0,0023;
июнь 2021;560;0,0020;
июль 2021;506;0,0017;
август 2021;475;0,0013;
сентябрь 2021;646;0,0016;
октябрь 2021;707;0,0018;
ноябрь 2021;758;0,0019;
декабрь 2021;691;0,0016;
январь 2022;808;0,0020;
февраль 2022;632;0,0015;
март 2022;726;0,0017;
апрель 2022;613;0,0015;
май 2022;756;0,0021;
июнь 2022;663;0,0018;
июль 2022;556;0,0015;
август 2022;529;0,0013;
сентябрь 2022;614;0,0014;
октябрь 2022;809;0,0019;
ноябрь 2022;697;0,0016;
декабрь 2022;680;0,0015;
январь 2023;652;0,0016;
февраль 2023;592;0,0013;
март 2023;516;0,0013;
апрель 2023;745;0,0019;
май 2023;639;0,0018;
июнь 2023;462;0,0012;
июль 2023;429;0,0011;
август 2023;410;0,0011;
сентябрь 2023;591;0,0014;
октябрь 2023;526;0,0013;
ноябрь 2023;550;0,0013;
декабрь 2023;660;0,0016;
январь 2024;588;0,0015;
февраль 2024;453;0,0011;
март 2024;542;0,0014;
апрель 2024;548;0,0015;
май 2024;529;0,0016;
июнь 2024;419;0,0012;
июль 2024;399;0,0012;
август 2024;500;0,0014;
сентябрь 2024;665;0,0017;
октябрь 2024;695;0,0017;
ноябрь 2024;566;0,0014;
декабрь 2024;653;0,0016;
