Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;397;0,00216;
январь 2018;294;0,00167;
февраль 2018;259;0,00136;
март 2018;208;0,00128;
апрель 2018;235;0,00140;
май 2018;229;0,00144;
июнь 2018;214;0,00132;
июль 2018;223;0,00138;
август 2018;237;0,00137;
сентябрь 2018;277;0,00143;
октябрь 2018;264;0,00144;
ноябрь 2018;298;0,00157;
декабрь 2018;378;0,00188;
январь 2019;347;0,00184;
февраль 2019;317;0,00158;
март 2019;323;0,00171;
апрель 2019;233;0,00128;
май 2019;303;0,00183;
июнь 2019;196;0,00118;
июль 2019;236;0,00146;
август 2019;184;0,00109;
сентябрь 2019;293;0,00156;
октябрь 2019;266;0,00135;
ноябрь 2019;264;0,00125;
декабрь 2019;300;0,00135;
январь 2020;287;0,00136;
февраль 2020;255;0,00116;
март 2020;455;0,00166;
апрель 2020;358;0,00142;
май 2020;427;0,00205;
июнь 2020;388;0,00201;
июль 2020;318;0,00166;
август 2020;261;0,00130;
сентябрь 2020;268;0,00114;
октябрь 2020;370;0,00148;
ноябрь 2020;400;0,00165;
декабрь 2020;460;0,00195;
январь 2021;446;0,00201;
февраль 2021;328;0,00137;
март 2021;395;0,00165;
апрель 2021;424;0,00173;
май 2021;435;0,00183;
июнь 2021;308;0,00139;
июль 2021;268;0,00123;
август 2021;304;0,00126;
сентябрь 2021;326;0,00118;
октябрь 2021;381;0,00135;
ноябрь 2021;358;0,00124;
декабрь 2021;381;0,00126;
январь 2022;345;0,00120;
февраль 2022;412;0,00131;
март 2022;385;0,00133;
апрель 2022;373;0,00125;
май 2022;300;0,00112;
июнь 2022;416;0,00158;
июль 2022;404;0,00153;
август 2022;277;0,00099;
сентябрь 2022;283;0,00090;
октябрь 2022;324;0,00100;
ноябрь 2022;351;0,00107;
декабрь 2022;349;0,00107;
январь 2023;313;0,00104;
февраль 2023;292;0,00092;
март 2023;279;0,00093;
апрель 2023;299;0,00100;
май 2023;217;0,00082;
июнь 2023;235;0,00090;
июль 2023;225;0,00087;
август 2023;332;0,00121;
сентябрь 2023;337;0,00111;
октябрь 2023;342;0,00108;
ноябрь 2023;411;0,00127;
декабрь 2023;487;0,00149;
январь 2024;397;0,00134;
февраль 2024;285;0,00094;
март 2024;246;0,00090;
апрель 2024;254;0,00090;
май 2024;236;0,00095;
июнь 2024;192;0,00077;
июль 2024;235;0,00095;
август 2024;260;0,00103;
сентябрь 2024;289;0,00103;
октябрь 2024;319;0,00110;
ноябрь 2024;444;0,00144;
декабрь 2024;390;0,00128;
