Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;1 110;0,0026;
январь 2018;857;0,0020;
февраль 2018;883;0,0019;
март 2018;841;0,0020;
апрель 2018;646;0,0016;
май 2018;677;0,0018;
июнь 2018;631;0,0018;
июль 2018;851;0,0024;
август 2018;997;0,0023;
сентябрь 2018;1 134;0,0023;
октябрь 2018;985;0,0022;
ноябрь 2018;794;0,0017;
декабрь 2018;862;0,0018;
январь 2019;890;0,0020;
февраль 2019;832;0,0018;
март 2019;953;0,0021;
апрель 2019;931;0,0022;
май 2019;680;0,0018;
июнь 2019;672;0,0018;
июль 2019;701;0,0019;
август 2019;796;0,0020;
сентябрь 2019;1 053;0,0022;
октябрь 2019;920;0,0020;
ноябрь 2019;948;0,0019;
декабрь 2019;1 050;0,0021;
январь 2020;826;0,0017;
февраль 2020;942;0,0018;
март 2020;1 604;0,0022;
апрель 2020;1 690;0,0027;
май 2020;1 045;0,0022;
июнь 2020;632;0,0015;
июль 2020;649;0,0016;
август 2020;774;0,0016;
сентябрь 2020;1 174;0,0021;
октябрь 2020;1 393;0,0023;
ноябрь 2020;1 272;0,0022;
декабрь 2020;1 618;0,0029;
январь 2021;1 511;0,0028;
февраль 2021;1 217;0,0021;
март 2021;1 376;0,0022;
апрель 2021;1 234;0,0020;
май 2021;1 025;0,0019;
июнь 2021;680;0,0015;
июль 2021;741;0,0015;
август 2021;1 092;0,0018;
сентябрь 2021;1 361;0,0020;
октябрь 2021;1 422;0,0021;
ноябрь 2021;1 394;0,0019;
декабрь 2021;1 525;0,0021;
январь 2022;1 388;0,0019;
февраль 2022;1 557;0,0021;
март 2022;1 578;0,0021;
апрель 2022;1 228;0,0017;
май 2022;1 082;0,0018;
июнь 2022;970;0,0017;
июль 2022;913;0,0016;
август 2022;1 266;0,0018;
сентябрь 2022;1 283;0,0017;
октябрь 2022;1 201;0,0016;
ноябрь 2022;1 256;0,0016;
декабрь 2022;1 207;0,0016;
январь 2023;1 097;0,0016;
февраль 2023;1 095;0,0014;
март 2023;1 075;0,0015;
апрель 2023;1 034;0,0015;
май 2023;897;0,0015;
июнь 2023;770;0,0013;
июль 2023;768;0,0014;
август 2023;964;0,0015;
сентябрь 2023;1 334;0,0019;
октябрь 2023;1 055;0,0015;
ноябрь 2023;1 130;0,0015;
декабрь 2023;1 225;0,0017;
январь 2024;1 157;0,0017;
февраль 2024;1 071;0,0015;
март 2024;1 162;0,0017;
апрель 2024;936;0,0014;
май 2024;838;0,0015;
июнь 2024;799;0,0015;
июль 2024;662;0,0013;
август 2024;873;0,0015;
сентябрь 2024;1 377;0,0021;
октябрь 2024;1 326;0,0019;
ноябрь 2024;1 403;0,0019;
декабрь 2024;1 287;0,0018;
