Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;1 813;0,0033;
январь 2018;1 529;0,0028;
февраль 2018;1 422;0,0024;
март 2018;1 227;0,0023;
апрель 2018;1 217;0,0022;
май 2018;1 141;0,0022;
июнь 2018;1 248;0,0022;
июль 2018;1 318;0,0024;
август 2018;1 388;0,0024;
сентябрь 2018;1 641;0,0025;
октябрь 2018;1 467;0,0024;
ноябрь 2018;1 200;0,0017;
декабрь 2018;1 956;0,0024;
январь 2019;1 791;0,0023;
февраль 2019;1 902;0,0023;
март 2019;1 803;0,0023;
апрель 2019;1 681;0,0020;
май 2019;1 763;0,0023;
июнь 2019;1 541;0,0021;
июль 2019;1 864;0,0025;
август 2019;1 471;0,0021;
сентябрь 2019;1 596;0,0022;
октябрь 2019;1 645;0,0022;
ноябрь 2019;1 797;0,0023;
декабрь 2019;2 506;0,0032;
январь 2020;2 292;0,0030;
февраль 2020;2 020;0,0024;
март 2020;2 688;0,0027;
апрель 2020;2 576;0,0029;
май 2020;2 169;0,0028;
июнь 2020;1 710;0,0024;
июль 2020;1 529;0,0020;
август 2020;1 641;0,0020;
сентябрь 2020;1 956;0,0021;
октябрь 2020;2 066;0,0024;
ноябрь 2020;1 987;0,0022;
декабрь 2020;3 138;0,0038;
январь 2021;3 245;0,0041;
февраль 2021;2 222;0,0026;
март 2021;2 075;0,0024;
апрель 2021;1 888;0,0022;
май 2021;2 047;0,0025;
июнь 2021;1 355;0,0016;
июль 2021;1 472;0,0017;
август 2021;1 679;0,0020;
сентябрь 2021;2 318;0,0026;
октябрь 2021;2 059;0,0022;
ноябрь 2021;2 057;0,0022;
декабрь 2021;2 118;0,0022;
январь 2022;2 209;0,0024;
февраль 2022;2 224;0,0022;
март 2022;2 211;0,0023;
апрель 2022;1 959;0,0020;
май 2022;2 213;0,0024;
июнь 2022;2 285;0,0025;
июль 2022;2 407;0,0027;
август 2022;2 026;0,0021;
сентябрь 2022;2 028;0,0019;
октябрь 2022;2 129;0,0019;
ноябрь 2022;1 860;0,0017;
декабрь 2022;1 987;0,0019;
январь 2023;1 756;0,0018;
февраль 2023;1 963;0,0018;
март 2023;1 741;0,0017;
апрель 2023;1 759;0,0018;
май 2023;1 391;0,0015;
июнь 2023;1 148;0,0013;
июль 2023;1 580;0,0017;
август 2023;1 566;0,0017;
сентябрь 2023;1 689;0,0017;
октябрь 2023;1 839;0,0018;
ноябрь 2023;1 680;0,0016;
декабрь 2023;2 003;0,0019;
январь 2024;2 709;0,0028;
февраль 2024;1 879;0,0019;
март 2024;1 730;0,0018;
апрель 2024;1 466;0,0016;
май 2024;1 218;0,0014;
июнь 2024;1 113;0,0013;
июль 2024;2 073;0,0025;
август 2024;1 298;0,0015;
сентябрь 2024;1 792;0,0018;
октябрь 2024;1 913;0,0019;
ноябрь 2024;1 797;0,0017;
декабрь 2024;1 751;0,0017;
