Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;1 159;0,0024;
январь 2018;1 156;0,0024;
февраль 2018;1 291;0,0025;
март 2018;1 127;0,0025;
апрель 2018;993;0,0022;
май 2018;997;0,0024;
июнь 2018;1 004;0,0023;
июль 2018;988;0,0024;
август 2018;1 322;0,0027;
сентябрь 2018;1 259;0,0022;
октябрь 2018;1 012;0,0019;
ноябрь 2018;816;0,0016;
декабрь 2018;1 169;0,0022;
январь 2019;1 082;0,0021;
февраль 2019;1 088;0,0020;
март 2019;962;0,0019;
апрель 2019;789;0,0016;
май 2019;813;0,0019;
июнь 2019;783;0,0018;
июль 2019;731;0,0017;
август 2019;892;0,0019;
сентябрь 2019;1 065;0,0020;
октябрь 2019;969;0,0018;
ноябрь 2019;828;0,0014;
декабрь 2019;1 108;0,0019;
январь 2020;960;0,0017;
февраль 2020;900;0,0015;
март 2020;1 592;0,0021;
апрель 2020;1 541;0,0021;
май 2020;1 251;0,0022;
июнь 2020;1 004;0,0019;
июль 2020;836;0,0016;
август 2020;916;0,0016;
сентябрь 2020;1 148;0,0017;
октябрь 2020;1 747;0,0022;
ноябрь 2020;1 841;0,0024;
декабрь 2020;1 904;0,0028;
январь 2021;1 698;0,0025;
февраль 2021;1 489;0,0020;
март 2021;1 274;0,0017;
апрель 2021;1 418;0,0019;
май 2021;1 106;0,0016;
июнь 2021;955;0,0015;
июль 2021;1 028;0,0016;
август 2021;1 246;0,0017;
сентябрь 2021;1 319;0,0017;
октябрь 2021;1 829;0,0021;
ноябрь 2021;1 556;0,0018;
декабрь 2021;1 498;0,0018;
январь 2022;1 621;0,0018;
февраль 2022;1 430;0,0016;
март 2022;1 383;0,0016;
апрель 2022;1 281;0,0015;
май 2022;1 120;0,0015;
июнь 2022;1 105;0,0015;
июль 2022;1 147;0,0016;
август 2022;1 134;0,0014;
сентябрь 2022;1 608;0,0018;
октябрь 2022;1 424;0,0016;
ноябрь 2022;1 266;0,0014;
декабрь 2022;1 349;0,0015;
январь 2023;1 238;0,0015;
февраль 2023;1 288;0,0014;
март 2023;1 005;0,0012;
апрель 2023;1 134;0,0014;
май 2023;980;0,0013;
июнь 2023;928;0,0013;
июль 2023;886;0,0013;
август 2023;1 027;0,0013;
сентябрь 2023;1 198;0,0014;
октябрь 2023;1 355;0,0016;
ноябрь 2023;1 242;0,0014;
декабрь 2023;1 181;0,0013;
январь 2024;1 019;0,0012;
февраль 2024;1 046;0,0013;
март 2024;850;0,0011;
апрель 2024;1 007;0,0013;
май 2024;827;0,0012;
июнь 2024;641;0,0010;
июль 2024;723;0,0012;
август 2024;824;0,0011;
сентябрь 2024;1 260;0,0015;
октябрь 2024;1 458;0,0017;
ноябрь 2024;1 260;0,0014;
декабрь 2024;1 338;0,0015;
