Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;7 334;0,0030;
январь 2018;6 087;0,0025;
февраль 2018;6 495;0,0025;
март 2018;4 890;0,0022;
апрель 2018;5 308;0,0023;
май 2018;4 715;0,0020;
июнь 2018;5 532;0,0021;
июль 2018;5 932;0,0023;
август 2018;6 448;0,0025;
сентябрь 2018;7 260;0,0025;
октябрь 2018;6 110;0,0023;
ноябрь 2018;5 171;0,0019;
декабрь 2018;6 983;0,0025;
январь 2019;6 362;0,0024;
февраль 2019;6 275;0,0023;
март 2019;5 658;0,0021;
апрель 2019;5 283;0,0020;
май 2019;5 308;0,0021;
июнь 2019;5 857;0,0021;
июль 2019;5 892;0,0021;
август 2019;6 350;0,0023;
сентябрь 2019;6 792;0,0023;
октябрь 2019;6 851;0,0024;
ноябрь 2019;6 616;0,0022;
декабрь 2019;8 321;0,0026;
январь 2020;7 160;0,0023;
февраль 2020;6 450;0,0020;
март 2020;10 834;0,0028;
апрель 2020;10 081;0,0028;
май 2020;8 298;0,0026;
июнь 2020;6 964;0,0022;
июль 2020;5 972;0,0018;
август 2020;7 057;0,0021;
сентябрь 2020;7 759;0,0021;
октябрь 2020;7 863;0,0021;
ноябрь 2020;7 635;0,0021;
декабрь 2020;9 713;0,0027;
январь 2021;10 034;0,0029;
февраль 2021;9 027;0,0024;
март 2021;7 872;0,0022;
апрель 2021;6 750;0,0020;
май 2021;7 385;0,0020;
июнь 2021;6 916;0,0017;
июль 2021;6 596;0,0015;
август 2021;6 785;0,0018;
сентябрь 2021;6 604;0,0018;
октябрь 2021;7 268;0,0020;
ноябрь 2021;6 931;0,0018;
декабрь 2021;7 662;0,0020;
январь 2022;7 520;0,0020;
февраль 2022;8 734;0,0021;
март 2022;7 158;0,0019;
апрель 2022;6 963;0,0018;
май 2022;6 995;0,0018;
июнь 2022;7 695;0,0019;
июль 2022;7 968;0,0019;
август 2022;6 223;0,0015;
сентябрь 2022;6 559;0,0015;
октябрь 2022;6 968;0,0017;
ноябрь 2022;5 861;0,0014;
декабрь 2022;6 425;0,0015;
январь 2023;6 463;0,0016;
февраль 2023;7 431;0,0017;
март 2023;5 755;0,0014;
апрель 2023;5 953;0,0015;
май 2023;5 197;0,0013;
июнь 2023;4 902;0,0012;
июль 2023;5 046;0,0012;
август 2023;5 177;0,0013;
сентябрь 2023;6 200;0,0015;
октябрь 2023;6 229;0,0015;
ноябрь 2023;6 304;0,0015;
декабрь 2023;6 782;0,0016;
январь 2024;5 662;0,0015;
февраль 2024;5 465;0,0014;
март 2024;5 489;0,0015;
апрель 2024;5 275;0,0014;
май 2024;4 596;0,0013;
июнь 2024;4 708;0,0012;
июль 2024;4 552;0,0011;
август 2024;5 707;0,0015;
сентябрь 2024;6 261;0,0015;
октябрь 2024;7 047;0,0017;
ноябрь 2024;6 986;0,0016;
декабрь 2024;7 282;0,0017;
