Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;509;0,0026;
январь 2018;466;0,0025;
февраль 2018;371;0,0019;
март 2018;345;0,0019;
апрель 2018;306;0,0016;
май 2018;263;0,0016;
июнь 2018;336;0,0019;
июль 2018;366;0,0021;
август 2018;353;0,0018;
сентябрь 2018;553;0,0025;
октябрь 2018;438;0,0021;
ноябрь 2018;336;0,0016;
декабрь 2018;471;0,0023;
январь 2019;504;0,0025;
февраль 2019;422;0,0021;
март 2019;396;0,0020;
апрель 2019;303;0,0016;
май 2019;268;0,0016;
июнь 2019;309;0,0018;
июль 2019;355;0,0021;
август 2019;393;0,0022;
сентябрь 2019;479;0,0023;
октябрь 2019;377;0,0018;
ноябрь 2019;325;0,0014;
декабрь 2019;536;0,0023;
январь 2020;492;0,0022;
февраль 2020;512;0,0021;
март 2020;848;0,0028;
апрель 2020;854;0,0030;
май 2020;638;0,0026;
июнь 2020;422;0,0019;
июль 2020;364;0,0017;
август 2020;421;0,0018;
сентябрь 2020;548;0,0020;
октябрь 2020;1 528;0,0049;
ноябрь 2020;2 751;0,0096;
декабрь 2020;767;0,0028;
январь 2021;694;0,0027;
февраль 2021;640;0,0024;
март 2021;639;0,0023;
апрель 2021;636;0,0023;
май 2021;572;0,0022;
июнь 2021;373;0,0015;
июль 2021;424;0,0017;
август 2021;435;0,0016;
сентябрь 2021;475;0,0016;
октябрь 2021;596;0,0019;
ноябрь 2021;637;0,0020;
декабрь 2021;602;0,0019;
январь 2022;626;0,0019;
февраль 2022;630;0,0019;
март 2022;576;0,0018;
апрель 2022;519;0,0017;
май 2022;419;0,0015;
июнь 2022;494;0,0018;
июль 2022;533;0,0019;
август 2022;491;0,0016;
сентябрь 2022;515;0,0016;
октябрь 2022;606;0,0018;
ноябрь 2022;543;0,0016;
декабрь 2022;499;0,0014;
январь 2023;498;0,0016;
февраль 2023;518;0,0015;
март 2023;502;0,0015;
апрель 2023;498;0,0016;
май 2023;398;0,0014;
июнь 2023;345;0,0012;
июль 2023;391;0,0014;
август 2023;398;0,0013;
сентябрь 2023;559;0,0017;
октябрь 2023;520;0,0016;
ноябрь 2023;495;0,0014;
декабрь 2023;600;0,0018;
январь 2024;533;0,0017;
февраль 2024;493;0,0015;
март 2024;528;0,0017;
апрель 2024;578;0,0020;
май 2024;451;0,0018;
июнь 2024;353;0,0014;
июль 2024;290;0,0011;
август 2024;399;0,0015;
сентябрь 2024;582;0,0019;
октябрь 2024;569;0,0018;
ноябрь 2024;517;0,0016;
декабрь 2024;557;0,0017;
