Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;1 287;0,0024;
январь 2018;951;0,0018;
февраль 2018;1 068;0,0019;
март 2018;881;0,0018;
апрель 2018;872;0,0018;
май 2018;784;0,0017;
июнь 2018;698;0,0015;
июль 2018;689;0,0015;
август 2018;814;0,0016;
сентябрь 2018;1 168;0,0020;
октябрь 2018;916;0,0017;
ноябрь 2018;762;0,0014;
декабрь 2018;1 236;0,0022;
январь 2019;1 067;0,0020;
февраль 2019;1 265;0,0022;
март 2019;916;0,0018;
апрель 2019;771;0,0016;
май 2019;755;0,0017;
июнь 2019;735;0,0016;
июль 2019;663;0,0014;
август 2019;855;0,0017;
сентябрь 2019;955;0,0016;
октябрь 2019;1 130;0,0019;
ноябрь 2019;893;0,0014;
декабрь 2019;1 358;0,0021;
январь 2020;1 150;0,0018;
февраль 2020;1 238;0,0018;
март 2020;1 982;0,0023;
апрель 2020;1 676;0,0022;
май 2020;1 549;0,0024;
июнь 2020;976;0,0017;
июль 2020;906;0,0016;
август 2020;1 096;0,0017;
сентябрь 2020;1 242;0,0016;
октябрь 2020;1 636;0,0021;
ноябрь 2020;1 439;0,0019;
декабрь 2020;1 871;0,0026;
январь 2021;1 792;0,0026;
февраль 2021;1 791;0,0024;
март 2021;1 642;0,0022;
апрель 2021;1 254;0,0017;
май 2021;1 411;0,0020;
июнь 2021;1 160;0,0018;
июль 2021;1 104;0,0016;
август 2021;1 354;0,0018;
сентябрь 2021;1 479;0,0018;
октябрь 2021;1 885;0,0022;
ноябрь 2021;1 452;0,0017;
декабрь 2021;2 066;0,0024;
январь 2022;1 704;0,0020;
февраль 2022;2 063;0,0022;
март 2022;1 653;0,0019;
апрель 2022;1 353;0,0016;
май 2022;1 351;0,0018;
июнь 2022;1 294;0,0017;
июль 2022;1 387;0,0019;
август 2022;1 195;0,0014;
сентябрь 2022;1 524;0,0017;
октябрь 2022;1 621;0,0018;
ноябрь 2022;1 248;0,0013;
декабрь 2022;1 391;0,0015;
январь 2023;1 333;0,0016;
февраль 2023;1 437;0,0015;
март 2023;1 185;0,0014;
апрель 2023;1 255;0,0015;
май 2023;1 279;0,0016;
июнь 2023;905;0,0011;
июль 2023;971;0,0013;
август 2023;1 119;0,0014;
сентябрь 2023;1 215;0,0013;
октябрь 2023;1 340;0,0015;
ноябрь 2023;1 372;0,0015;
декабрь 2023;1 438;0,0016;
январь 2024;1 137;0,0013;
февраль 2024;1 039;0,0012;
март 2024;1 057;0,0012;
апрель 2024;1 183;0,0014;
май 2024;981;0,0013;
июнь 2024;861;0,0012;
июль 2024;791;0,0011;
август 2024;1 017;0,0014;
сентябрь 2024;1 338;0,0016;
октябрь 2024;1 434;0,0017;
ноябрь 2024;1 683;0,0019;
декабрь 2024;1 380;0,0015;
