Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;2 142;0,0029;
январь 2018;1 915;0,0026;
февраль 2018;2 071;0,0027;
март 2018;1 846;0,0026;
апрель 2018;2 060;0,0028;
май 2018;1 542;0,0026;
июнь 2018;1 336;0,0024;
июль 2018;1 686;0,0030;
август 2018;1 820;0,0026;
сентябрь 2018;2 315;0,0028;
октябрь 2018;1 969;0,0025;
ноябрь 2018;1 791;0,0023;
декабрь 2018;2 288;0,0029;
январь 2019;2 287;0,0028;
февраль 2019;2 041;0,0026;
март 2019;1 884;0,0024;
апрель 2019;1 762;0,0024;
май 2019;1 602;0,0027;
июнь 2019;1 521;0,0028;
июль 2019;1 425;0,0026;
август 2019;1 859;0,0028;
сентябрь 2019;2 192;0,0028;
октябрь 2019;2 136;0,0026;
ноябрь 2019;1 708;0,0020;
декабрь 2019;2 249;0,0026;
январь 2020;2 225;0,0026;
февраль 2020;2 377;0,0025;
март 2020;3 455;0,0028;
апрель 2020;3 349;0,0031;
май 2020;2 740;0,0032;
июнь 2020;1 892;0,0026;
июль 2020;1 616;0,0023;
август 2020;2 056;0,0024;
сентябрь 2020;2 503;0,0023;
октябрь 2020;3 248;0,0027;
ноябрь 2020;3 133;0,0029;
декабрь 2020;3 440;0,0033;
январь 2021;3 159;0,0032;
февраль 2021;2 981;0,0030;
март 2021;2 469;0,0024;
апрель 2021;2 351;0,0024;
май 2021;2 560;0,0029;
июнь 2021;1 693;0,0021;
июль 2021;1 714;0,0022;
август 2021;1 994;0,0021;
сентябрь 2021;2 417;0,0022;
октябрь 2021;3 072;0,0027;
ноябрь 2021;2 872;0,0024;
декабрь 2021;2 741;0,0023;
январь 2022;2 728;0,0023;
февраль 2022;2 760;0,0022;
март 2022;2 329;0,0020;
апрель 2022;2 204;0,0019;
май 2022;1 843;0,0018;
июнь 2022;2 180;0,0025;
июль 2022;2 327;0,0025;
август 2022;2 155;0,0020;
сентябрь 2022;2 236;0,0018;
октябрь 2022;2 409;0,0019;
ноябрь 2022;2 195;0,0017;
декабрь 2022;2 233;0,0018;
январь 2023;2 031;0,0017;
февраль 2023;2 336;0,0019;
март 2023;2 047;0,0017;
апрель 2023;2 018;0,0018;
май 2023;1 730;0,0018;
июнь 2023;1 310;0,0015;
июль 2023;1 469;0,0017;
август 2023;1 725;0,0017;
сентябрь 2023;2 259;0,0019;
октябрь 2023;1 781;0,0015;
ноябрь 2023;1 893;0,0015;
декабрь 2023;2 086;0,0017;
январь 2024;1 969;0,0017;
февраль 2024;1 739;0,0015;
март 2024;1 966;0,0017;
апрель 2024;1 906;0,0017;
май 2024;1 277;0,0015;
июнь 2024;1 324;0,0017;
июль 2024;1 103;0,0014;
август 2024;1 628;0,0017;
сентябрь 2024;2 473;0,0022;
октябрь 2024;2 526;0,0022;
ноябрь 2024;2 488;0,0020;
декабрь 2024;2 288;0,0020;
