Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;171;0,00295;
январь 2018;101;0,00183;
февраль 2018;102;0,00170;
март 2018;139;0,00237;
апрель 2018;138;0,00223;
май 2018;103;0,00192;
июнь 2018;99;0,00175;
июль 2018;107;0,00196;
август 2018;107;0,00184;
сентябрь 2018;165;0,00234;
октябрь 2018;143;0,00215;
ноябрь 2018;119;0,00178;
декабрь 2018;125;0,00193;
январь 2019;124;0,00188;
февраль 2019;157;0,00231;
март 2019;108;0,00161;
апрель 2019;98;0,00153;
май 2019;82;0,00145;
июнь 2019;83;0,00147;
июль 2019;83;0,00149;
август 2019;86;0,00146;
сентябрь 2019;116;0,00166;
октябрь 2019;158;0,00215;
ноябрь 2019;173;0,00214;
декабрь 2019;273;0,00328;
январь 2020;164;0,00208;
февраль 2020;179;0,00203;
март 2020;306;0,00270;
апрель 2020;235;0,00262;
май 2020;284;0,00336;
июнь 2020;171;0,00213;
июль 2020;122;0,00157;
август 2020;220;0,00250;
сентябрь 2020;289;0,00274;
октябрь 2020;267;0,00230;
ноябрь 2020;273;0,00255;
декабрь 2020;334;0,00349;
январь 2021;237;0,00265;
февраль 2021;272;0,00280;
март 2021;159;0,00161;
апрель 2021;175;0,00177;
май 2021;163;0,00168;
июнь 2021;121;0,00135;
июль 2021;149;0,00168;
август 2021;124;0,00127;
сентябрь 2021;204;0,00179;
октябрь 2021;237;0,00204;
ноябрь 2021;325;0,00267;
декабрь 2021;201;0,00167;
январь 2022;204;0,00168;
февраль 2022;224;0,00174;
март 2022;172;0,00143;
апрель 2022;151;0,00129;
май 2022;164;0,00147;
июнь 2022;126;0,00112;
июль 2022;244;0,00128;
август 2022;161;0,00124;
сентябрь 2022;194;0,00152;
октябрь 2022;206;0,00151;
ноябрь 2022;172;0,00127;
декабрь 2022;231;0,00174;
январь 2023;195;0,00158;
февраль 2023;205;0,00151;
март 2023;193;0,00146;
апрель 2023;152;0,00120;
май 2023;125;0,00111;
июнь 2023;98;0,00083;
июль 2023;161;0,00136;
август 2023;127;0,00107;
сентябрь 2023;240;0,00188;
октябрь 2023;172;0,00135;
ноябрь 2023;213;0,00160;
декабрь 2023;269;0,00207;
январь 2024;130;0,00105;
февраль 2024;162;0,00130;
март 2024;201;0,00169;
апрель 2024;135;0,00116;
май 2024;175;0,00170;
июнь 2024;133;0,00122;
июль 2024;109;0,00102;
август 2024;161;0,00150;
сентябрь 2024;226;0,00187;
октябрь 2024;193;0,00154;
ноябрь 2024;154;0,00116;
декабрь 2024;162;0,00127;
