Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;1 597;0,0026;
январь 2018;1 502;0,0025;
февраль 2018;1 769;0,0026;
март 2018;1 477;0,0024;
апрель 2018;1 421;0,0024;
май 2018;1 283;0,0023;
июнь 2018;1 235;0,0022;
июль 2018;1 300;0,0023;
август 2018;1 724;0,0026;
сентябрь 2018;1 897;0,0025;
октябрь 2018;1 548;0,0023;
ноябрь 2018;1 250;0,0018;
декабрь 2018;1 732;0,0025;
январь 2019;1 859;0,0028;
февраль 2019;1 681;0,0023;
март 2019;1 525;0,0023;
апрель 2019;1 223;0,0019;
май 2019;1 240;0,0020;
июнь 2019;1 288;0,0021;
июль 2019;1 241;0,0020;
август 2019;1 481;0,0022;
сентябрь 2019;1 713;0,0023;
октябрь 2019;1 408;0,0019;
ноябрь 2019;1 522;0,0020;
декабрь 2019;1 884;0,0025;
январь 2020;1 611;0,0022;
февраль 2020;1 719;0,0022;
март 2020;2 576;0,0025;
апрель 2020;2 117;0,0023;
май 2020;1 902;0,0026;
июнь 2020;1 617;0,0023;
июль 2020;1 283;0,0019;
август 2020;1 547;0,0021;
сентябрь 2020;2 137;0,0025;
октябрь 2020;2 495;0,0029;
ноябрь 2020;1 780;0,0021;
декабрь 2020;2 199;0,0026;
январь 2021;2 406;0,0030;
февраль 2021;2 296;0,0025;
март 2021;1 978;0,0021;
апрель 2021;1 787;0,0019;
май 2021;1 724;0,0020;
июнь 2021;1 289;0,0016;
июль 2021;1 446;0,0017;
август 2021;1 603;0,0017;
сентябрь 2021;1 850;0,0018;
октябрь 2021;2 341;0,0023;
ноябрь 2021;2 900;0,0028;
декабрь 2021;2 485;0,0024;
январь 2022;2 517;0,0025;
февраль 2022;2 820;0,0025;
март 2022;2 278;0,0021;
апрель 2022;1 930;0,0018;
май 2022;1 762;0,0019;
июнь 2022;1 632;0,0018;
июль 2022;1 689;0,0018;
август 2022;1 847;0,0018;
сентябрь 2022;2 129;0,0019;
октябрь 2022;2 068;0,0019;
ноябрь 2022;1 959;0,0018;
декабрь 2022;1 968;0,0018;
январь 2023;2 236;0,0022;
февраль 2023;2 045;0,0018;
март 2023;1 851;0,0018;
апрель 2023;1 467;0,0014;
май 2023;1 483;0,0016;
июнь 2023;1 292;0,0014;
июль 2023;1 226;0,0014;
август 2023;1 456;0,0015;
сентябрь 2023;1 993;0,0019;
октябрь 2023;1 961;0,0019;
ноябрь 2023;1 876;0,0018;
декабрь 2023;1 932;0,0018;
январь 2024;1 773;0,0018;
февраль 2024;1 687;0,0016;
март 2024;1 773;0,0018;
апрель 2024;1 517;0,0016;
май 2024;1 450;0,0017;
июнь 2024;1 225;0,0015;
июль 2024;1 190;0,0014;
август 2024;1 429;0,0016;
сентябрь 2024;1 925;0,0019;
октябрь 2024;2 075;0,0020;
ноябрь 2024;1 936;0,0018;
декабрь 2024;1 892;0,0018;
