Period,Leningrad Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Moscow,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Moscow Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Saint Petersburg,Kursk Oblast
2017-12-01,2,3,1,22,5,0,24,14,72,13,10,0,1,3,3,0,1,0,1,1,115079,32,0,0,5,5,5,5,0,9,2,6612,0,3,8,0,1,2,9,10,0,3,6,9,0,10,2,76,97,1,1,1,0,1,20,1,15,17,0,6,0,15,233,8,2,43,0,4,0,0,4,0,1,27,4,214,0,25,1,286,4
2018-01-01,88,0,5,9,15,0,59,17,112,4,6,2,6,3,2,0,0,0,0,2,98154,57,0,0,55,5,0,0,0,77,17,6257,0,11,2,0,1,1,9,3,0,0,24,2,0,40,9,25,83,1,0,0,1,2,16,0,9,28,9,8,0,53,193,18,0,76,0,0,0,0,3,0,5,14,0,223,0,3,8,344,3
2018-02-01,12,1,0,36,31,0,112,8,19,6,3,1,0,0,0,2,0,0,0,3,117269,11,0,0,9,0,0,0,1,10,2,8865,1,1,0,3,4,30,32,6,0,15,1,2,0,53,5,52,79,11,4,2,0,4,10,1,6,93,1,14,0,6,112,1,0,25,0,4,0,0,1,0,1,10,0,195,0,10,8,297,0
2018-03-01,13,1,0,2,11,2,25,3,24,2,2,0,0,2,0,2,0,0,0,1,82389,12,0,0,4,0,0,0,0,14,2,5507,5,0,4,2,4,40,6,2,1,0,15,2,0,47,9,27,152,0,1,7,0,3,6,5,1,258,0,7,0,6,280,2,0,21,3,1,0,0,2,0,2,7,3,176,3,12,3,284,6
2018-04-01,11,1,0,2,7,0,44,15,21,17,3,0,0,4,0,3,0,0,1,0,64685,11,1,0,1,2,0,1,0,18,1,3810,0,4,7,4,0,6,5,2,2,0,3,2,0,25,1,20,120,14,1,0,2,7,10,0,13,315,0,17,0,10,241,2,1,12,0,3,0,0,0,0,3,0,0,175,1,27,0,190,0
2018-05-01,9,4,0,9,1,0,10,15,32,11,5,0,0,3,1,14,0,0,25,0,56128,11,0,0,17,7,0,0,4,21,4,3722,1,0,18,9,0,6,30,1,2,1,1,6,0,21,4,7,98,8,0,1,0,0,2,0,0,61,0,1,0,7,297,0,0,4,0,6,0,0,3,0,4,21,2,136,3,10,1,174,0
2018-06-01,16,4,0,7,4,2,6,25,15,2,1,0,46,4,2,1,0,0,6,0,49957,15,0,5,4,2,1,0,0,24,4,3101,0,0,5,2,1,13,32,3,1,0,2,0,0,14,1,4,55,12,3,3,1,1,2,0,1,32,0,4,1,2,478,2,5,13,0,1,2,0,2,0,5,14,4,160,11,10,7,470,0
2018-07-01,23,1,6,0,6,0,6,16,26,2,2,0,1,9,6,0,4,2,6,1,46472,3,1,0,10,1,1,3,0,17,0,3042,0,2,12,11,2,4,8,5,0,0,6,1,2,64,0,8,84,8,3,1,1,11,3,0,0,33,1,9,0,6,236,4,2,11,0,1,1,0,12,0,7,30,0,194,10,12,0,226,1
2018-08-01,20,2,3,9,12,1,5,9,5,15,11,2,2,2,1,0,2,1,5,2,45122,10,0,0,8,4,4,0,0,4,5,3125,2,0,7,9,0,7,19,4,1,2,2,4,0,3,2,20,95,8,2,3,0,1,1,0,14,18,0,6,0,2,237,1,0,17,0,5,0,0,14,5,8,7,0,184,4,5,0,281,6
2018-09-01,9,4,0,9,5,0,19,15,25,19,20,0,0,3,5,1,0,1,33,2,54195,69,0,0,86,4,3,0,0,84,4,3512,4,0,11,6,0,20,12,10,1,1,5,0,0,22,3,29,61,4,2,4,0,2,13,0,0,18,0,18,0,5,359,0,4,19,0,8,0,0,0,0,12,4,1,345,3,8,4,309,2
