Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Komi Republic,Moscow,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Moscow Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Kalmykia,Rostov Oblast,Altai Krai,Belgorod Oblast,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Tomsk District,Amur Oblast,Bryansk Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Khabarovsk Krai,The Kabardino-Balkar Republic,Vladimir Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Voronezh Oblast,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,2.1e-6,0,0,5.8e-6,0,0,0,0,0,0,2.15e-6,0,0,1.8e-6,0,0,0,0,3.7e-6,0,1.31e-5,0,3.77e-6,0,1.35e-5,9.1e-7,3.03e-5,9.8e-6,0,8.2e-5,0,6.8e-6,0,1.67e-6,0,4.2e-6,0,0,4.1e-7,0,5.5e-7,0,0,1.669e-5,1.94e-6,7.9e-7,1.199e-5,0,0,0,2.1e-5,9.9e-6,0,0,0,0,1.21e-5,0,0,0,0,6.16e-5,3.5e-6,0,0,0,0,0,0,0,0,0,9.13e-6,5.54e-6,2.74e-6,0,0,0,0
17532,4.3e-6,0,0,0,3e-6,0,0,1.9e-6,0,0,3.74e-6,9.37e-6,0,0,0,0,0,0,0,0,1.35e-5,0,3.35e-6,0,0,9e-7,2.21e-5,0,0,7.1e-5,8.99e-6,2.8e-6,2.01e-6,8.58e-6,1.07e-5,0,0,0,8.2e-7,0,0,0,0,1.488e-5,8.11e-6,8.3e-7,3.29e-6,0,0,4.12e-5,1.64e-5,0,0,0,0,0,0,0,5.56e-6,0,2.94e-5,0,0,0,1.7e-6,0,2.1e-6,0,0,0,0,0,8.17e-6,7.08e-6,0,0,6.5e-7,0,0
17563,0,0,0,0,0,0,0,0,0,0,9.7e-7,5.01e-6,0,0,0,0,0,0,0,1.96e-5,8.6e-6,0,1.24e-6,0,0,0,2.37e-5,0,3.2e-6,7.2e-5,1.989e-5,5.6e-6,0,0,4.39e-5,0,0,0,3.9e-7,0,9.9e-7,0,0,7.07e-6,4.69e-6,1.56e-6,9.8e-7,0,0,1.82e-5,1.03e-5,9.5e-6,0,0,0,0,0,0,8.74e-6,0,5.6e-6,3.6e-5,3.2e-6,0,0,0,4.1e-6,0,0,0,0,0,4.49e-6,0,1.173e-5,0,1.101e-5,0,0
17591,0,0,0,0,0,0,0,0,0,0,4.2e-7,0,0,0,0,0,0,0,0,0,1.27e-5,0,2.37e-6,0,2e-6,9.1e-7,8.4e-6,0,0,4.5e-5,0,5.4e-6,2.09e-6,0,0,0,0,0,0,0,0,0,0,5.47e-6,0,2.54e-6,3.29e-6,0,0,2.1e-5,1.69e-5,0,0,0,0,0,0,0,0,8.3e-6,5.9e-6,3.09e-5,3.5e-6,0,3.45e-6,0,0,0,0,0,0,0,2.62e-6,0,2.83e-6,0,0,0,0
17622,2.2e-6,0,0,0,3.1e-6,0,0,0,0,0,3.07e-6,0,0,6.1e-6,0,0,0,0,0,2.6e-6,1.95e-5,2e-6,1.01e-6,0,0,9.2e-7,5.3e-6,0,0,4.3e-5,1.11e-6,3.3e-6,0,0,0,0,0,1.14e-6,4.3e-7,0,4.62e-6,0,0,1.413e-5,9.5e-7,1.61e-6,4.83e-6,0,0,6.44e-5,1.07e-5,0,0,0,0,0,0,0,0,0,0,0,1.09e-5,0,0,0,0,0,0,0,0,0,3.53e-6,1.405e-5,1.116e-5,0,1.35e-6,3.13e-5,1.9e-5
17652,0,0,0,0,0,0,0,0,0,0,1.15e-6,0,2.7e-6,0,0,0,0,0,0,0,8.9e-6,0,0,1.69e-6,0,0,4.4e-6,0,0,5.5e-5,1.18e-6,2.5e-6,5.61e-6,0,0,0,0,1.22e-6,1.32e-6,0,0,0,0,2.5e-6,4.76e-6,2.96e-6,6.2e-7,7.72e-6,0,2.45e-5,6.3e-6,0,0,0,0,0,0,0,1.97e-6,0,2.09e-5,2.47e-5,9.4e-6,0,0,0,0,0,0,0,0,0,5.63e-6,3.16e-6,0,0,0,2.4e-5,0
17683,0,0,0,0,0,0,0,2e-6,0,0,7e-7,1.8e-6,0,0,0,0,0,0,0,0,1e-5,0,1.14e-6,0,0,1.09e-6,1.1e-5,0,0,2.7e-5,2.84e-6,1.9e-6,0,0,0,0,0,0,0,0,0,0,1.64e-6,7.39e-6,8.06e-6,3.85e-6,1.307e-5,0,0,0,8.23e-5,0,0,0,0,3.71e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22e-6,0,0,1.78e-6,1.63e-6,0,0,3.91e-6,3.26e-5,0
17713,0,4.2e-6,0,0,0,0,0,0,0,0,2.53e-6,0,0,0,0,0,0,0,0,0,8.4e-6,0,2.65e-6,0,0,0,6.6e-6,0,0,3.3e-5,0,4.8e-6,0,0,0,0,0,0,1.18e-6,0,1.74e-6,0,0,0,0,6.53e-6,5.5e-6,0,5.5e-5,0,5.25e-5,2.9e-6,0,0,0,3.6e-6,0,0,0,1.83e-5,0,0,0,0,3.53e-6,0,0,0,0,0,0,0,2.16e-6,4.8e-6,0,0,7.3e-7,1.26e-5,0
17744,0,0,0,0,0,0,0,0,0,0,3.66e-6,0,0,1.8e-6,0,0,0,0,0,0,1.09e-5,1.8e-6,2.29e-6,0,0,9.1e-7,1.57e-5,0,3.5e-6,9.6e-5,9.9e-7,4e-6,3.85e-6,0,0,5.21e-5,0,0,1.95e-6,0,0,0,0,1.05e-6,0,8e-7,5.33e-6,0,0,1.057e-4,7.89e-5,0,0,0,0,0,0,0,1.76e-6,0,1.2e-5,3.03e-5,3.4e-6,0,0,0,2.2e-6,0,0,0,0,0,7.61e-6,1.33e-6,2.89e-6,0,6.4e-7,1.39e-5,0
17775,1.7e-6,0,0,8.4e-6,0,0,0,0,0,0,1.4e-6,0,0,0,0,0,0,0,0,0,9.7e-6,3.3e-6,4.19e-6,0,0,7.6e-7,2.82e-5,0,0,1.06e-4,6.96e-6,2.4e-6,0,0,3.7e-6,3.56e-5,0,6.49e-6,0,0,0,0,0,1.8e-6,0,2.457e-5,3.65e-6,6.85e-6,0,1.78e-5,1.38e-5,0,4.2e-6,0,0,0,3.07e-5,0,0,0,9.8e-6,0,0,1.1e-5,0,0,0,0,0,0,0,0,6.62e-6,2.38e-6,0,7.7e-7,2.78e-6,0,0
17805,0,0,0,0,0,0,0,0,0,0,2.12e-6,1.53e-6,0,0,0,0,0,0,0,0,1.15e-5,0,8.9e-7,2.75e-6,1.8e-6,2.6e-6,3.96e-5,0,0,4.1e-5,7.95e-6,3.9e-6,9.1e-7,0,0,0,0,0,7.7e-7,0,1.5e-6,2.23e-6,0,8.8e-6,3.69e-6,9.8199999999999992e-06,2.744e-5,0,0,1.793e-4,0,6.9e-6,8.9e-6,0,0,0,0,0,0,0,9.8e-6,0,0,0,0,1.23e-5,2e-6,0,0,0,0,0,6.6e-6,3.9e-6,0,0,0,1.2e-5,0
17836,0,0,0,0,0,0,0,1.8e-6,0,0,1.35e-6,0,4.5e-6,0,0,0,0,0,0,0,1.19e-5,3.6e-6,4.3e-7,1.38e-6,0,5.29e-6,1.14e-5,0,3.2e-6,4.9e-5,3.71e-6,5.8e-6,0,1.57e-6,0,0,0,0,0,0,0,0,0,2.9e-6,0,3.75e-6,7.02e-6,0,0,8.77e-5,1.5e-5,0,0,0,0,0,1.08e-5,0,0,0,4.9e-6,0,0,0,4.66e-6,0,1.9e-6,0,0,0,0,0,9.36e-6,7.8e-6,5.28e-6,8.4e-7,0,2.46e-5,0
17866,0,6.9e-6,0,0,0,0,0,0,0,0,2.53e-6,2.82e-6,1.08e-5,0,0,0,0,0,0,0,1.46e-5,0,2.34e-6,4.04e-6,0,0,1.89e-5,0,0,8.1e-5,3.19e-6,5.9e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31e-6,7.87e-6,1.23e-6,0,1.77e-5,0,0,0,0,0,0,1.03e-5,0,2.48e-6,0,9.5e-6,1.36e-5,0,0,0,0,0,0,0,9.6e-7,0,0,8.64e-6,7.77e-6,1.28e-6,4.16e-6,4.24e-6,4e-6,0
17897,5.9e-6,0,0,0,0,0,0,0,0,0,1.98e-6,0,0,0,0,0,0,0,0,1.77e-5,1.52e-5,5.7e-6,2.08e-6,4.17e-6,1.9e-6,8.6e-7,2.41e-5,0,0,1.16e-4,1.86e-6,4.8e-6,0,4.86e-6,2e-6,4.1e-6,6.1e-6,0,0,0,2.39e-6,0,1.43e-6,2.89e-6,9.1e-7,2.28e-6,1.24e-5,2.43e-6,3.03e-5,0,0,4.7e-6,0,0,0,0,0,0,1.33e-6,7.4e-6,9.4e-6,0,6e-6,0,0,1.66e-5,0,0,0,0,0,1.29e-5,1.341e-5,0,2.53e-6,0,0,0,2.4e-6
17928,0,0,0,0,0,0,0,1.7e-6,0,5.6e-6,2.98e-6,2.63e-6,0,0,0,0,0,0,0,0,1.07e-5,0,3.12e-6,0,0,0,3.36e-5,0,0,8.7e-5,5.4e-6,3.2e-6,0,0,2.51e-5,1.9e-6,0,0,1.11e-6,0,9.1e-7,0,0,9.3e-7,0,7.5e-7,6.96e-6,0,8.84e-5,0,0,6.9e-6,0,0,0,0,0,0,2.48e-6,0,0,6.6e-5,0,0,0,1.53e-5,0,0,0,0,0,0,9.6e-6,0,6.41e-6,0,0,1.94e-5,0
17956,2e-6,0,0,0,0,0,0,0,0,0,5.16e-6,4.3e-6,0,0,0,0,0,0,0,2.5e-6,1.25e-5,0,2.92e-6,2.83e-6,0,8.8e-7,1.17e-5,0,0,9.5e-5,8.1e-6,4.1e-6,3.79e-6,9.57e-6,2.1e-6,0,3.1e-6,1.07e-6,0,0,1.47e-6,0,0,3.85e-6,9.2e-7,1.528e-5,7.24e-6,3.78e-6,0,0,1.01e-5,0,0,0,0,8.5e-6,0,0,0,0,0,9.75e-5,2e-6,0,2.224e-5,0,0,0,0,0,0,0,1.122e-5,3.93e-6,1.31e-6,9e-7,1.87e-6,0,9.8e-6
