Period,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Moscow Oblast,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Moscow,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Leningrad Oblast,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Saint Petersburg,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Kursk Oblast
2017-12-01,398458,294294,387402,291552,266251,522549,390183,469979,834829,483608,346205,239875,294456,282333,225359,163760,176139,403024,234120,1859324,60469,46971,1294636,684516,424634,406618,168507,1887795,575983,508010,406141,866207,1343610,226823,1187347,1193370,748304,527641,365143,668866,3735871,398630,46346,726685,728104,949992,1396701,651355,155111,245082,38707,146672,8881759,289669,22247,58105,466855,22922,412050,175562,121407,96872,242493,73308,440655,386727,57029,265297,21312,105413,769436,88552,1132324,549380,237247,2067082,3594596,199685,609979,165937,365445
2018-01-01,381395,283101,370375,284775,258956,502571,367809,435659,798697,462508,328274,232235,290639,269340,213475,155360,171466,385519,226665,1809309,60744,43234,1325177,659569,393706,380626,157287,1775043,558454,490865,377251,839157,1288115,220989,1111695,1234620,692786,497772,338214,679687,3433368,391057,44301,746071,728208,955250,1419636,629096,160099,252968,36978,142954,8550678,274587,20398,56303,454416,22795,392951,168411,125524,99450,241422,77248,421149,370116,55544,274929,21980,97661,729678,98317,1116993,554786,233066,2026403,3426378,191758,599865,172764,361067
2018-02-01,410643,294915,395234,305202,271116,535413,402930,471496,845787,505515,351802,251412,308942,290023,227892,170198,178887,420901,237741,1882171,66623,47216,1445304,714448,408962,400616,164700,1808010,582802,535236,398465,886093,1357800,234736,1220825,1488275,750476,526865,353977,696187,3821624,403747,47326,775919,745916,990046,1546691,643699,162406,258488,44451,149703,9383803,304616,23204,60480,496831,25535,409458,181177,136571,102344,257291,72617,453607,407595,59677,288992,24715,107476,776002,105418,1165801,582412,247041,2160607,3607871,209016,631804,181842,385226
2018-03-01,369411,287908,346952,277955,247636,495707,358932,429142,738041,448722,344529,218549,297802,279304,199923,154848,167366,402039,206038,1599334,55819,37916,1162720,614610,372309,385729,152303,1581703,506071,471530,353464,821289,1235147,207496,1128598,1372270,669777,497312,328416,625229,3330569,355923,46535,712103,739278,902484,1399175,592614,150197,254453,41085,139641,8249904,274477,22282,59033,431229,24967,383823,165964,125418,98009,230216,73433,413361,357806,54089,252344,20895,94787,651220,95555,1076441,534417,231655,1995164,3302675,194749,589227,174618,357365
2018-04-01,387392,301836,343948,283461,247031,500287,357045,424207,773063,450334,331451,237321,308711,270773,183802,158931,156835,384890,232577,1748229,65803,49139,1278350,628447,362164,390955,153919,1527578,543275,531763,363136,815729,1232906,205954,1221715,1359340,712341,503535,334804,681478,3198617,370725,54109,738557,777782,960801,1500648,643722,161206,269287,43233,139640,8260365,275900,21200,60625,436931,24405,392209,179550,137422,100375,243389,80951,400230,351062,62098,312122,22336,112847,729162,105719,1119869,578846,242296,1931973,3254565,191253,612070,177824,360435
2018-05-01,289453,213987,287313,229014,196573,395697,287759,342502,605779,365479,244810,194197,221255,210660,166711,127573,119813,283023,180945,1397273,50486,37824,997922,498716,289531,311376,116852,1107832,402345,386645,279830,638209,883745,141544,846319,1062567,560091,388056,249961,443664,2795202,286264,35441,523403,524515,655657,995856,455422,112363,194308,28673,103634,6822510,213809,17317,44774,356849,17426,321696,129998,96849,78351,167635,41426,367198,294256,46640,162927,12798,88144,547809,75856,855578,388967,178840,1517255,2849702,151697,459107,113717,274905
2018-06-01,279435,198735,275996,211862,189038,368886,271872,322582,576076,346747,210192,186853,183130,183098,157413,113481,105896,264060,160005,1452997,50228,32266,975723,492944,256175,289344,96441,1009627,354968,362856,271912,567155,770991,138216,720344,1083309,527606,355183,233735,410203,2811337,288535,27795,472283,493981,617352,912604,415245,109423,160687,20478,94019,6819777,199827,15675,39887,307210,16337,311469,103522,77107,68168,141264,33502,358453,286070,39604,140025,13729,74078,536287,69059,759554,345291,158783,1395298,2705505,138192,418191,104182,263472
2018-07-01,279309,194843,280296,217764,183548,370217,306064,330179,595407,350585,229105,197725,191862,203487,163795,120975,116627,279460,159473,1505378,50508,33287,1018568,485740,255746,290179,97818,1116735,378750,363752,267573,595707,847116,142626,725927,1095925,535233,357578,241322,437884,2882715,276931,29610,486628,515259,655460,965033,443346,110687,169447,22042,91692,6874907,210820,16927,40952,314816,16216,301493,102177,76451,67815,152507,39853,385512,294039,37499,150574,14926,75688,561375,68178,813303,362499,169917,1443537,2821046,141803,419863,109987,257710
2018-08-01,372454,281577,369238,282471,251502,514681,366261,424119,783411,463024,317762,249562,276702,273839,198228,162049,158677,374653,216939,2187888,66669,43947,1313381,634252,360149,388937,146386,1510873,569357,507345,364801,773884,1207090,221833,1174461,1452211,719323,490560,329430,589177,3550895,383486,44043,680854,688029,897659,1315291,554976,149494,236836,38356,130887,8586098,273530,20323,56136,395204,22445,367861,159242,115975,87866,228729,82178,445939,372623,55400,291068,25299,107995,773131,97699,1050112,531351,218554,1819553,3336919,192207,560438,169298,363105
2018-09-01,460602,352399,450137,348260,311035,649300,438978,529604,960331,578686,414250,286332,369693,335983,244290,203107,203808,469059,265231,2123767,76996,54604,1587273,754765,445040,467069,191129,1983859,671952,614728,450376,978976,1535534,273118,1430681,1791200,860615,603505,405513,797523,4340679,468116,63719,885545,884229,1149149,1694653,709751,186723,307989,54673,175524,10245611,338004,26849,69782,506526,31129,447957,218854,169046,113505,308089,98695,542457,445142,66852,396535,31544,129751,904239,125080,1311567,684212,282775,2453379,4036798,243013,701547,226944,446507
