Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,0.003,0.0029,0.0027,0.0027,0.0029,0.0026,0.0033,0.0026,0.0028,0.0028,0.0029,0.0036,0.0034,0.0035,0.0031,0.0035,0.0035,0.0032,0.0035,0.0037,0.0035,0.003,0.0029,0.0031,0.003,0.0029,0.0029,0.0032,0.003,0.0029,0.0031,0.0032,0.0033,0.0031,0.003,0.003,0.0033,0.0029,0.0032,0.0036,0.004,0.0027,0.0029,0.0033,0.003,0.0025,0.0028,0.0029,0.0033,0.0032,0.0028,0.0034,0.0026,0.0029,0.0034,0.0029,0.0034,0.0025,0.0042,0.0034,0.0033,0.0025,0.0037,0.0032,0.0029,0.0034,0.0033,0.0027,0.0027,0.0032,0.0024,0.0031,0.0029,0.0029,0.003,0.0032,0.0027,0.0032,0.0029,0.0033,0.0028
17532,0.0031,0.0034,0.0029,0.003,0.0031,0.003,0.0034,0.003,0.0032,0.0028,0.0032,0.0037,0.0036,0.0036,0.0033,0.003,0.0037,0.0035,0.0035,0.0038,0.0036,0.0034,0.0029,0.0034,0.0031,0.0031,0.0032,0.0034,0.0032,0.0031,0.0032,0.0036,0.0034,0.0034,0.003,0.0032,0.0032,0.0033,0.0035,0.0035,0.0035,0.0031,0.0031,0.0034,0.003,0.0027,0.003,0.003,0.0033,0.0033,0.0023,0.0044,0.0026,0.0029,0.0033,0.0033,0.0034,0.0026,0.0042,0.0029,0.0032,0.0026,0.0029,0.0032,0.003,0.0034,0.0036,0.0027,0.0024,0.0029,0.0027,0.0032,0.0028,0.0028,0.0031,0.0032,0.0028,0.0033,0.0032,0.0035,0.0032
17563,0.0034,0.0032,0.003,0.003,0.003,0.003,0.0034,0.0029,0.0033,0.0029,0.0032,0.0038,0.0037,0.0037,0.0032,0.0033,0.0039,0.0036,0.0036,0.0036,0.0038,0.0034,0.0028,0.0034,0.0031,0.003,0.003,0.0033,0.0039,0.0029,0.0033,0.0036,0.0035,0.0034,0.0032,0.0029,0.0033,0.0033,0.0035,0.0037,0.004,0.003,0.003,0.0034,0.0031,0.0025,0.0029,0.003,0.0034,0.0033,0.0025,0.0032,0.0029,0.0032,0.0033,0.003,0.0032,0.0024,0.0038,0.0041,0.0033,0.0025,0.003,0.0031,0.003,0.0035,0.0036,0.0027,0.0026,0.0027,0.0025,0.0032,0.003,0.003,0.0032,0.0035,0.0029,0.0035,0.0031,0.0035,0.0031
17591,0.0034,0.003,0.0029,0.0029,0.0029,0.0026,0.0034,0.0027,0.0032,0.003,0.0029,0.0037,0.0037,0.0034,0.0033,0.0033,0.0039,0.003,0.0035,0.0031,0.0036,0.0032,0.0028,0.0033,0.0029,0.0029,0.003,0.0032,0.0036,0.0024,0.003,0.0034,0.0032,0.003,0.0031,0.0032,0.0032,0.003,0.0033,0.0034,0.0034,0.0023,0.0029,0.0034,0.0027,0.0025,0.003,0.0031,0.0034,0.0034,0.0028,0.0032,0.0024,0.0031,0.003,0.0032,0.0041,0.0025,0.0044,0.0034,0.0029,0.0026,0.0033,0.003,0.0028,0.0032,0.003,0.0025,0.0023,0.0023,0.0028,0.003,0.0027,0.0027,0.003,0.0033,0.0028,0.0033,0.0029,0.0034,0.0029
17622,0.0032,0.003,0.0029,0.003,0.0029,0.0027,0.0031,0.0029,0.0034,0.003,0.003,0.0037,0.0036,0.0031,0.003,0.0035,0.0035,0.0035,0.0036,0.0035,0.0036,0.0033,0.0027,0.0031,0.003,0.0029,0.003,0.0032,0.0031,0.0027,0.003,0.0034,0.0032,0.0033,0.003,0.003,0.0031,0.0029,0.0031,0.0034,0.0039,0.0028,0.0031,0.0033,0.0027,0.0025,0.0029,0.003,0.003,0.0032,0.0023,0.0035,0.0025,0.0031,0.0031,0.0037,0.0029,0.0027,0.0035,0.0035,0.0029,0.0029,0.0031,0.0029,0.0029,0.0033,0.0034,0.003,0.0026,0.0027,0.0027,0.003,0.0029,0.0027,0.003,0.0033,0.0027,0.0034,0.0031,0.0037,0.003
17652,0.0051,0.0049,0.0042,0.0043,0.0041,0.0048,0.0047,0.0044,0.005,0.0044,0.0041,0.0054,0.0053,0.0046,0.0044,0.0048,0.0058,0.0047,0.005,0.0058,0.0057,0.0046,0.0042,0.0044,0.0047,0.0046,0.0041,0.0045,0.0047,0.004,0.0044,0.0056,0.0051,0.0058,0.004,0.0047,0.0046,0.0059,0.0056,0.0057,0.0059,0.0038,0.0048,0.0057,0.0046,0.0041,0.0045,0.0045,0.0048,0.005,0.0038,0.0047,0.0037,0.0044,0.0049,0.0051,0.0058,0.0042,0.0055,0.0047,0.0049,0.0045,0.0045,0.0046,0.0044,0.0053,0.0049,0.004,0.0033,0.0042,0.0038,0.0056,0.0034,0.0046,0.0046,0.0046,0.0045,0.0055,0.0044,0.0067,0.0049
17683,0.0047,0.0047,0.0043,0.0039,0.0038,0.0046,0.0046,0.0042,0.0049,0.0041,0.0037,0.0052,0.0051,0.004,0.0042,0.005,0.0055,0.005,0.0047,0.005,0.0051,0.0043,0.0038,0.0043,0.0043,0.0045,0.0043,0.0044,0.0042,0.0042,0.0041,0.005,0.0049,0.0049,0.0044,0.0045,0.0045,0.0049,0.0051,0.0048,0.0053,0.0041,0.0046,0.0048,0.0041,0.0038,0.0043,0.0043,0.0042,0.0047,0.0031,0.0045,0.0036,0.0043,0.0045,0.0042,0.0039,0.0041,0.0048,0.0064,0.0045,0.0036,0.0033,0.0043,0.0043,0.0043,0.0046,0.0048,0.0033,0.0033,0.0038,0.0047,0.0034,0.004,0.0044,0.0045,0.0044,0.0051,0.0043,0.0071,0.0042
17713,0.0038,0.0037,0.0037,0.0035,0.0036,0.0036,0.0042,0.0033,0.004,0.0035,0.0036,0.0043,0.0044,0.004,0.0035,0.0042,0.0046,0.0045,0.0038,0.0043,0.0043,0.0037,0.0035,0.0037,0.0035,0.0037,0.0036,0.0037,0.0035,0.0036,0.0037,0.0042,0.004,0.004,0.0034,0.0039,0.0038,0.0037,0.0042,0.0041,0.0042,0.0036,0.0037,0.0039,0.0035,0.0031,0.0036,0.0035,0.0039,0.0037,0.0035,0.0043,0.0029,0.0036,0.0036,0.0037,0.0034,0.0031,0.0041,0.0059,0.0034,0.0029,0.0036,0.0039,0.0038,0.0037,0.0039,0.0041,0.003,0.0035,0.0034,0.0039,0.0035,0.0033,0.0036,0.0039,0.0032,0.0042,0.0034,0.005,0.0034
17744,0.003,0.0032,0.0027,0.0032,0.0027,0.0031,0.0032,0.0029,0.0033,0.0028,0.0028,0.0036,0.0038,0.0032,0.0032,0.0032,0.0038,0.0034,0.0033,0.0034,0.0036,0.0034,0.0029,0.003,0.0031,0.003,0.003,0.0032,0.0029,0.0029,0.0031,0.0036,0.0033,0.003,0.003,0.0029,0.0031,0.0025,0.0033,0.0034,0.0029,0.0028,0.0032,0.0032,0.0026,0.0025,0.0029,0.0029,0.0031,0.0032,0.0025,0.0039,0.0025,0.0032,0.003,0.0031,0.0025,0.0027,0.0036,0.0028,0.0033,0.0027,0.0027,0.003,0.0031,0.0034,0.0038,0.003,0.0022,0.0024,0.0025,0.0031,0.003,0.0028,0.003,0.0032,0.0027,0.0035,0.0029,0.004,0.0031
17775,0.0036,0.003,0.003,0.0029,0.0031,0.0031,0.0033,0.0027,0.0034,0.0032,0.0031,0.0037,0.0037,0.0031,0.0031,0.0036,0.0043,0.0036,0.0034,0.0033,0.0039,0.0032,0.0029,0.0031,0.0031,0.0029,0.0032,0.0034,0.0035,0.0027,0.0035,0.0038,0.0033,0.0032,0.0029,0.0031,0.0033,0.003,0.0033,0.0034,0.0038,0.0023,0.0032,0.0034,0.0027,0.0025,0.003,0.0029,0.0031,0.0033,0.0026,0.0035,0.0028,0.0031,0.0032,0.0031,0.0033,0.0027,0.0041,0.0033,0.0035,0.0027,0.0031,0.0029,0.0031,0.0031,0.0032,0.0033,0.0023,0.0032,0.0027,0.0034,0.0033,0.0027,0.0031,0.0034,0.0028,0.0036,0.003,0.0039,0.0029
