Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Republic of Karelia,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Moscow,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Moscow Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Belgorod Oblast,Altai Republic,Tyva Republic,Tomsk District,Amur Oblast,Zabaykalsky Krai,Kamchatka Krai,Primorsky Krai,Sakha (Yakutia) Republic,Sakhalin District,Khabarovsk Krai,Bryansk Oblast,Karachay-Cherkess Republic,Stavropol Krai,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Vladimir Oblast,Voronezh Oblast,Ivanovo Oblast
17501,2,0,0,0,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,1628,0,0,0,0,0,0,0,1,0,0,88,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,5,0,3,0,0,0,0,0
17532,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,7,0,2,1397,0,0,0,0,0,0,0,0,0,0,97,0,7,0,7,0,5,8,1,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,0,0,0,0,0
17563,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,2,0,0,0,0,0
17591,4,3,0,0,0,0,3,0,2,0,15,1,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,0,79,0,1,0,0,0,8,0,2,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
17622,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,1,0,670,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,9,0,0,0,0,0,1,2
17652,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,48,0,1,0,4,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0
17683,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,5,0,0,462,0,0,0,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0
17713,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,1,0,3,0,0
17744,0,0,2,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,528,0,0,0,0,3,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,0,0,0,0,0
17775,1,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,10,0,0,726,0,0,0,0,0,0,0,0,0,0,63,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,3,0
