Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Republic of Karelia,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Moscow,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Moscow Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Belgorod Oblast,Altai Republic,Tyva Republic,Tomsk District,Amur Oblast,Zabaykalsky Krai,Kamchatka Krai,Primorsky Krai,Sakha (Yakutia) Republic,Sakhalin District,Khabarovsk Krai,Bryansk Oblast,Karachay-Cherkess Republic,Stavropol Krai,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Vladimir Oblast,Voronezh Oblast,Ivanovo Oblast
17501,4.2e-6,0,0,0,0,0,0,0,3e-6,0,7.1e-6,0,0,0,0,0,0,0,0,0,1.3011e-4,0,0,0,0,0,0,0,2e-6,0,0,2.021e-5,1.05e-6,0,0,0,0,0,0,3.99e-6,1.63e-6,0,0,0,0,0,0,0,1.21e-5,0,0,4.62e-5,0,0,0,0,1.3e-5,1.9e-6,0,4.11e-6,0,0,0,0,0
17532,0,0,0,0,0,0,0,0,0,0,5.2e-6,0,0,0,0,0,0,2.93e-6,0,3.9e-6,1.0657e-4,0,0,0,0,0,0,0,0,0,0,2.266e-5,0,2.89e-6,0,3.73e-6,0,5.31e-6,8.11e-6,8.3e-7,4.94e-6,0,0,0,0,0,0,0,0,0,0,2.32e-5,0,0,0,0,0,1.04e-5,0,0,0,0,0,0,0
17563,0,0,0,0,0,0,0,0,0,0,1.36e-6,0,0,0,0,0,0,0,0,0,1.1258e-4,0,0,0,0,0,0,0,0,0,0,2.845e-5,0,0,0,0,0,2.02e-6,0,0,9.8e-7,0,0,0,0,0,0,0,0,0,0,2.88e-5,0,0,0,0,0,2.76e-6,0,2.6e-6,0,0,0,0,0
17591,8.9e-6,1.18e-5,0,0,0,0,8.2e-6,0,3e-6,0,3.2e-6,1.83e-6,0,0,0,0,0,0,0,0,8.342e-5,0,0,0,0,0,0,0,0,0,0,1.859e-5,0,4.6e-7,0,0,0,8.76e-6,0,1.69e-6,9.32e-6,0,0,0,0,0,0,6.6e-6,0,0,0,0,0,0,0,0,0,1.5e-6,0,4.25e-6,0,0,0,0,0
17622,0,0,0,0,0,0,0,0,1.5e-6,0,1.75e-6,1.88e-6,0,0,0,0,0,0,1.5e-6,0,5.289e-5,0,0,0,0,0,0,0,0,0,0,7.93e-6,0,4.3e-7,0,0,0,1.08e-6,0,8e-7,1.128e-5,0,0,0,0,0,0,0,0,0,0,0,1.45e-5,4.4e-6,0,0,0,3.53e-6,0,0,0,0,0,9.7e-7,5.4e-6
17652,0,0,0,0,0,0,0,0,0,0,9.2e-7,0,2.2e-6,0,0,0,0,0,0,0,4.405e-5,1.03e-6,0,0,0,0,0,0,0,0,0,1.208e-5,0,4.4e-7,0,2.45e-6,0,7.51e-6,0,0,1.25e-6,0,0,0,0,2.9e-6,0,0,0,0,0,4.95e-5,0,0,0,0,0,8.6e-7,0,0,0,0,0,0,0
17683,0,0,0,0,0,0,0,0,0,0,4.95e-6,3.6e-6,0,0,0,0,0,2.85e-6,0,0,3.865e-5,0,0,0,0,4.55e-6,0,0,0,0,0,6.13e-6,0,0,0,0,0,0,0,0,1.86e-6,0,0,0,0,0,0,0,0,0,0,5.77e-5,0,0,0,0,0,0,0,0,0,1.95e-5,0,0,0
17713,0,0,0,0,0,0,0,0,0,0,3.23e-6,3.4e-6,0,0,0,0,0,0,0,0,3.991e-5,0,0,0,0,0,0,0,0,0,0,1.244e-5,0,0,0,0,0,0,0,0,6.1e-7,0,0,0,2.4e-5,0,0,0,0,0,0,0,3.8e-6,0,0,0,0,3.47e-6,0,0,7.3e-7,0,5.3e-6,0,0
17744,0,0,4.1e-6,0,0,0,0,0,0,0,6.1e-6,6.51e-6,0,0,0,0,0,0,0,0,3.828e-5,0,0,0,0,1.49e-6,0,0,0,0,0,1.434e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-6,0,0,0,4.94e-6,0,1.44e-6,0,0,0,0,0
17775,1.7e-6,0,0,0,0,0,0,0,0,0,6.14e-6,5.73e-6,0,0,0,0,0,3.81e-6,0,0,4.573e-5,0,0,0,0,0,0,0,0,0,0,1.163e-5,0,2.12e-6,0,3.12e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21e-6,0,1.23e-6,0,0,0,2.31e-6,0
17805,0,0,0,0,0,0,0,0,0,0,6.56e-6,3.07e-6,0,0,0,0,0,0,0,0,6.867e-5,0,0,0,0,0,0,0,0,0,0,1.372e-5,0,0,0,0,0,7.82e-6,0,3.77e-6,5e-7,3.75e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6e-6,0,2.638e-5,6.1e-7,0,0,0,0
17836,0,0,1.9e-6,0,0,0,0,9e-6,0,0,8.15e-6,0,0,0,0,0,1.8e-6,0,0,0,6.927e-5,1.76e-6,0,0,0,4.6e-7,0,0,0,0,0,1.401e-5,0,0,0,0,0,2.42e-5,0,0,5.61e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58e-6,0,0,0,0,0,0,2.4e-6
17866,0,0,0,0,0,0,7.1e-6,0,0,0,3.69e-6,1.41e-6,0,0,0,0,0,3.9e-7,0,0,1.0137e-4,0,0,0,2.41e-6,0,0,0,0,0,0,1.086e-5,0,0,0,0,0,3.83e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8e-6,0,0,0,0,0,2.16e-6,1.29e-6,0,0,0,0,0,2.3e-6
17897,0,0,0,0,0,0,0,0,0,0,4.17e-6,0,0,0,0,0,0,4.1e-7,2.7e-6,0,1.1221e-4,8.6e-7,1.2e-6,0,6.4e-7,1.4e-6,8.9e-7,3.2e-6,0,0,0,2.187e-5,1e-6,3.8e-7,0,4.7e-7,0,0,0,7.6e-7,1.43e-6,1.21e-6,0,0,0,2.3e-6,0,0,0,0,0,0,0,0,0,0,0,2.94e-6,1.25e-6,0,6.1e-7,0,0,8.4e-7,2.4e-6
17928,0,0,0,0,0,0,0,0,0,0,3.17e-6,0,0,0,0,0,0,7.8e-7,0,0,9.61e-5,0,0,0,5.9e-7,9e-7,0,0,0,0,0,1.789e-5,0,0,0,0,0,3.74e-6,0,2.26e-6,9.2e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4e-6,1.28e-6,0,0,3.8e-6,0,0,0
17956,0,0,0,0,0,0,0,0,0,0,3.96e-6,0,0,0,0,0,0,0,0,0,1.0088e-4,0,0,0,0,0,0,0,0,0,0,1.851e-5,0,0,0,0,0,2.89e-6,0,0,3.86e-6,0,0,0,0,0,0,0,0,3.8e-6,0,0,0,0,0,0,0,2.24e-6,5.24e-6,0,0,0,3.17e-6,0,0
17987,0,0,0,0,0,0,0,1.9e-6,0,0,4.29e-6,1.38e-6,0,0,0,0,0,0,0,4.1e-6,8.695e-5,0,0,0,0,0,0,0,0,0,0,1.399e-5,0,0,0,0,0,0,0,8.1e-7,1.184e-5,1.34e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.376e-5,0,0,0,0,0,0,0
18017,0,0,0,0,0,0,0,1.25e-5,1.6e-6,0,5.73e-6,0,0,0,0,0,0,0,0,0,5.968e-5,0,0,0,0,0,0,0,0,0,0,1.473e-5,1.23e-6,0,0,0,0,0,0,2.8e-6,7.63e-6,0,0,0,0,2.7e-6,0,0,0,2.6e-6,0,0,4.7e-6,0,0,0,0,9.84e-6,0,0,0,0,0,0,0
18048,0,0,0,0,0,0,0,0,0,0,1.13e-6,0,0,0,0,4.3e-6,0,4.8e-7,0,0,5.44e-5,0,0,0,0,5.4e-7,0,0,0,0,0,2.85e-5,0,1.1e-6,0,0,0,0,0,1.537e-5,2.81e-6,0,0,0,0,0,0,3.5e-6,0,0,0,0,0,0,0,0,0,4.47e-6,1.61e-6,0,0,0,0,0,0
18078,0,0,0,0,0,0,0,8.2e-6,0,0,2.97e-6,0,0,0,0,0,0,0,0,0,4.92e-5,1.02e-6,0,0,0,2.1e-6,0,0,0,0,0,1.644e-5,0,0,0,5.2e-7,0,0,0,9.2e-7,1.69e-6,1.47e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e-6,0,0,1.59e-6,0,7.3e-7,0,0,1.01e-6,0
18109,4.1e-6,0,0,0,0,0,0,0,0,0,6.2e-7,5.7e-6,0,0,0,0,0,0,0,0,2.616e-5,1.95e-6,0,0,0,0,9.7e-7,0,0,0,3.2e-6,1.522e-5,0,3.6e-7,3.08e-5,0,0,0,0,8.3e-7,5.2e-7,0,0,0,0,0,0,0,0,1.4e-6,0,0,0,0,0,0,0,5.17e-6,1.38e-6,0,0,0,0,1.82e-6,0
18140,0,0,0,0,0,0,0,0,0,0,2.36e-6,0,0,2.6e-6,0,0,0,0,0,0,4.27e-5,0,5.5e-7,0,5.4e-7,0,8.5e-7,0,0,0,0,1.813e-5,1e-6,1.76e-6,0,1.94e-6,0,0,0,7.1e-7,4.8e-7,0,0,0,0,0,0,0,0,0,4.4e-6,6.4e-6,0,0,0,0,0,0,0,0,0,1.12e-5,0,0,0
18170,0,0,0,0,0,0,0,0,0,0,2.02e-6,2.55e-6,0,0,0,0,0,0,0,0,3.893e-5,0,0,0,0,0,0,0,0,0,0,9.17e-6,0,0,0,0,0,0,8.8e-7,0,9.6e-7,0,0,0,0,0,0,0,0,6.9e-6,0,8.37e-5,0,0,0,0,0,9.3e-7,1.22e-6,0,5.6e-7,0,0,0,0
18201,0,6.5e-6,0,0,0,0,0,0,1.2e-6,0,2.89e-6,0,0,0,0,0,0,3.7e-7,0,0,3.337e-5,0,0,0,0,0,0,0,0,0,0,8.51e-6,0,0,0,0,0,0,0,0,4.5e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-7,0,0,0,0,0,0,0
18231,0,0,0,0,0,0,0,0,0,0,5.73e-6,0,0,0,0,0,0,3.7e-7,0,0,3.633e-5,0,5.2e-7,0,0,4.7e-7,8.3e-7,0,0,0,0,1.726e-5,0,0,0,0,0,0,0,6.7e-7,8.7e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82e-6,9.16e-6,0,0,1.06e-5,0,0,4.2e-6
18262,0,0,0,0,0,0,0,9.9e-6,0,0,5.4e-7,0,0,0,0,0,0,0,0,0,3.428e-5,0,0,0,0,1.95e-6,0,0,0,0,0,5.94e-6,0,0,0,0,0,0,4.98e-6,0,1.37e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29e-6,2.35e-6,5.5e-7,0,0,0,6.6e-6
18293,4.8e-6,0,0,0,0,1.4e-6,0,0,0,0,1.7e-7,0,0,0,0,0,0,7.4e-7,0,0,3.001e-5,0,0,0,0,0,0,0,0,0,0,8.47e-6,0,0,0,0,0,0,0,0,2.55e-6,0,0,0,0,0,0,0,0,1.2e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18322,6.4e-6,0,0,0,0,0,0,0,0,0,9.4e-7,0,0,0,0,0,0,0,0,0,2.129e-5,0,0,0,0,0,0,0,5.3e-6,0,0,5.25e-6,0,2.5e-7,0,0,0,0,0,0,1.45e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17e-6,8.8e-7,0,0,0,0,0,0
18353,0,0,0,0,0,0,0,0,0,1.12e-6,6.32e-6,0,0,0,0,0,0,0,0,0,2.809e-5,0,0,0,0,0,0,0,0,0,0,6.36e-6,0,2.8e-7,0,0,0,1.44e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7e-7,0,0,0,0,9.9e-7,0,0
18383,0,0,0,0,0,0,0,0,0,0,1.16e-6,0,0,0,0,0,0,8.1e-7,0,0,2.642e-5,2.47e-6,0,0,0,0,0,0,0,0,0,6.09e-6,0,0,0,4.6e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
