Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17836,817,536,816,885,618,932,603,429,1123,1371,1250,12082,1327,794,913,952,821,795,369,450,35309,1041,973,5601,1552,762,2604,3155,492,503,2864,10833,4369,1762,1660,877,1229,596,1775,5171,247,132,1588,4044,1649,2005,2488,3459,4001,1625,119,85,336,652,697,426,88,615,216,68,1200,337,329,227,1115,1474,273,98,423,38,298,1861,166,379,5978,3602,1420,1791,4894,538,625
17866,1242,725,1169,1000,886,1158,724,632,1495,1411,1732,15735,1654,862,1230,1083,1012,994,490,602,45782,1054,1274,7892,1960,1236,3165,4084,492,633,3980,14952,5722,2126,1989,1185,1511,655,2082,6983,274,102,1747,5742,2265,2383,3005,4618,6166,1906,125,87,471,963,792,453,80,788,375,89,1956,480,494,333,1404,1776,421,104,510,42,378,2481,193,508,8379,4541,1960,2288,4452,920,940
17897,1330,644,1082,962,689,1209,777,675,1448,1477,1859,15391,1643,890,954,979,1127,1001,497,573,42652,1123,1215,7381,2059,1067,3419,4003,460,520,3497,15225,5613,1982,1960,1178,1588,695,1910,6362,275,131,1616,5219,2182,2330,2909,4029,5354,1771,124,90,504,924,737,502,108,735,311,109,1791,432,385,370,1373,1637,447,101,431,36,347,2287,158,426,7602,4131,1818,2287,4691,787,856
17928,1613,681,1088,1056,743,1249,780,678,1451,1431,1681,15308,1708,832,1075,920,973,947,424,596,40739,810,1111,7373,2118,1265,2923,4192,489,566,3956,14700,5504,1944,1894,1214,1287,626,2190,6275,326,83,1491,5012,2218,2426,2948,3962,5519,1796,157,94,422,1053,810,499,97,757,218,76,1902,379,363,293,1368,1466,389,94,461,45,317,2350,130,378,7647,3830,1614,2041,4025,890,853
17956,1431,616,962,942,542,920,618,523,1235,1412,1525,13681,1473,953,1177,749,645,725,371,522,35257,777,1136,6458,1858,916,2873,3506,398,399,3525,12541,4622,1907,1907,1111,1025,541,1675,5658,256,63,1357,3882,2030,2230,2817,4092,4807,1695,108,127,396,838,681,420,83,686,260,76,1803,494,371,244,1140,1379,255,95,392,30,323,2010,136,441,7302,3474,1515,1884,3997,1103,914
17987,1094,509,789,850,604,821,637,516,1033,1266,1223,12635,1367,931,898,812,710,722,394,505,34408,712,906,5370,1754,771,2258,3145,323,524,2857,12073,4123,1644,1424,1111,1015,603,1599,5283,214,87,1190,4281,1670,1863,2456,3023,4083,1478,98,103,303,717,599,320,90,544,244,77,1681,266,304,212,1068,1156,395,77,355,46,233,1862,150,308,6351,3093,1203,1762,3425,737,753
18017,1014,677,813,812,581,833,573,687,1244,1277,1240,11927,1322,680,892,850,724,743,382,414,30643,690,793,5242,1340,755,2400,2941,300,457,3010,11803,4185,1679,1390,934,972,521,1495,5308,219,90,1274,4298,1774,1844,2198,3464,3969,1523,82,120,268,729,639,320,90,552,222,103,1763,324,256,120,1212,1129,278,92,335,45,303,1999,95,335,6423,2800,1350,1602,3476,686,735
18048,1050,518,783,834,574,1048,602,683,1393,1088,1288,12313,1670,672,835,862,629,644,386,361,32505,649,778,5370,1515,735,2361,3225,364,445,3012,12851,4271,1640,1506,1046,1030,499,1493,5857,306,86,1304,4450,1640,1534,2415,3126,3644,1368,83,53,309,736,615,360,80,590,204,93,1541,326,292,167,1262,966,258,79,314,50,196,2061,110,384,6505,3384,1507,1521,2985,547,753
18078,952,486,731,820,570,881,511,410,1409,1096,1241,12285,1372,701,785,859,723,660,405,441,31832,666,848,5165,1599,663,1955,2891,285,409,2675,12634,4126,1575,1396,857,969,528,1357,5892,271,69,1203,3967,1485,1519,2212,3172,3905,1266,83,82,355,819,477,352,59,534,193,83,1864,272,298,133,1219,1024,209,68,292,71,236,1944,83,431,6030,3022,1227,1425,2971,500,704
18109,1125,427,892,1046,655,1050,640,428,1186,1160,1481,14379,1568,796,922,831,914,858,414,502,41446,638,1089,5510,1646,855,2425,3869,335,509,3401,14264,4705,1745,1663,993,960,574,1429,6350,285,123,1472,3978,1738,1946,2851,3811,4281,1552,86,82,393,721,553,363,58,694,249,87,1471,323,320,200,1223,1184,208,80,455,59,184,2001,113,451,6596,3448,1488,1859,3890,655,851
