Year,Region,Fitted Values,Lower Bound,Upper Bound
2019,Altai Krai,-97.18413991793204,-2040.51072751444,1846.1424476785758
2020,Altai Krai,174.9646529548849,-1768.361934641623,2118.2912405513925
2021,Altai Krai,130.56473852695223,-1812.7618490695554,2073.89132612346
2022,Altai Krai,326.260989532277,-1617.065598064231,2269.5875771287847
2023,Altai Krai,121.36850992613506,-1821.9580776703729,2064.6950975226428
2024,Altai Krai,514.3334404552371,-1428.9931471412708,2457.660028051745
2019,Altai Republic,-342.1124440093897,-2285.4390316058975,1601.214143587118
2020,Altai Republic,-487.5830340531022,-2430.90962164961,1455.7435535434056
2021,Altai Republic,17.53261179077026,-1925.7939758057378,1960.8591993872783
2022,Altai Republic,112.00060589716986,-1831.3259816993382,2055.3271934936774
2023,Altai Republic,144.26143957078222,-1799.0651480257256,2087.58802716729
2024,Altai Republic,1529.540105574933,-413.7864820215749,3472.866693171441
2019,Amur Oblast,-145.60721283003227,-2088.9338004265396,1797.7193747664755
2020,Amur Oblast,-10.809120598956383,-1954.1357081954638,1932.5174669975513
2021,Amur Oblast,107.87901614169806,-1835.4475714548098,2051.205603738206
2022,Amur Oblast,374.4598452099354,-1568.8667423865727,2317.7864328064434
2023,Amur Oblast,472.62982496891266,-1470.6967626275953,2415.9564125654206
2024,Amur Oblast,424.0998701014827,-1519.2267174950252,2367.4264576979904
2019,Arkhangel'skaya Oblast',-24.99791298713251,-1968.3245005836402,1918.3286746093752
2020,Arkhangel'skaya Oblast',-29.609546389147113,-1972.936133985655,1913.7170412073608
2021,Arkhangel'skaya Oblast',9.013173827974015,-1934.3134137685338,1952.3397614244818
2022,Arkhangel'skaya Oblast',31.170826853500216,-1912.1557607430077,1974.4974144500081
2023,Arkhangel'skaya Oblast',18.375738289738138,-1924.9508493067692,1961.702325886246
2024,Arkhangel'skaya Oblast',-149.2807332066094,-2092.607320803117,1794.0458543898983
2019,Astrakhan Oblast,25.170264412338497,-1918.1563231841697,1968.4968520088464
2020,Astrakhan Oblast,-11.435285464151093,-1954.7618730606587,1931.8913021323567
2021,Astrakhan Oblast,46.1900089927243,-1897.1365786037832,1989.516596589232
2022,Astrakhan Oblast,110.47446964210837,-1832.8521179543995,2053.801057238616
2023,Astrakhan Oblast,56.89904922845693,-1886.4275383680506,2000.2256368249648
2024,Astrakhan Oblast,123.57394021502427,-1819.7526473814837,2066.900527811532
2019,Belgorod Oblast,-21.60352125547047,-1964.9301088519783,1921.7230663410373
2020,Belgorod Oblast,-239.3366341298996,-2182.6632217264078,1703.989953466608
2021,Belgorod Oblast,112.23400001810148,-1831.0925875784064,2055.560587614609
2022,Belgorod Oblast,345.6591078318153,-1597.6674797646924,2288.985695428323
2023,Belgorod Oblast,188.14155221640306,-1755.1850353801046,2131.468139812911
2024,Belgorod Oblast,916.0887766740626,-1027.237810922445,2859.4153642705705
2019,Bryansk Oblast,132.2368843490936,-1811.0897032474145,2075.563471945601
2020,Bryansk Oblast,-242.99275616583316,-2186.3193437623413,1700.3338314306748
2021,Bryansk Oblast,-2.2831591823280633,-1945.6097467788359,1941.04342841418
2022,Bryansk Oblast,20.061095379187236,-1923.2654922173206,1963.3876829756953
2023,Bryansk Oblast,28.639206295717486,-1914.6873813007905,1971.9657938922253
2024,Bryansk Oblast,81.93123619526023,-1861.3953514012478,2025.2578237917678
2019,Chechen Republic,-67.75905189773312,-2011.0856394942411,1875.5675356987747
2020,Chechen Republic,168.82794600905783,-1774.49864158745,2112.154533605566
2021,Chechen Republic,6.839869788674264,-1936.4867178078334,1950.1664573851822
2022,Chechen Republic,37.501330598548634,-1905.825256997959,1980.8279181950563
2023,Chechen Republic,11.238998112897548,-1932.0875894836104,1954.5655857094052
2024,Chechen Republic,-65.59851852477777,-2008.9251061212854,1877.7280690717303
2019,Chelyabinsk Oblast,-63.44741885123358,-2006.7740064477412,1879.8791687452745
2020,Chelyabinsk Oblast,90.39625700105006,-1852.9303305954577,2033.7228445975577
2021,Chelyabinsk Oblast,494.10034655890234,-1449.2262410376056,2437.42693415541
2022,Chelyabinsk Oblast,1563.9780889335707,-379.34849866293723,3507.3046765300783
2023,Chelyabinsk Oblast,752.2744704795165,-1191.0521171169914,2695.6010580760244
2024,Chelyabinsk Oblast,1219.5681842244044,-723.7584033721034,3162.894771820912
2019,Chuvash Republic,-52.80521432033504,-1996.131801916843,1890.5213732761729
2020,Chuvash Republic,-107.4048914743729,-2050.7314790708806,1835.921696122135
2021,Chuvash Republic,-0.6063020387314282,-1943.9328896352395,1942.7202855577764
2022,Chuvash Republic,90.03967459616877,-1853.2869130003387,2033.3662621926767
2023,Chuvash Republic,48.45179345071563,-1894.8747941457918,1991.7783810472235
2024,Chuvash Republic,-144.1196844107817,-2087.4462720072897,1799.206903185726
2019,Irkutsk Oblast,746.9781657652818,-1196.348421831226,2690.3047533617896
2020,Irkutsk Oblast,488.37615346387787,-1454.9504341326299,2431.702741060386
2021,Irkutsk Oblast,462.5299816334895,-1480.7966059630182,2405.856569229997
2022,Irkutsk Oblast,2999.1031678022823,1055.7765802057743,4942.42975539879
