Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;369;0,00074;
январь 2018;581;0,00118;
февраль 2018;556;0,00104;
март 2018;571;0,00112;
апрель 2018;553;0,00110;
май 2018;573;0,00121;
июнь 2018;575;0,00126;
июль 2018;705;0,00156;
август 2018;647;0,00121;
сентябрь 2018;547;0,00091;
октябрь 2018;497;0,00092;
ноябрь 2018;582;0,00107;
декабрь 2018;608;0,00111;
январь 2019;613;0,00117;
февраль 2019;622;0,00112;
март 2019;601;0,00113;
апрель 2019;559;0,00113;
май 2019;604;0,00133;
июнь 2019;553;0,00120;
июль 2019;425;0,00089;
август 2019;473;0,00089;
сентябрь 2019;535;0,00090;
октябрь 2019;461;0,00078;
ноябрь 2019;520;0,00089;
декабрь 2019;421;0,00070;
январь 2020;445;0,00076;
февраль 2020;505;0,00078;
март 2020;494;0,00059;
апрель 2020;547;0,00069;
май 2020;504;0,00084;
июнь 2020;389;0,00073;
июль 2020;368;0,00069;
август 2020;391;0,00064;
сентябрь 2020;549;0,00079;
октябрь 2020;423;0,00057;
ноябрь 2020;514;0,00072;
декабрь 2020;422;0,00062;
январь 2021;458;0,00070;
февраль 2021;411;0,00058;
март 2021;535;0,00074;
апрель 2021;463;0,00065;
май 2021;477;0,00072;
июнь 2021;381;0,00061;
июль 2021;427;0,00067;
август 2021;379;0,00052;
сентябрь 2021;418;0,00053;
октябрь 2021;482;0,00060;
ноябрь 2021;520;0,00062;
декабрь 2021;490;0,00059;
январь 2022;481;0,00060;
февраль 2022;1 587;0,00181;
март 2022;1 294;0,00155;
апрель 2022;1 247;0,00152;
май 2022;1 488;0,00204;
июнь 2022;1 308;0,00186;
июль 2022;1 002;0,00136;
август 2022;1 023;0,00122;
сентябрь 2022;1 227;0,00138;
октябрь 2022;897;0,00106;
ноябрь 2022;848;0,00101;
декабрь 2022;787;0,00093;
январь 2023;688;0,00088;
февраль 2023;786;0,00090;
март 2023;722;0,00090;
апрель 2023;719;0,00091;
май 2023;582;0,00081;
июнь 2023;655;0,00093;
июль 2023;712;0,00103;
август 2023;581;0,00078;
сентябрь 2023;644;0,00077;
октябрь 2023;646;0,00079;
ноябрь 2023;704;0,00084;
декабрь 2023;608;0,00073;
январь 2024;618;0,00080;
февраль 2024;607;0,00076;
март 2024;701;0,00092;
апрель 2024;526;0,00070;
май 2024;456;0,00072;
июнь 2024;514;0,00081;
июль 2024;469;0,00075;
август 2024;440;0,00065;
сентябрь 2024;466;0,00060;
октябрь 2024;458;0,00057;
ноябрь 2024;523;0,00065;
декабрь 2024;433;0,00053;
