Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;3 195;0,0020;
январь 2018;3 389;0,0020;
февраль 2018;4 477;0,0022;
март 2018;4 133;0,0022;
апрель 2018;4 523;0,0025;
май 2018;4 211;0,0025;
июнь 2018;4 764;0,0027;
июль 2018;5 073;0,0029;
август 2018;5 029;0,0024;
сентябрь 2018;5 383;0,0023;
октябрь 2018;5 244;0,0024;
ноябрь 2018;5 804;0,0026;
декабрь 2018;4 844;0,0022;
январь 2019;5 042;0,0023;
февраль 2019;5 430;0,0024;
март 2019;5 429;0,0025;
апрель 2019;5 407;0,0026;
май 2019;5 429;0,0029;
июнь 2019;5 098;0,0027;
июль 2019;5 019;0,0026;
август 2019;4 694;0,0023;
сентябрь 2019;4 493;0,0020;
октябрь 2019;4 413;0,0020;
ноябрь 2019;5 503;0,0026;
декабрь 2019;4 124;0,0019;
январь 2020;3 971;0,0019;
февраль 2020;4 328;0,0018;
март 2020;4 178;0,0014;
апрель 2020;4 289;0,0017;
май 2020;4 078;0,0021;
июнь 2020;3 636;0,0022;
июль 2020;3 490;0,0021;
август 2020;3 485;0,0019;
сентябрь 2020;3 580;0,0017;
октябрь 2020;3 530;0,0015;
ноябрь 2020;3 782;0,0016;
декабрь 2020;3 135;0,0015;
январь 2021;2 746;0,0014;
февраль 2021;3 377;0,0015;
март 2021;3 517;0,0016;
апрель 2021;3 350;0,0017;
май 2021;3 170;0,0016;
июнь 2021;3 258;0,0017;
июль 2021;3 320;0,0016;
август 2021;3 301;0,0015;
сентябрь 2021;3 448;0,0014;
октябрь 2021;3 551;0,0014;
ноябрь 2021;4 122;0,0017;
декабрь 2021;4 178;0,0018;
январь 2022;4 382;0,0018;
февраль 2022;10 124;0,0039;
март 2022;8 594;0,0036;
апрель 2022;9 459;0,0040;
май 2022;8 798;0,0042;
июнь 2022;7 953;0,0039;
июль 2022;6 812;0,0033;
август 2022;7 281;0,0032;
сентябрь 2022;8 417;0,0034;
октябрь 2022;6 501;0,0026;
ноябрь 2022;5 912;0,0023;
декабрь 2022;5 086;0,0020;
январь 2023;4 737;0,0020;
февраль 2023;6 291;0,0025;
март 2023;4 288;0,0018;
апрель 2023;4 457;0,0019;
май 2023;4 040;0,0019;
июнь 2023;4 666;0,0023;
июль 2023;5 596;0,0027;
август 2023;4 389;0,0020;
сентябрь 2023;4 305;0,0017;
октябрь 2023;4 129;0,0017;
ноябрь 2023;3 832;0,0016;
декабрь 2023;3 724;0,0015;
январь 2024;3 664;0,0016;
февраль 2024;3 956;0,0017;
март 2024;3 500;0,0016;
апрель 2024;3 820;0,0018;
май 2024;3 610;0,0019;
июнь 2024;3 401;0,0018;
июль 2024;3 192;0,0017;
август 2024;3 125;0,0016;
сентябрь 2024;2 941;0,0013;
октябрь 2024;3 262;0,0013;
ноябрь 2024;3 128;0,0012;
декабрь 2024;2 968;0,0012;
