Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;640;0,00131;
январь 2018;491;0,00102;
февраль 2018;604;0,00117;
март 2018;597;0,00133;
апрель 2018;538;0,00120;
май 2018;547;0,00127;
июнь 2018;625;0,00139;
июль 2018;664;0,00154;
август 2018;629;0,00128;
сентябрь 2018;540;0,00096;
октябрь 2018;664;0,00129;
ноябрь 2018;749;0,00143;
декабрь 2018;618;0,00108;
январь 2019;751;0,00140;
февраль 2019;781;0,00140;
март 2019;694;0,00137;
апрель 2019;654;0,00132;
май 2019;730;0,00163;
июнь 2019;633;0,00134;
июль 2019;602;0,00130;
август 2019;587;0,00120;
сентябрь 2019;593;0,00107;
октябрь 2019;630;0,00112;
ноябрь 2019;779;0,00133;
декабрь 2019;544;0,00089;
январь 2020;570;0,00098;
февраль 2020;593;0,00096;
март 2020;681;0,00083;
апрель 2020;782;0,00100;
май 2020;625;0,00105;
июнь 2020;634;0,00113;
июль 2020;566;0,00103;
август 2020;566;0,00096;
сентябрь 2020;598;0,00089;
октябрь 2020;575;0,00075;
ноябрь 2020;680;0,00099;
декабрь 2020;529;0,00076;
январь 2021;512;0,00078;
февраль 2021;683;0,00093;
март 2021;662;0,00089;
апрель 2021;638;0,00085;
май 2021;692;0,00100;
июнь 2021;670;0,00101;
июль 2021;739;0,00108;
август 2021;691;0,00094;
сентябрь 2021;834;0,00106;
октябрь 2021;951;0,00114;
ноябрь 2021;980;0,00117;
декабрь 2021;749;0,00088;
январь 2022;836;0,00101;
февраль 2022;1 933;0,00217;
март 2022;2 176;0,00252;
апрель 2022;2 068;0,00253;
май 2022;1 855;0,00254;
июнь 2022;1 676;0,00227;
июль 2022;1 336;0,00181;
август 2022;1 396;0,00170;
сентябрь 2022;1 257;0,00144;
октябрь 2022;1 362;0,00155;
ноябрь 2022;1 200;0,00136;
декабрь 2022;864;0,00097;
январь 2023;1 028;0,00126;
февраль 2023;1 501;0,00172;
март 2023;987;0,00124;
апрель 2023;891;0,00112;
май 2023;870;0,00119;
июнь 2023;901;0,00124;
июль 2023;935;0,00131;
август 2023;676;0,00090;
сентябрь 2023;817;0,00097;
октябрь 2023;937;0,00113;
ноябрь 2023;907;0,00109;
декабрь 2023;694;0,00081;
январь 2024;625;0,00078;
февраль 2024;779;0,00097;
март 2024;719;0,00095;
апрель 2024;772;0,00105;
май 2024;674;0,00102;
июнь 2024;624;0,00095;
июль 2024;600;0,00093;
август 2024;591;0,00086;
сентябрь 2024;515;0,00066;
октябрь 2024;512;0,00064;
ноябрь 2024;533;0,00064;
декабрь 2024;417;0,00050;
