Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;715;0,00138;
январь 2018;680;0,00135;
февраль 2018;682;0,00125;
март 2018;686;0,00140;
апрель 2018;979;0,00209;
май 2018;765;0,00175;
июнь 2018;736;0,00166;
июль 2018;798;0,00181;
август 2018;835;0,00164;
сентябрь 2018;964;0,00166;
октябрь 2018;919;0,00174;
ноябрь 2018;877;0,00163;
декабрь 2018;847;0,00153;
январь 2019;892;0,00170;
февраль 2019;1 011;0,00180;
март 2019;905;0,00178;
апрель 2019;822;0,00171;
май 2019;893;0,00201;
июнь 2019;805;0,00179;
июль 2019;697;0,00154;
август 2019;657;0,00136;
сентябрь 2019;718;0,00127;
октябрь 2019;633;0,00110;
ноябрь 2019;861;0,00141;
декабрь 2019;715;0,00111;
январь 2020;729;0,00117;
февраль 2020;791;0,00120;
март 2020;815;0,00096;
апрель 2020;816;0,00107;
май 2020;672;0,00107;
июнь 2020;639;0,00114;
июль 2020;739;0,00130;
август 2020;701;0,00110;
сентябрь 2020;674;0,00090;
октябрь 2020;823;0,00107;
ноябрь 2020;684;0,00091;
декабрь 2020;696;0,00097;
январь 2021;682;0,00099;
февраль 2021;812;0,00109;
март 2021;651;0,00088;
апрель 2021;647;0,00090;
май 2021;683;0,00099;
июнь 2021;636;0,00101;
июль 2021;619;0,00094;
август 2021;580;0,00079;
сентябрь 2021;702;0,00087;
октябрь 2021;713;0,00085;
ноябрь 2021;758;0,00089;
декабрь 2021;660;0,00077;
январь 2022;780;0,00094;
февраль 2022;2 068;0,00225;
март 2022;1 772;0,00209;
апрель 2022;1 891;0,00223;
май 2022;1 721;0,00229;
июнь 2022;1 584;0,00212;
июль 2022;1 417;0,00194;
август 2022;1 643;0,00198;
сентябрь 2022;1 466;0,00164;
октябрь 2022;1 410;0,00156;
ноябрь 2022;1 271;0,00140;
декабрь 2022;1 076;0,00119;
январь 2023;1 085;0,00131;
февраль 2023;1 222;0,00135;
март 2023;1 044;0,00128;
апрель 2023;869;0,00105;
май 2023;955;0,00126;
июнь 2023;982;0,00129;
июль 2023;945;0,00129;
август 2023;763;0,00096;
сентябрь 2023;771;0,00087;
октябрь 2023;622;0,00070;
ноябрь 2023;696;0,00078;
декабрь 2023;730;0,00081;
январь 2024;653;0,00078;
февраль 2024;845;0,00098;
март 2024;769;0,00094;
апрель 2024;796;0,00096;
май 2024;751;0,00103;
июнь 2024;695;0,00098;
июль 2024;755;0,00107;
август 2024;633;0,00088;
сентябрь 2024;580;0,00070;
октябрь 2024;646;0,00077;
ноябрь 2024;652;0,00075;
декабрь 2024;554;0,00064;
