Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;557;0,00102;
январь 2018;536;0,00101;
февраль 2018;632;0,00112;
март 2018;523;0,00100;
апрель 2018;555;0,00113;
май 2018;443;0,00099;
июнь 2018;637;0,00143;
июль 2018;624;0,00136;
август 2018;683;0,00127;
сентябрь 2018;696;0,00114;
октябрь 2018;612;0,00111;
ноябрь 2018;698;0,00128;
декабрь 2018;653;0,00116;
январь 2019;589;0,00109;
февраль 2019;763;0,00131;
март 2019;655;0,00121;
апрель 2019;619;0,00124;
май 2019;648;0,00144;
июнь 2019;567;0,00124;
июль 2019;650;0,00141;
август 2019;620;0,00125;
сентябрь 2019;637;0,00111;
октябрь 2019;625;0,00110;
ноябрь 2019;734;0,00125;
декабрь 2019;509;0,00085;
январь 2020;468;0,00080;
февраль 2020;612;0,00096;
март 2020;542;0,00064;
апрель 2020;486;0,00066;
май 2020;475;0,00083;
июнь 2020;370;0,00069;
июль 2020;472;0,00089;
август 2020;478;0,00080;
сентябрь 2020;539;0,00080;
октябрь 2020;714;0,00100;
ноябрь 2020;547;0,00081;
декабрь 2020;473;0,00072;
январь 2021;487;0,00077;
февраль 2021;605;0,00088;
март 2021;734;0,00100;
апрель 2021;765;0,00104;
май 2021;628;0,00094;
июнь 2021;521;0,00089;
июль 2021;591;0,00096;
август 2021;698;0,00094;
сентябрь 2021;694;0,00085;
октябрь 2021;799;0,00097;
ноябрь 2021;813;0,00096;
декабрь 2021;809;0,00095;
январь 2022;805;0,00096;
февраль 2022;1 841;0,00203;
март 2022;1 858;0,00215;
апрель 2022;1 986;0,00234;
май 2022;1 833;0,00248;
июнь 2022;1 402;0,00195;
июль 2022;1 305;0,00181;
август 2022;1 353;0,00164;
сентябрь 2022;1 424;0,00161;
октябрь 2022;1 096;0,00123;
ноябрь 2022;1 099;0,00123;
декабрь 2022;892;0,00101;
январь 2023;944;0,00115;
февраль 2023;1 228;0,00136;
март 2023;791;0,00094;
апрель 2023;867;0,00107;
май 2023;753;0,00102;
июнь 2023;751;0,00102;
июль 2023;891;0,00126;
август 2023;748;0,00097;
сентябрь 2023;792;0,00091;
октябрь 2023;770;0,00091;
ноябрь 2023;677;0,00079;
декабрь 2023;689;0,00079;
январь 2024;703;0,00086;
февраль 2024;892;0,00106;
март 2024;616;0,00077;
апрель 2024;688;0,00090;
май 2024;508;0,00076;
июнь 2024;632;0,00096;
июль 2024;660;0,00100;
август 2024;500;0,00070;
сентябрь 2024;572;0,00071;
октябрь 2024;668;0,00080;
ноябрь 2024;841;0,00098;
декабрь 2024;719;0,00084;
