Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;840;0,00148;
январь 2018;782;0,00138;
февраль 2018;1 088;0,00175;
март 2018;879;0,00158;
апрель 2018;947;0,00172;
май 2018;1 072;0,00203;
июнь 2018;976;0,00195;
июль 2018;981;0,00189;
август 2018;1 037;0,00179;
сентябрь 2018;959;0,00143;
октябрь 2018;860;0,00140;
ноябрь 2018;976;0,00166;
декабрь 2018;807;0,00151;
январь 2019;741;0,00149;
февраль 2019;844;0,00162;
март 2019;701;0,00141;
апрель 2019;708;0,00151;
май 2019;822;0,00195;
июнь 2019;726;0,00187;
июль 2019;570;0,00148;
август 2019;626;0,00143;
сентябрь 2019;749;0,00145;
октябрь 2019;658;0,00125;
ноябрь 2019;1 051;0,00194;
декабрь 2019;699;0,00126;
январь 2020;572;0,00107;
февраль 2020;679;0,00118;
март 2020;584;0,00079;
апрель 2020;673;0,00106;
май 2020;703;0,00126;
июнь 2020;558;0,00111;
июль 2020;640;0,00131;
август 2020;643;0,00120;
сентябрь 2020;587;0,00095;
октябрь 2020;726;0,00108;
ноябрь 2020;749;0,00117;
декабрь 2020;557;0,00088;
январь 2021;582;0,00098;
февраль 2021;612;0,00096;
март 2021;607;0,00094;
апрель 2021;664;0,00108;
май 2021;662;0,00113;
июнь 2021;672;0,00120;
июль 2021;588;0,00107;
август 2021;587;0,00100;
сентябрь 2021;646;0,00101;
октябрь 2021;693;0,00104;
ноябрь 2021;781;0,00113;
декабрь 2021;691;0,00100;
январь 2022;853;0,00127;
февраль 2022;2 155;0,00291;
март 2022;2 043;0,00285;
апрель 2022;1 939;0,00277;
май 2022;1 637;0,00256;
июнь 2022;1 605;0,00263;
июль 2022;1 359;0,00223;
август 2022;1 463;0,00213;
сентябрь 2022;1 510;0,00203;
октябрь 2022;1 762;0,00220;
ноябрь 2022;1 297;0,00169;
декабрь 2022;1 224;0,00159;
январь 2023;974;0,00136;
февраль 2023;1 647;0,00213;
март 2023;1 148;0,00155;
апрель 2023;1 073;0,00151;
май 2023;989;0,00156;
июнь 2023;990;0,00163;
июль 2023;855;0,00143;
август 2023;834;0,00128;
сентябрь 2023;956;0,00133;
октябрь 2023;911;0,00126;
ноябрь 2023;775;0,00105;
декабрь 2023;785;0,00107;
январь 2024;792;0,00114;
февраль 2024;932;0,00131;
март 2024;782;0,00116;
апрель 2024;832;0,00127;
май 2024;897;0,00152;
июнь 2024;741;0,00132;
июль 2024;765;0,00138;
август 2024;647;0,00109;
сентябрь 2024;673;0,00098;
октябрь 2024;659;0,00094;
ноябрь 2024;640;0,00086;
декабрь 2024;619;0,00085;
