Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;1 140;0,00168;
январь 2018;1 105;0,00164;
февраль 2018;1 267;0,00173;
март 2018;1 163;0,00186;
апрель 2018;1 225;0,00194;
май 2018;1 278;0,00218;
июнь 2018;1 296;0,00213;
июль 2018;1 348;0,00229;
август 2018;1 194;0,00177;
сентябрь 2018;1 297;0,00167;
октябрь 2018;1 110;0,00156;
ноябрь 2018;1 427;0,00199;
декабрь 2018;1 212;0,00166;
январь 2019;1 316;0,00189;
февраль 2019;1 329;0,00181;
март 2019;1 385;0,00208;
апрель 2019;1 215;0,00187;
май 2019;1 408;0,00241;
июнь 2019;1 128;0,00187;
июль 2019;1 275;0,00216;
август 2019;1 066;0,00168;
сентябрь 2019;1 093;0,00152;
октябрь 2019;1 034;0,00141;
ноябрь 2019;1 371;0,00178;
декабрь 2019;919;0,00116;
январь 2020;907;0,00120;
февраль 2020;1 270;0,00159;
март 2020;1 266;0,00118;
апрель 2020;1 613;0,00156;
май 2020;1 309;0,00174;
июнь 2020;1 154;0,00166;
июль 2020;1 200;0,00175;
август 2020;1 049;0,00138;
сентябрь 2020;1 110;0,00128;
октябрь 2020;1 107;0,00119;
ноябрь 2020;1 380;0,00152;
декабрь 2020;1 172;0,00133;
январь 2021;1 137;0,00129;
февраль 2021;1 407;0,00142;
март 2021;1 380;0,00140;
апрель 2021;1 374;0,00140;
май 2021;1 215;0,00130;
июнь 2021;1 630;0,00188;
июль 2021;1 615;0,00183;
август 2021;1 389;0,00143;
сентябрь 2021;1 740;0,00166;
октябрь 2021;1 848;0,00166;
ноябрь 2021;1 904;0,00168;
декабрь 2021;1 111;0,00099;
январь 2022;1 441;0,00132;
февраль 2022;3 876;0,00322;
март 2022;3 536;0,00316;
апрель 2022;3 372;0,00300;
май 2022;2 773;0,00280;
июнь 2022;2 706;0,00280;
июль 2022;2 581;0,00267;
август 2022;2 639;0,00244;
сентябрь 2022;2 642;0,00223;
октябрь 2022;2 149;0,00164;
ноябрь 2022;2 334;0,00176;
декабрь 2022;1 743;0,00138;
январь 2023;1 817;0,00153;
февраль 2023;3 507;0,00273;
март 2023;2 083;0,00172;
апрель 2023;1 955;0,00166;
май 2023;2 051;0,00212;
июнь 2023;1 683;0,00177;
июль 2023;1 879;0,00200;
август 2023;1 367;0,00134;
сентябрь 2023;1 509;0,00130;
октябрь 2023;1 483;0,00130;
ноябрь 2023;1 648;0,00141;
декабрь 2023;1 290;0,00111;
январь 2024;1 389;0,00121;
февраль 2024;1 404;0,00130;
март 2024;1 410;0,00135;
апрель 2024;1 360;0,00133;
май 2024;1 104;0,00128;
июнь 2024;1 126;0,00135;
июль 2024;1 084;0,00130;
август 2024;1 106;0,00119;
сентябрь 2024;834;0,00079;
октябрь 2024;816;0,00074;
ноябрь 2024;920;0,00079;
декабрь 2024;802;0,00071;
