Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;1 252;0,0016;
январь 2018;1 246;0,0016;
февраль 2018;1 138;0,0014;
март 2018;1 186;0,0016;
апрель 2018;1 357;0,0018;
май 2018;1 298;0,0020;
июнь 2018;1 209;0,0019;
июль 2018;1 347;0,0019;
август 2018;1 238;0,0016;
сентябрь 2018;1 387;0,0015;
октябрь 2018;1 294;0,0016;
ноябрь 2018;1 712;0,0021;
декабрь 2018;1 364;0,0016;
январь 2019;1 363;0,0016;
февраль 2019;1 490;0,0017;
март 2019;1 530;0,0019;
апрель 2019;1 366;0,0018;
май 2019;1 534;0,0022;
июнь 2019;1 290;0,0020;
июль 2019;1 282;0,0018;
август 2019;1 365;0,0017;
сентябрь 2019;1 457;0,0016;
октябрь 2019;1 512;0,0016;
ноябрь 2019;1 651;0,0018;
декабрь 2019;1 260;0,0013;
январь 2020;1 239;0,0013;
февраль 2020;1 606;0,0016;
март 2020;1 534;0,0012;
апрель 2020;1 489;0,0013;
май 2020;1 521;0,0016;
июнь 2020;1 693;0,0020;
июль 2020;1 493;0,0018;
август 2020;1 435;0,0015;
сентябрь 2020;1 528;0,0014;
октябрь 2020;1 817;0,0016;
ноябрь 2020;1 963;0,0017;
декабрь 2020;1 431;0,0013;
январь 2021;1 592;0,0015;
февраль 2021;1 721;0,0015;
март 2021;1 758;0,0016;
апрель 2021;1 556;0,0015;
май 2021;1 392;0,0013;
июнь 2021;1 561;0,0016;
июль 2021;1 562;0,0016;
август 2021;1 428;0,0013;
сентябрь 2021;1 700;0,0014;
октябрь 2021;2 214;0,0018;
ноябрь 2021;2 395;0,0019;
декабрь 2021;1 673;0,0013;
январь 2022;1 941;0,0015;
февраль 2022;4 979;0,0038;
март 2022;4 513;0,0037;
апрель 2022;4 106;0,0035;
май 2022;4 751;0,0044;
июнь 2022;4 946;0,0048;
июль 2022;3 363;0,0033;
август 2022;3 613;0,0032;
сентябрь 2022;4 240;0,0034;
октябрь 2022;3 490;0,0027;
ноябрь 2022;3 116;0,0023;
декабрь 2022;2 533;0,0020;
январь 2023;2 542;0,0021;
февраль 2023;4 323;0,0033;
март 2023;2 837;0,0023;
апрель 2023;2 257;0,0019;
май 2023;2 229;0,0021;
июнь 2023;2 087;0,0021;
июль 2023;2 518;0,0024;
август 2023;2 129;0,0019;
сентябрь 2023;2 399;0,0019;
октябрь 2023;2 334;0,0019;
ноябрь 2023;2 319;0,0018;
декабрь 2023;1 941;0,0015;
январь 2024;1 851;0,0016;
февраль 2024;2 069;0,0017;
март 2024;1 915;0,0017;
апрель 2024;1 752;0,0016;
май 2024;1 655;0,0017;
июнь 2024;1 429;0,0015;
июль 2024;1 634;0,0018;
август 2024;1 775;0,0018;
сентябрь 2024;1 563;0,0013;
октябрь 2024;1 354;0,0011;
ноябрь 2024;1 532;0,0012;
декабрь 2024;1 273;0,0010;
