Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;455;0,00152;
январь 2018;356;0,00122;
февраль 2018;448;0,00144;
март 2018;411;0,00147;
апрель 2018;481;0,00189;
май 2018;310;0,00128;
июнь 2018;280;0,00118;
июль 2018;383;0,00161;
август 2018;510;0,00180;
сентябрь 2018;322;0,00097;
октябрь 2018;430;0,00143;
ноябрь 2018;363;0,00118;
декабрь 2018;315;0,00101;
январь 2019;296;0,00101;
февраль 2019;373;0,00120;
март 2019;295;0,00105;
апрель 2019;289;0,00108;
май 2019;356;0,00148;
июнь 2019;297;0,00125;
июль 2019;233;0,00098;
август 2019;278;0,00103;
сентябрь 2019;251;0,00081;
октябрь 2019;254;0,00080;
ноябрь 2019;330;0,00095;
декабрь 2019;211;0,00060;
январь 2020;325;0,00094;
февраль 2020;242;0,00067;
март 2020;238;0,00048;
апрель 2020;235;0,00056;
май 2020;315;0,00091;
июнь 2020;270;0,00090;
июль 2020;246;0,00082;
август 2020;230;0,00064;
сентябрь 2020;228;0,00055;
октябрь 2020;307;0,00070;
ноябрь 2020;334;0,00077;
декабрь 2020;241;0,00059;
январь 2021;293;0,00074;
февраль 2021;282;0,00067;
март 2021;260;0,00062;
апрель 2021;345;0,00084;
май 2021;351;0,00094;
июнь 2021;305;0,00092;
июль 2021;564;0,00163;
август 2021;461;0,00113;
сентябрь 2021;498;0,00112;
октябрь 2021;492;0,00104;
ноябрь 2021;502;0,00103;
декабрь 2021;541;0,00116;
январь 2022;439;0,00096;
февраль 2022;1 262;0,00250;
март 2022;1 638;0,00345;
апрель 2022;1 038;0,00219;
май 2022;986;0,00243;
июнь 2022;830;0,00213;
июль 2022;811;0,00212;
август 2022;758;0,00166;
сентябрь 2022;759;0,00155;
октябрь 2022;633;0,00126;
ноябрь 2022;493;0,00096;
декабрь 2022;489;0,00097;
январь 2023;580;0,00128;
февраль 2023;625;0,00126;
март 2023;554;0,00123;
апрель 2023;424;0,00093;
май 2023;471;0,00117;
июнь 2023;427;0,00109;
июль 2023;466;0,00125;
август 2023;342;0,00082;
сентябрь 2023;337;0,00070;
октябрь 2023;309;0,00065;
ноябрь 2023;355;0,00073;
декабрь 2023;355;0,00075;
январь 2024;345;0,00079;
февраль 2024;459;0,00102;
март 2024;370;0,00089;
апрель 2024;323;0,00077;
май 2024;289;0,00082;
июнь 2024;271;0,00078;
июль 2024;254;0,00073;
август 2024;192;0,00051;
сентябрь 2024;241;0,00055;
октябрь 2024;295;0,00065;
ноябрь 2024;347;0,00073;
декабрь 2024;307;0,00066;
