Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;830;0,0017;
январь 2018;909;0,0019;
февраль 2018;893;0,0017;
март 2018;895;0,0019;
апрель 2018;916;0,0020;
май 2018;946;0,0022;
июнь 2018;868;0,0019;
июль 2018;1 068;0,0024;
август 2018;1 014;0,0020;
сентябрь 2018;1 045;0,0018;
октябрь 2018;1 023;0,0020;
ноябрь 2018;1 165;0,0022;
декабрь 2018;815;0,0015;
январь 2019;912;0,0018;
февраль 2019;1 108;0,0020;
март 2019;1 129;0,0022;
апрель 2019;954;0,0020;
май 2019;1 140;0,0025;
июнь 2019;1 143;0,0025;
июль 2019;942;0,0020;
август 2019;891;0,0018;
сентябрь 2019;1 030;0,0019;
октябрь 2019;1 060;0,0019;
ноябрь 2019;1 340;0,0023;
декабрь 2019;878;0,0015;
январь 2020;961;0,0017;
февраль 2020;1 109;0,0018;
март 2020;993;0,0012;
апрель 2020;1 231;0,0017;
май 2020;1 028;0,0017;
июнь 2020;1 132;0,0020;
июль 2020;934;0,0017;
август 2020;979;0,0016;
сентябрь 2020;926;0,0013;
октябрь 2020;1 019;0,0014;
ноябрь 2020;1 123;0,0016;
декабрь 2020;850;0,0012;
январь 2021;873;0,0013;
февраль 2021;1 110;0,0015;
март 2021;1 320;0,0018;
апрель 2021;1 171;0,0016;
май 2021;1 181;0,0017;
июнь 2021;1 183;0,0017;
июль 2021;1 203;0,0017;
август 2021;1 224;0,0016;
сентябрь 2021;1 331;0,0016;
октябрь 2021;1 551;0,0019;
ноябрь 2021;1 737;0,0021;
декабрь 2021;1 484;0,0018;
январь 2022;1 827;0,0023;
февраль 2022;4 287;0,0048;
март 2022;3 770;0,0043;
апрель 2022;3 718;0,0045;
май 2022;3 577;0,0047;
июнь 2022;3 138;0,0041;
июль 2022;2 968;0,0038;
август 2022;2 873;0,0034;
сентябрь 2022;2 891;0,0032;
октябрь 2022;2 512;0,0028;
ноябрь 2022;2 449;0,0028;
декабрь 2022;2 149;0,0024;
январь 2023;2 109;0,0026;
февраль 2023;2 570;0,0029;
март 2023;1 730;0,0021;
апрель 2023;1 701;0,0021;
май 2023;1 487;0,0019;
июнь 2023;1 625;0,0021;
июль 2023;1 656;0,0022;
август 2023;1 492;0,0019;
сентябрь 2023;1 444;0,0017;
октябрь 2023;1 435;0,0017;
ноябрь 2023;1 173;0,0014;
декабрь 2023;1 174;0,0014;
январь 2024;1 172;0,0015;
февраль 2024;1 265;0,0015;
март 2024;1 342;0,0017;
апрель 2024;1 366;0,0018;
май 2024;1 262;0,0018;
июнь 2024;1 247;0,0018;
июль 2024;1 182;0,0017;
август 2024;1 050;0,0015;
сентябрь 2024;1 010;0,0013;
октябрь 2024;3 508;0,0042;
ноябрь 2024;5 018;0,0058;
декабрь 2024;5 429;0,0061;
