Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;75;0,00115;
январь 2018;53;0,00083;
февраль 2018;89;0,00128;
март 2018;88;0,00143;
апрель 2018;67;0,00110;
май 2018;80;0,00135;
июнь 2018;139;0,00226;
июль 2018;114;0,00199;
август 2018;85;0,00141;
сентябрь 2018;145;0,00204;
октябрь 2018;60;0,00089;
ноябрь 2018;105;0,00152;
декабрь 2018;86;0,00119;
январь 2019;108;0,00160;
февраль 2019;63;0,00088;
март 2019;109;0,00162;
апрель 2019;104;0,00158;
май 2019;116;0,00190;
июнь 2019;117;0,00192;
июль 2019;122;0,00203;
август 2019;58;0,00093;
сентябрь 2019;73;0,00107;
октябрь 2019;74;0,00105;
ноябрь 2019;90;0,00120;
декабрь 2019;91;0,00115;
январь 2020;63;0,00084;
февраль 2020;111;0,00137;
март 2020;171;0,00153;
апрель 2020;96;0,00090;
май 2020;119;0,00138;
июнь 2020;170;0,00218;
июль 2020;125;0,00163;
август 2020;127;0,00151;
сентябрь 2020;107;0,00110;
октябрь 2020;171;0,00167;
ноябрь 2020;178;0,00180;
декабрь 2020;110;0,00113;
январь 2021;70;0,00080;
февраль 2021;138;0,00143;
март 2021;105;0,00109;
апрель 2021;115;0,00117;
май 2021;193;0,00203;
июнь 2021;180;0,00205;
июль 2021;152;0,00172;
август 2021;157;0,00162;
сентябрь 2021;155;0,00147;
октябрь 2021;114;0,00102;
ноябрь 2021;100;0,00083;
декабрь 2021;162;0,00133;
январь 2022;87;0,00072;
февраль 2022;253;0,00208;
март 2022;281;0,00246;
апрель 2022;303;0,00263;
май 2022;317;0,00307;
июнь 2022;402;0,00386;
июль 2022;278;0,00270;
август 2022;251;0,00229;
сентябрь 2022;230;0,00194;
октябрь 2022;172;0,00141;
ноябрь 2022;154;0,00115;
декабрь 2022;122;0,00100;
январь 2023;122;0,00110;
февраль 2023;183;0,00154;
март 2023;115;0,00101;
апрель 2023;102;0,00089;
май 2023;147;0,00145;
июнь 2023;309;0,00301;
июль 2023;155;0,00152;
август 2023;103;0,00098;
сентябрь 2023;119;0,00103;
октябрь 2023;141;0,00121;
ноябрь 2023;137;0,00116;
декабрь 2023;92;0,00076;
январь 2024;130;0,00117;
февраль 2024;119;0,00105;
март 2024;109;0,00104;
апрель 2024;84;0,00079;
май 2024;127;0,00138;
июнь 2024;136;0,00144;
июль 2024;139;0,00151;
август 2024;82;0,00085;
сентябрь 2024;85;0,00079;
октябрь 2024;88;0,00078;
ноябрь 2024;77;0,00065;
декабрь 2024;61;0,00051;
