Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;3 373;0,00141;
январь 2018;3 408;0,00142;
февраль 2018;3 651;0,00151;
март 2018;3 235;0,00153;
апрель 2018;3 178;0,00161;
май 2018;3 068;0,00171;
июнь 2018;3 121;0,00177;
июль 2018;3 768;0,00199;
август 2018;3 763;0,00172;
сентябрь 2018;4 152;0,00158;
октябрь 2018;3 457;0,00154;
ноябрь 2018;3 830;0,00166;
декабрь 2018;3 849;0,00150;
январь 2019;4 259;0,00177;
февраль 2019;4 396;0,00171;
март 2019;4 369;0,00182;
апрель 2019;4 124;0,00180;
май 2019;4 645;0,00227;
июнь 2019;3 941;0,00191;
июль 2019;3 773;0,00187;
август 2019;3 428;0,00160;
сентябрь 2019;3 825;0,00156;
октябрь 2019;3 540;0,00139;
ноябрь 2019;4 681;0,00173;
декабрь 2019;3 460;0,00129;
январь 2020;3 608;0,00140;
февраль 2020;4 129;0,00153;
март 2020;3 441;0,00101;
апрель 2020;3 337;0,00115;
май 2020;3 786;0,00153;
июнь 2020;4 292;0,00165;
июль 2020;4 150;0,00161;
август 2020;3 604;0,00133;
сентябрь 2020;3 572;0,00122;
октябрь 2020;3 945;0,00120;
ноябрь 2020;4 114;0,00129;
декабрь 2020;3 246;0,00114;
январь 2021;3 218;0,00120;
февраль 2021;3 788;0,00128;
март 2021;3 831;0,00132;
апрель 2021;3 873;0,00140;
май 2021;3 588;0,00134;
июнь 2021;3 952;0,00145;
июль 2021;3 377;0,00126;
август 2021;3 216;0,00112;
сентябрь 2021;3 551;0,00115;
октябрь 2021;3 749;0,00122;
ноябрь 2021;4 062;0,00130;
декабрь 2021;3 413;0,00110;
январь 2022;3 867;0,00126;
февраль 2022;8 659;0,00262;
март 2022;8 376;0,00264;
апрель 2022;9 375;0,00288;
май 2022;8 467;0,00294;
июнь 2022;7 661;0,00269;
июль 2022;6 883;0,00237;
август 2022;7 538;0,00233;
сентябрь 2022;7 987;0,00230;
октябрь 2022;6 735;0,00194;
ноябрь 2022;5 671;0,00165;
декабрь 2022;4 682;0,00137;
январь 2023;4 733;0,00149;
февраль 2023;6 479;0,00188;
март 2023;4 795;0,00152;
апрель 2023;4 273;0,00138;
май 2023;4 012;0,00146;
июнь 2023;4 172;0,00151;
июль 2023;4 209;0,00158;
август 2023;3 693;0,00130;
сентябрь 2023;3 993;0,00125;
октябрь 2023;3 669;0,00119;
ноябрь 2023;3 386;0,00109;
декабрь 2023;3 134;0,00098;
январь 2024;3 466;0,00117;
февраль 2024;3 720;0,00124;
март 2024;3 182;0,00113;
апрель 2024;2 773;0,00102;
май 2024;2 830;0,00122;
июнь 2024;2 741;0,00118;
июль 2024;2 889;0,00123;
август 2024;2 770;0,00109;
сентябрь 2024;2 557;0,00088;
октябрь 2024;2 487;0,00083;
ноябрь 2024;2 986;0,00097;
декабрь 2024;2 804;0,00093;
