Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;1 414;0,00149;
январь 2018;2 125;0,00227;
февраль 2018;1 690;0,00163;
март 2018;1 356;0,00153;
апрель 2018;1 587;0,00181;
май 2018;1 576;0,00193;
июнь 2018;1 737;0,00206;
июль 2018;1 862;0,00228;
август 2018;1 744;0,00187;
сентябрь 2018;1 776;0,00164;
октябрь 2018;1 874;0,00190;
ноябрь 2018;1 967;0,00199;
декабрь 2018;2 509;0,00247;
январь 2019;2 046;0,00205;
февраль 2019;2 227;0,00219;
март 2019;1 956;0,00210;
апрель 2019;1 931;0,00220;
май 2019;2 225;0,00274;
июнь 2019;1 981;0,00237;
июль 2019;1 981;0,00237;
август 2019;1 623;0,00181;
сентябрь 2019;1 981;0,00198;
октябрь 2019;1 799;0,00177;
ноябрь 2019;1 970;0,00183;
декабрь 2019;1 759;0,00159;
январь 2020;2 138;0,00200;
февраль 2020;2 140;0,00189;
март 2020;2 296;0,00155;
апрель 2020;2 759;0,00214;
май 2020;2 594;0,00239;
июнь 2020;2 225;0,00224;
июль 2020;2 072;0,00207;
август 2020;1 969;0,00178;
сентябрь 2020;1 985;0,00154;
октябрь 2020;2 191;0,00157;
ноябрь 2020;2 565;0,00192;
декабрь 2020;1 975;0,00153;
январь 2021;2 025;0,00161;
февраль 2021;2 272;0,00161;
март 2021;2 201;0,00168;
апрель 2021;2 099;0,00160;
май 2021;1 968;0,00154;
июнь 2021;1 938;0,00168;
июль 2021;1 930;0,00167;
август 2021;1 789;0,00136;
сентябрь 2021;2 257;0,00157;
октябрь 2021;2 150;0,00144;
ноябрь 2021;2 258;0,00146;
декабрь 2021;1 965;0,00127;
январь 2022;2 366;0,00156;
февраль 2022;5 632;0,00333;
март 2022;4 938;0,00325;
апрель 2022;4 947;0,00323;
май 2022;4 863;0,00353;
июнь 2022;4 101;0,00298;
июль 2022;3 983;0,00287;
август 2022;4 028;0,00265;
сентябрь 2022;3 951;0,00241;
октябрь 2022;3 456;0,00207;
ноябрь 2022;3 405;0,00203;
декабрь 2022;2 887;0,00175;
январь 2023;2 817;0,00185;
февраль 2023;4 190;0,00254;
март 2023;2 914;0,00191;
апрель 2023;2 679;0,00174;
май 2023;2 307;0,00166;
июнь 2023;2 646;0,00194;
июль 2023;2 711;0,00199;
август 2023;2 092;0,00148;
сентябрь 2023;2 542;0,00159;
октябрь 2023;2 366;0,00146;
ноябрь 2023;2 187;0,00133;
декабрь 2023;2 073;0,00128;
январь 2024;2 079;0,00136;
февраль 2024;2 308;0,00144;
март 2024;1 692;0,00119;
апрель 2024;1 733;0,00122;
май 2024;1 763;0,00139;
июнь 2024;1 879;0,00149;
июль 2024;1 780;0,00142;
август 2024;1 751;0,00133;
сентябрь 2024;1 830;0,00120;
октябрь 2024;1 651;0,00104;
ноябрь 2024;1 565;0,00095;
декабрь 2024;1 475;0,00090;
