Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;1 802;0,00113;
январь 2018;2 014;0,00131;
февраль 2018;2 139;0,00127;
март 2018;2 087;0,00135;
апрель 2018;2 253;0,00152;
май 2018;2 191;0,00162;
июнь 2018;2 130;0,00167;
июль 2018;2 601;0,00191;
август 2018;2 238;0,00146;
сентябрь 2018;2 482;0,00137;
октябрь 2018;2 417;0,00143;
ноябрь 2018;2 586;0,00155;
декабрь 2018;2 636;0,00155;
январь 2019;2 739;0,00165;
февраль 2019;3 210;0,00186;
март 2019;3 088;0,00190;
апрель 2019;2 821;0,00183;
май 2019;3 377;0,00244;
июнь 2019;2 928;0,00213;
июль 2019;3 035;0,00212;
август 2019;2 917;0,00187;
сентябрь 2019;3 329;0,00184;
октябрь 2019;2 987;0,00162;
ноябрь 2019;3 584;0,00190;
декабрь 2019;2 974;0,00155;
январь 2020;3 171;0,00172;
февраль 2020;2 991;0,00151;
март 2020;2 404;0,00089;
апрель 2020;2 873;0,00127;
май 2020;2 782;0,00155;
июнь 2020;2 676;0,00161;
июль 2020;2 351;0,00137;
август 2020;2 542;0,00128;
сентябрь 2020;2 657;0,00119;
октябрь 2020;2 779;0,00109;
ноябрь 2020;2 841;0,00120;
декабрь 2020;2 561;0,00117;
январь 2021;2 690;0,00125;
февраль 2021;3 618;0,00152;
март 2021;3 645;0,00160;
апрель 2021;2 825;0,00136;
май 2021;2 886;0,00142;
июнь 2021;2 778;0,00137;
июль 2021;3 052;0,00146;
август 2021;3 059;0,00135;
сентябрь 2021;2 806;0,00113;
октябрь 2021;3 138;0,00125;
ноябрь 2021;3 133;0,00120;
декабрь 2021;2 936;0,00117;
январь 2022;3 231;0,00128;
февраль 2022;7 713;0,00279;
март 2022;6 908;0,00268;
апрель 2022;6 986;0,00277;
май 2022;6 790;0,00301;
июнь 2022;5 997;0,00288;
июль 2022;5 755;0,00271;
август 2022;6 038;0,00246;
сентябрь 2022;6 760;0,00255;
октябрь 2022;4 693;0,00172;
ноябрь 2022;4 146;0,00149;
декабрь 2022;3 697;0,00137;
январь 2023;4 151;0,00165;
февраль 2023;5 967;0,00217;
март 2023;4 031;0,00162;
апрель 2023;3 896;0,00160;
май 2023;3 691;0,00168;
июнь 2023;3 609;0,00169;
июль 2023;3 732;0,00176;
август 2023;3 087;0,00131;
сентябрь 2023;3 312;0,00125;
октябрь 2023;3 195;0,00122;
ноябрь 2023;3 036;0,00113;
декабрь 2023;2 508;0,00095;
январь 2024;2 619;0,00107;
февраль 2024;3 349;0,00133;
март 2024;2 716;0,00118;
апрель 2024;2 762;0,00121;
май 2024;2 510;0,00129;
июнь 2024;2 296;0,00117;
июль 2024;2 507;0,00127;
август 2024;2 270;0,00108;
сентябрь 2024;2 092;0,00086;
октябрь 2024;2 091;0,00082;
ноябрь 2024;2 461;0,00094;
декабрь 2024;2 037;0,00080;
