Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Рязанская область, все устройства
декабрь 2017;566;0,00112;
январь 2018;599;0,00119;
февраль 2018;731;0,00134;
март 2018;670;0,00138;
апрель 2018;597;0,00127;
май 2018;641;0,00145;
июнь 2018;641;0,00144;
июль 2018;817;0,00183;
август 2018;739;0,00143;
сентябрь 2018;862;0,00144;
октябрь 2018;686;0,00125;
ноябрь 2018;746;0,00138;
декабрь 2018;653;0,00117;
январь 2019;705;0,00132;
февраль 2019;787;0,00137;
март 2019;744;0,00141;
апрель 2019;829;0,00168;
май 2019;828;0,00182;
июнь 2019;708;0,00152;
июль 2019;645;0,00136;
август 2019;683;0,00134;
сентябрь 2019;718;0,00124;
октябрь 2019;891;0,00153;
ноябрь 2019;1 097;0,00180;
декабрь 2019;639;0,00102;
январь 2020;610;0,00100;
февраль 2020;733;0,00109;
март 2020;859;0,00097;
апрель 2020;880;0,00111;
май 2020;697;0,00112;
июнь 2020;705;0,00122;
июль 2020;721;0,00125;
август 2020;740;0,00115;
сентябрь 2020;690;0,00094;
октябрь 2020;812;0,00105;
ноябрь 2020;770;0,00102;
декабрь 2020;712;0,00096;
январь 2021;923;0,00127;
февраль 2021;983;0,00121;
март 2021;1 068;0,00127;
апрель 2021;1 083;0,00131;
май 2021;889;0,00116;
июнь 2021;933;0,00135;
июль 2021;1 006;0,00140;
август 2021;963;0,00117;
сентябрь 2021;1 031;0,00122;
октябрь 2021;879;0,00101;
ноябрь 2021;1 176;0,00135;
декабрь 2021;965;0,00110;
январь 2022;1 300;0,00146;
февраль 2022;2 907;0,00305;
март 2022;2 445;0,00271;
апрель 2022;2 446;0,00281;
май 2022;2 025;0,00259;
июнь 2022;1 909;0,00248;
июль 2022;1 817;0,00234;
август 2022;1 888;0,00220;
сентябрь 2022;2 012;0,00220;
октябрь 2022;1 754;0,00189;
ноябрь 2022;1 455;0,00159;
декабрь 2022;1 311;0,00143;
январь 2023;1 366;0,00163;
февраль 2023;1 512;0,00164;
март 2023;1 142;0,00136;
апрель 2023;1 254;0,00149;
май 2023;1 214;0,00150;
июнь 2023;1 314;0,00164;
июль 2023;1 175;0,00153;
август 2023;957;0,00118;
сентябрь 2023;1 026;0,00113;
октябрь 2023;948;0,00105;
ноябрь 2023;1 044;0,00113;
декабрь 2023;894;0,00096;
январь 2024;879;0,00100;
февраль 2024;996;0,00110;
март 2024;991;0,00121;
апрель 2024;880;0,00109;
май 2024;873;0,00122;
июнь 2024;1 014;0,00137;
июль 2024;3 017;0,00403;
август 2024;3 151;0,00405;
сентябрь 2024;3 829;0,00440;
октябрь 2024;4 918;0,00539;
ноябрь 2024;5 148;0,00551;
декабрь 2024;4 063;0,00428;
