Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;1 094;0,0015;
январь 2018;1 168;0,0016;
февраль 2018;1 250;0,0016;
март 2018;1 244;0,0018;
апрель 2018;1 094;0,0017;
май 2018;1 236;0,0021;
июнь 2018;1 145;0,0020;
июль 2018;1 326;0,0022;
август 2018;1 328;0,0019;
сентябрь 2018;1 349;0,0017;
октябрь 2018;1 265;0,0017;
ноябрь 2018;1 625;0,0022;
декабрь 2018;1 433;0,0019;
январь 2019;1 509;0,0020;
февраль 2019;1 583;0,0020;
март 2019;1 350;0,0019;
апрель 2019;1 458;0,0022;
май 2019;1 629;0,0027;
июнь 2019;1 415;0,0024;
июль 2019;1 340;0,0022;
август 2019;1 343;0,0020;
сентябрь 2019;1 431;0,0019;
октябрь 2019;1 444;0,0018;
ноябрь 2019;1 917;0,0023;
декабрь 2019;1 464;0,0017;
январь 2020;1 557;0,0018;
февраль 2020;1 676;0,0018;
март 2020;1 722;0,0014;
апрель 2020;1 597;0,0015;
май 2020;1 604;0,0019;
июнь 2020;1 690;0,0022;
июль 2020;1 546;0,0020;
август 2020;1 485;0,0016;
сентябрь 2020;1 595;0,0015;
октябрь 2020;1 821;0,0014;
ноябрь 2020;1 905;0,0017;
декабрь 2020;1 456;0,0014;
январь 2021;1 542;0,0015;
февраль 2021;1 647;0,0016;
март 2021;1 641;0,0015;
апрель 2021;1 624;0,0016;
май 2021;1 564;0,0016;
июнь 2021;1 575;0,0018;
июль 2021;1 494;0,0017;
август 2021;1 476;0,0014;
сентябрь 2021;1 520;0,0012;
октябрь 2021;1 528;0,0012;
ноябрь 2021;1 880;0,0015;
декабрь 2021;1 496;0,0012;
январь 2022;1 741;0,0014;
февраль 2022;3 889;0,0030;
март 2022;3 211;0,0026;
апрель 2022;3 455;0,0028;
май 2022;3 887;0,0036;
июнь 2022;3 697;0,0037;
июль 2022;2 994;0,0030;
август 2022;2 704;0,0023;
сентябрь 2022;3 217;0,0025;
октябрь 2022;2 702;0,0021;
ноябрь 2022;2 508;0,0019;
декабрь 2022;2 390;0,0018;
январь 2023;2 312;0,0019;
февраль 2023;2 657;0,0020;
март 2023;2 216;0,0018;
апрель 2023;1 802;0,0015;
май 2023;1 781;0,0017;
июнь 2023;1 661;0,0016;
июль 2023;1 828;0,0018;
август 2023;1 717;0,0015;
сентябрь 2023;1 874;0,0015;
октябрь 2023;1 835;0,0014;
ноябрь 2023;1 742;0,0013;
декабрь 2023;1 766;0,0013;
январь 2024;1 687;0,0014;
февраль 2024;1 706;0,0014;
март 2024;1 632;0,0014;
апрель 2024;1 493;0,0013;
май 2024;1 559;0,0017;
июнь 2024;1 522;0,0016;
июль 2024;1 553;0,0017;
август 2024;1 500;0,0015;
сентябрь 2024;1 442;0,0012;
октябрь 2024;1 337;0,0011;
ноябрь 2024;1 516;0,0012;
декабрь 2024;1 317;0,0011;
