Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;2 031;0,00131;
январь 2018;1 913;0,00126;
февраль 2018;2 143;0,00131;
март 2018;1 976;0,00131;
апрель 2018;2 141;0,00145;
май 2018;2 055;0,00153;
июнь 2018;2 377;0,00185;
июль 2018;2 222;0,00162;
август 2018;2 130;0,00138;
сентябрь 2018;2 438;0,00135;
октябрь 2018;2 188;0,00134;
ноябрь 2018;2 358;0,00145;
декабрь 2018;2 278;0,00138;
январь 2019;2 591;0,00158;
февраль 2019;2 601;0,00157;
март 2019;2 787;0,00174;
апрель 2019;2 481;0,00167;
май 2019;2 780;0,00207;
июнь 2019;2 336;0,00181;
июль 2019;2 288;0,00168;
август 2019;2 248;0,00148;
сентябрь 2019;2 403;0,00139;
октябрь 2019;2 369;0,00133;
ноябрь 2019;2 765;0,00150;
декабрь 2019;2 263;0,00121;
январь 2020;2 242;0,00124;
февраль 2020;2 567;0,00134;
март 2020;2 578;0,00107;
апрель 2020;2 433;0,00119;
май 2020;2 381;0,00136;
июнь 2020;2 135;0,00136;
июль 2020;2 033;0,00127;
август 2020;1 958;0,00107;
сентябрь 2020;2 267;0,00109;
октябрь 2020;2 252;0,00103;
ноябрь 2020;2 697;0,00120;
декабрь 2020;2 210;0,00098;
январь 2021;2 135;0,00095;
февраль 2021;2 869;0,00115;
март 2021;2 572;0,00112;
апрель 2021;2 214;0,00111;
май 2021;2 006;0,00103;
июнь 2021;2 090;0,00111;
июль 2021;2 018;0,00109;
август 2021;2 115;0,00102;
сентябрь 2021;1 954;0,00086;
октябрь 2021;2 126;0,00088;
ноябрь 2021;2 475;0,00103;
декабрь 2021;2 267;0,00095;
январь 2022;2 513;0,00106;
февраль 2022;7 279;0,00283;
март 2022;6 327;0,00262;
апрель 2022;6 080;0,00262;
май 2022;6 193;0,00296;
июнь 2022;5 656;0,00289;
июль 2022;5 281;0,00263;
август 2022;4 826;0,00214;
сентябрь 2022;5 815;0,00237;
октябрь 2022;4 391;0,00176;
ноябрь 2022;4 070;0,00159;
декабрь 2022;3 256;0,00129;
январь 2023;3 160;0,00135;
февраль 2023;4 541;0,00180;
март 2023;3 276;0,00140;
апрель 2023;2 788;0,00124;
май 2023;2 847;0,00137;
июнь 2023;2 876;0,00144;
июль 2023;3 077;0,00149;
август 2023;2 767;0,00121;
сентябрь 2023;2 697;0,00109;
октябрь 2023;2 735;0,00113;
ноябрь 2023;2 507;0,00099;
декабрь 2023;2 580;0,00103;
январь 2024;2 559;0,00108;
февраль 2024;3 157;0,00132;
март 2024;2 451;0,00111;
апрель 2024;2 403;0,00111;
май 2024;2 487;0,00133;
июнь 2024;2 251;0,00122;
июль 2024;2 477;0,00133;
август 2024;2 340;0,00119;
сентябрь 2024;1 866;0,00081;
октябрь 2024;2 129;0,00091;
ноябрь 2024;2 252;0,00093;
декабрь 2024;2 052;0,00087;
