Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;235;0,00119;
январь 2018;233;0,00120;
февраль 2018;266;0,00130;
март 2018;222;0,00118;
апрель 2018;266;0,00143;
май 2018;233;0,00132;
июнь 2018;223;0,00125;
июль 2018;296;0,00169;
август 2018;264;0,00134;
сентябрь 2018;313;0,00134;
октябрь 2018;282;0,00126;
ноябрь 2018;312;0,00143;
декабрь 2018;364;0,00165;
январь 2019;319;0,00148;
февраль 2019;329;0,00146;
март 2019;407;0,00189;
апрель 2019;307;0,00159;
май 2019;363;0,00216;
июнь 2019;327;0,00186;
июль 2019;294;0,00171;
август 2019;333;0,00171;
сентябрь 2019;310;0,00132;
октябрь 2019;287;0,00120;
ноябрь 2019;407;0,00156;
декабрь 2019;321;0,00118;
январь 2020;344;0,00131;
февраль 2020;343;0,00118;
март 2020;351;0,00098;
апрель 2020;324;0,00095;
май 2020;340;0,00127;
июнь 2020;334;0,00139;
июль 2020;361;0,00149;
август 2020;439;0,00153;
сентябрь 2020;418;0,00122;
октябрь 2020;431;0,00118;
ноябрь 2020;396;0,00114;
декабрь 2020;287;0,00085;
январь 2021;248;0,00078;
февраль 2021;442;0,00133;
март 2021;487;0,00145;
апрель 2021;352;0,00108;
май 2021;326;0,00109;
июнь 2021;399;0,00137;
июль 2021;273;0,00095;
август 2021;357;0,00113;
сентябрь 2021;318;0,00092;
октябрь 2021;299;0,00083;
ноябрь 2021;335;0,00090;
декабрь 2021;326;0,00090;
январь 2022;470;0,00133;
февраль 2022;970;0,00249;
март 2022;1 057;0,00282;
апрель 2022;1 080;0,00296;
май 2022;949;0,00294;
июнь 2022;857;0,00275;
июль 2022;769;0,00247;
август 2022;738;0,00208;
сентябрь 2022;802;0,00207;
октябрь 2022;908;0,00219;
ноябрь 2022;600;0,00149;
декабрь 2022;564;0,00138;
январь 2023;563;0,00150;
февраль 2023;676;0,00166;
март 2023;538;0,00139;
апрель 2023;548;0,00147;
май 2023;483;0,00148;
июнь 2023;474;0,00151;
июль 2023;454;0,00144;
август 2023;365;0,00107;
сентябрь 2023;402;0,00106;
октябрь 2023;293;0,00077;
ноябрь 2023;361;0,00094;
декабрь 2023;361;0,00095;
январь 2024;380;0,00106;
февраль 2024;364;0,00098;
март 2024;329;0,00094;
апрель 2024;354;0,00107;
май 2024;451;0,00157;
июнь 2024;289;0,00102;
июль 2024;288;0,00104;
август 2024;290;0,00095;
сентябрь 2024;298;0,00084;
октябрь 2024;335;0,00092;
ноябрь 2024;333;0,00087;
декабрь 2024;396;0,00106;
