Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;4 205;0,0016;
январь 2018;4 627;0,0017;
февраль 2018;5 363;0,0018;
март 2018;4 995;0,0018;
апрель 2018;5 062;0,0019;
май 2018;4 970;0,0021;
июнь 2018;5 258;0,0023;
июль 2018;5 802;0,0025;
август 2018;5 716;0,0021;
сентябрь 2018;6 665;0,0020;
октябрь 2018;6 165;0,0020;
ноябрь 2018;7 062;0,0022;
декабрь 2018;6 848;0,0021;
январь 2019;7 777;0,0025;
февраль 2019;10 581;0,0032;
март 2019;8 155;0,0026;
апрель 2019;7 323;0,0024;
май 2019;7 868;0,0028;
июнь 2019;6 747;0,0025;
июль 2019;6 404;0,0023;
август 2019;6 017;0,0020;
сентябрь 2019;5 979;0,0018;
октябрь 2019;5 939;0,0018;
ноябрь 2019;7 913;0,0024;
декабрь 2019;5 067;0,0015;
январь 2020;5 529;0,0017;
февраль 2020;5 823;0,0016;
март 2020;5 630;0,0013;
апрель 2020;5 762;0,0016;
май 2020;5 730;0,0018;
июнь 2020;5 596;0,0019;
июль 2020;5 237;0,0017;
август 2020;5 484;0,0015;
сентябрь 2020;5 588;0,0013;
октябрь 2020;5 562;0,0012;
ноябрь 2020;6 393;0,0015;
декабрь 2020;4 807;0,0012;
январь 2021;4 753;0,0013;
февраль 2021;5 208;0,0014;
март 2021;6 438;0,0018;
апрель 2021;5 482;0,0017;
май 2021;5 247;0,0017;
июнь 2021;5 520;0,0017;
июль 2021;5 520;0,0017;
август 2021;6 804;0,0020;
сентябрь 2021;5 719;0,0015;
октябрь 2021;5 553;0,0014;
ноябрь 2021;6 493;0,0017;
декабрь 2021;5 664;0,0015;
январь 2022;6 105;0,0016;
февраль 2022;13 224;0,0034;
март 2022;13 178;0,0036;
апрель 2022;13 504;0,0037;
май 2022;13 534;0,0040;
июнь 2022;11 902;0,0037;
июль 2022;10 998;0,0033;
август 2022;11 919;0,0033;
сентябрь 2022;13 832;0,0035;
октябрь 2022;11 033;0,0028;
ноябрь 2022;8 962;0,0022;
декабрь 2022;7 549;0,0019;
январь 2023;7 039;0,0020;
февраль 2023;10 503;0,0027;
март 2023;7 685;0,0021;
апрель 2023;6 685;0,0019;
май 2023;6 305;0,0019;
июнь 2023;6 413;0,0020;
июль 2023;6 706;0,0021;
август 2023;6 079;0,0018;
сентябрь 2023;5 975;0,0015;
октябрь 2023;5 640;0,0015;
ноябрь 2023;5 280;0,0013;
декабрь 2023;5 041;0,0013;
январь 2024;4 794;0,0013;
февраль 2024;5 588;0,0015;
март 2024;5 254;0,0015;
апрель 2024;4 993;0,0014;
май 2024;4 694;0,0015;
июнь 2024;4 842;0,0016;
июль 2024;4 896;0,0016;
август 2024;4 918;0,0015;
сентябрь 2024;5 499;0,0014;
октябрь 2024;4 884;0,0013;
ноябрь 2024;4 624;0,0012;
декабрь 2024;4 301;0,0011;
