Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;561;0,00119;
январь 2018;622;0,00132;
февраль 2018;654;0,00127;
март 2018;587;0,00131;
апрель 2018;644;0,00145;
май 2018;665;0,00161;
июнь 2018;592;0,00139;
июль 2018;670;0,00165;
август 2018;586;0,00121;
сентябрь 2018;646;0,00115;
октябрь 2018;627;0,00123;
ноябрь 2018;817;0,00161;
декабрь 2018;737;0,00141;
январь 2019;725;0,00144;
февраль 2019;847;0,00159;
март 2019;761;0,00157;
апрель 2019;698;0,00148;
май 2019;901;0,00214;
июнь 2019;719;0,00168;
июль 2019;574;0,00137;
август 2019;475;0,00103;
сентябрь 2019;526;0,00101;
октябрь 2019;547;0,00103;
ноябрь 2019;674;0,00119;
декабрь 2019;596;0,00104;
январь 2020;504;0,00091;
февраль 2020;839;0,00142;
март 2020;822;0,00110;
апрель 2020;790;0,00110;
май 2020;695;0,00126;
июнь 2020;621;0,00120;
июль 2020;685;0,00136;
август 2020;672;0,00118;
сентябрь 2020;738;0,00111;
октябрь 2020;687;0,00089;
ноябрь 2020;766;0,00101;
декабрь 2020;720;0,00107;
январь 2021;596;0,00091;
февраль 2021;817;0,00113;
март 2021;913;0,00125;
апрель 2021;903;0,00126;
май 2021;722;0,00107;
июнь 2021;855;0,00138;
июль 2021;857;0,00135;
август 2021;863;0,00120;
сентябрь 2021;760;0,00098;
октябрь 2021;895;0,00103;
ноябрь 2021;920;0,00110;
декабрь 2021;702;0,00084;
январь 2022;733;0,00085;
февраль 2022;1 954;0,00219;
март 2022;1 737;0,00206;
апрель 2022;1 833;0,00225;
май 2022;1 658;0,00231;
июнь 2022;1 467;0,00208;
июль 2022;1 379;0,00196;
август 2022;1 192;0,00147;
сентябрь 2022;1 336;0,00153;
октябрь 2022;1 104;0,00126;
ноябрь 2022;1 193;0,00136;
декабрь 2022;920;0,00105;
январь 2023;974;0,00120;
февраль 2023;1 253;0,00142;
март 2023;933;0,00114;
апрель 2023;945;0,00120;
май 2023;850;0,00117;
июнь 2023;848;0,00121;
июль 2023;828;0,00121;
август 2023;795;0,00108;
сентябрь 2023;762;0,00091;
октябрь 2023;686;0,00082;
ноябрь 2023;1 052;0,00126;
декабрь 2023;1 036;0,00122;
январь 2024;959;0,00120;
февраль 2024;1 106;0,00137;
март 2024;756;0,00100;
апрель 2024;768;0,00104;
май 2024;649;0,00100;
июнь 2024;613;0,00097;
июль 2024;593;0,00098;
август 2024;500;0,00067;
сентябрь 2024;444;0,00054;
октябрь 2024;562;0,00067;
ноябрь 2024;487;0,00056;
декабрь 2024;436;0,00051;
